회사명,폐지일자
아이팩토리,2016-09-19
씨엘인터내셔널,2016-09-08
엠제이비,2016-09-05
피엘에이,2016-07-25
제이앤유글로벌,2016-05-09
오상헬스케어,2016-05-09
아이디에스,2016-04-28
플렉스컴,2016-04-12
승화프리텍,2016-01-25
지티앤티,2015-10-15
KCW,2015-09-18
디아이디,2015-07-23
와이즈파워,2015-07-16
에이스하이텍,2015-07-10
티에스엠텍,2015-05-20
태창파로스,2015-05-19
씨앤케이인터,2015-05-19
잘만테크,2015-05-13
해피드림,2015-05-04
영진코퍼레이션,2015-04-23
울트라건설,2015-04-13
우양에이치씨,2015-03-17
터보테크,2015-01-27
디지텍시스템,2015-01-21
뉴아세아,2014-09-02
디브이에스,2014-09-02
유니드코리아,2014-09-02
에버테크노,2014-07-17
CU전자,2014-05-21
아라온테크,2014-05-08
쌍용건설,2014-04-11
나노트로닉스,2014-04-11
모린스,2014-04-11
태산엘시디,2014-04-11
엠텍비젼,2014-03-27
렉스엘이앤지,2014-03-04
테라리소스,2014-02-07
예당,2013-09-10
위다스,2013-09-10
지아이바이오,2013-08-07
IBKS스팩1호,2013-07-29
에스비엠,2013-07-24
동부티에스블랙펄스팩,2013-07-15
제너시스템즈,2013-07-12
우경,2013-07-10
부국퓨쳐스타즈스팩,2013-06-03
지앤에스티,2013-05-07
룩손에너지,2013-05-07
마이스코,2013-05-04
네오퍼플,2013-05-03
에듀언스,2013-05-01
자유투어,2013-05-01
유일엔시스,2013-05-01
디에스,2013-05-01
아큐텍,2013-04-23
유에이블,2013-04-23
이디디컴퍼니,2013-04-12
삼우이엠씨,2013-04-12
휴먼텍코리아,2013-04-12
엔터미디어,2013-04-06
대신증권그로쓰스팩,2013-03-29
한국스팩1호,2013-03-29
에스비아이앤솔로몬스,2013-03-29
신민저축은행,2013-02-27
트라이써클,2013-02-21
한화SV스팩1호,2013-02-15
AD모터스,2013-01-30
히든챔피언스팩1호,2013-01-18
알에스넷,2012-12-05
큐리어스,2012-11-27
넷웨이브,2012-11-17
어울림네트웍스,2012-11-17
미래에셋스팩1호,2012-10-23
인스프리트,2012-10-12
에스에스씨피,2012-09-29
유아이에너지,2012-09-26
성융광전투자유한공사,2012-09-26
무한투자,2012-09-25
동양텔레콤,2012-09-11
어울림엘시스,2012-09-11
어울림정보기술,2012-09-08
엔케이바이오,2012-09-05
금강제강,2012-08-14
디에이치패션,2012-08-01
엔스퍼트,2012-07-24
한림창투,2012-06-27
클루넷,2012-06-08
평안물산,2012-06-01
제이에이치코오스,2012-05-31
블루젬디앤씨,2012-05-17
씨티앤티,2012-05-01
아인스엠앤엠,2012-05-01
폴리플러스,2012-05-01
보광티에스,2012-05-01
비앤비성원,2012-05-01
에이프로테크놀로지,2012-04-24
에피밸리,2012-04-24
미주제강,2012-04-17
코아에스앤아이,2012-04-17
평산,2012-04-13
엘앤씨피,2012-04-13
아이스테이션,2012-04-13
미리넷,2012-04-13
대국,2012-04-13
미성포리테크,2012-04-13
씨티엘테크,2012-02-08
에이원마이크로,2012-02-01
엔하이테크,2012-02-01
지앤디윈텍,2012-01-20
엘앤피아너스,2011-12-28
그린기술투자,2011-12-28
에스티씨라이프,2011-11-29
네스테크,2011-11-26
아시아미디어홀딩스,2011-11-22
네프로아이티,2011-11-05
클라스타,2011-10-26
대양글로벌,2011-10-25
제일창투,2011-10-14
토자이홀딩스,2011-10-12
선팩테크,2011-10-06
에코페트로시스템,2011-10-06
씨모텍,2011-09-23
큐앤에스,2011-09-23
히스토스템,2011-09-15
케이에스알,2011-09-09
세계투어,2011-09-09
이룸지엔지,2011-08-20
글로웍스,2011-06-29
에코솔루션,2011-06-16
헤파호프,2011-06-16
에듀패스,2011-06-09
디패션,2011-05-07
나이스메탈,2011-05-07
콜마파마,2011-05-07
지노시스템,2011-05-07
넥서스투자,2011-04-29
맥스브로,2011-04-29
세븐코스프,2011-04-29
유니텍전자,2011-04-29
지앤알,2011-04-29
뉴젠아이씨티,2011-04-29
엔빅스,2011-04-29
알티전자,2011-04-23
포휴먼,2011-04-23
한와이어리스,2011-04-23
제이콤,2011-04-16
엠엔에프씨,2011-04-13
대선조선,2011-04-13
스톰이앤에프,2011-04-13
중앙디자인,2011-04-13
경윤하이드로,2011-04-06
핸디소프트,2011-03-03
에스브이에이치,2011-02-12
세실,2011-02-10
네이쳐글로벌,2011-01-08
파티게임즈,2020-09-09
코썬바이오,2020-08-11
바이오빌,2020-07-31
모다,2020-07-10
화진,2020-07-02
에스에프씨,2020-06-30
이엘케이,2020-05-22
차이나그레이트,2020-05-22
피앤텔,2020-05-21
에스마크,2020-05-21
리드,2020-05-14
파인넥스,2020-04-10
썬텍,2020-02-12
제이테크놀로지,2019-12-12
데코앤이,2019-11-20
에프티이앤이,2019-05-03
차이나하오란,2019-01-02
지디,2018-10-12
우성아이비,2018-10-12
위너지스,2018-10-11
트레이스,2018-10-11
넥스지,2018-10-11
C&S자산관리,2018-10-11
레이젠,2018-10-11
에임하이,2018-08-10
신텍,2018-07-09
완리,2018-05-23
스틸플라워,2018-05-08
씨그널엔터테인먼트그룹,2018-05-04
썬코어,2018-03-15
위노바,2018-03-09
아이이,2017-12-20
엔에스브이,2017-09-12
에스에스컴텍,2017-05-11
비엔씨컴퍼니,2017-05-08
신양오라컴,2017-05-08
우전,2017-04-13
케이엔씨글로벌,2017-03-07
프리젠,2017-02-24
