회사명,거래소코드,회계년도,자산,영업이익,부채,자본,매출액,유동자산,유동부채,이익잉여금
(주)CMG제약,58820,2019/12,192243166.0,2603774.0,12084883.0,180158283.0,58622681.0,150584066.0,9306387.0,5054709.0
(주)ES큐브,50120,2019/12,463958680.0,587700.0,389920168.0,74038512.0,43708239.0,359030693.0,230135454.0,6015932.0
(주)가비아,79940,2019/12,199916131.0,4889113.0,64956993.0,134959139.0,148306878.0,86880807.0,43098923.0,70637536.0
(주)강스템바이오텍,217730,2019/12,113643697.0,-19411148.0,44924460.0,68719236.0,6004584.0,55408095.0,20598774.0,-77231627.0
(주)강원에너지,114190,2019/12,56602063.0,-17150531.0,35477506.0,21124556.0,42549622.0,30544232.0,30840573.0,-8042133.0
(주)고려시멘트,198440,2019/12,127035573.0,-459627.0,38590195.0,88445378.0,70921781.0,46591282.0,27999091.0,38016547.0
(주)고바이오랩,348150,2019/12,35321574.0,-5734638.0,88945439.0,-53623865.0,576519.0,34655204.0,88868084.0,-56598793.0
(주)고영테크놀러지,98460,2019/12,305481184.0,40057965.0,61812656.0,243668528.0,222057035.0,225797248.0,38413935.0,209875241.0
(주)골드앤에스,35290,2019/12,16096170.0,-7142117.0,21187743.0,-5091573.0,7642733.0,3910189.0,21055498.0,-54531706.0
(주)골드퍼시픽,38530,2019/12,72945743.0,-3421041.0,51876425.0,21069318.0,11323125.0,28455147.0,50456375.0,-36661189.0
(주)골프존,215000,2019/12,312587283.0,36199059.0,112544404.0,200042879.0,247018099.0,81730468.0,61066134.0,127176545.0
(주)골프존뉴딘홀딩스,121440,2019/12,776384700.0,-17956208.0,329187192.0,447197508.0,228935651.0,125716505.0,85327312.0,142441158.0
(주)공구우먼,366030,2019/12,18034814.0,3290994.0,1169169.0,16865645.0,24571027.0,8471928.0,1169169.0,16815645.0
(주)광림,14200,2019/12,252468254.0,3819332.0,161696117.0,90772137.0,145864184.0,114526470.0,148515736.0,-11628397.0
(주)광무,29480,2019/12,63139837.0,-2260048.0,40295715.0,22844122.0,36483979.0,39307761.0,36140360.0,-12004089.0
(주)구영테크,53270,2019/12,206569873.0,2513647.0,134865616.0,71704257.0,230853336.0,70165074.0,89345198.0,39787082.0
(주)국보디자인,66620,2019/12,222514980.0,10506065.0,99151096.0,123363884.0,269005976.0,194818591.0,94320054.0,115352984.0
(주)국순당,43650,2019/12,252484287.0,-5440912.0,47525638.0,204958649.0,102095769.0,78834555.0,33853250.0,169711448.0
(주)국영지앤엠,6050,2019/12,68657302.0,991045.0,15830851.0,52826451.0,73013468.0,32068324.0,12276270.0,20943044.0
(주)국전약품,307750,2019/12,,,,,,,,
(주)그래디언트,35080,2019/12,1780051911.0,3788374.0,1110465400.0,669586510.0,3412333826.0,1206801338.0,980078258.0,158093092.0
(주)그리티,204020,2019/12,92151596.0,4418702.0,17970493.0,74181103.0,123079831.0,82603832.0,17294799.0,39800315.0
(주)그린플러스,186230,2019/12,72321985.0,3430717.0,34930648.0,37391337.0,48831866.0,38480019.0,17448583.0,12461163.0
(주)글로벌스탠다드테크놀로지,83450,2019/12,136751562.0,22053993.0,33440861.0,103310701.0,168231754.0,88978443.0,31060762.0,87791080.0
(주)금화피에스시,36190,2019/12,281692946.0,30433094.0,42283315.0,239409631.0,209435314.0,184009183.0,38745095.0,230046722.0
(주)기가레인,49080,2019/12,117798198.0,-26726549.0,89733582.0,28064616.0,72769411.0,60133834.0,62344306.0,-68931678.0
(주)기산텔레콤,35460,2019/12,66789756.0,2565963.0,32098792.0,34690964.0,67054955.0,49053647.0,22745330.0,-16929631.0
(주)까스텔바작,308100,2019/12,89005071.0,9287318.0,12326845.0,76678226.0,81358617.0,66201004.0,9931371.0,22452143.0
(주)나노,187790,2019/12,116141232.0,1381812.0,54119319.0,62021912.0,73694955.0,49148522.0,43147371.0,16583245.0
(주)나노브릭,286750,2019/12,24551526.0,-1512606.0,10401714.0,14149812.0,7775408.0,11714243.0,8726057.0,-21217693.0
(주)나노신소재,121600,2019/12,101893569.0,5191475.0,8105979.0,93787590.0,48892961.0,74512856.0,5326867.0,51427317.0
