회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부
네이쳐글로벌,2009,74.49204859,-49.80358923,-3.37118151,673.4326222,6.028268015,2011-01-08,1
네프로아이티,2009,-0.465153588,19.33814966,13.88472606,157.3443634,76.78071108,2011-11-05,1
뉴젠아이씨티,2009,27.59367683,-1075.333708,-28.34280817,136.3422624,40.74731592,2011-04-29,1
트루아워,2009,52.36873844,-19.10236506,-25.5737193,412.2971574,33.43629942,2011-10-25,1
디패션,2009,20.92039083,-333.2941936,-23.1583006,170.0527418,71.07470314,2011-05-07,1
맥스브로,2009,12.22052814,-160.0172485,-21.23891999,162.9963514,32.58444898,2011-04-29,1
선팩테크,2009,-17.6487844,-35.76132766,-17.67638011,156.2881433,6.713979091,2011-10-06,1
세븐코스프,2009,61.62440844,-58.16711001,-18.1592233,358.4255365,76.86942388,2011-04-29,1
스톰이앤에프,2009,12.38418686,-65.6425904,-21.03610685,259.5771823,61.9806873,2011-04-13,1
씨모텍,2009,30.60391193,-10.37659672,-5.48147772,155.7727385,77.12694791,2011-09-23,1
에듀패스,2009,24.33667918,-9.592684434,-2.720487863,184.4270416,50.12208736,2011-06-09,1
에스브이에이치,2009,-31.4614951,-312.6477338,-33.4242887,141.5021523,16.06099471,2011-02-12,1
에스티씨라이프,2009,29.59034568,-81.46320372,-15.82715536,427.2213444,13.85016464,2011-11-29,1
에코솔루션,2009,-14.34424463,-46.92032403,-0.5797683,125.8810671,45.27695937,2011-06-16,1
에코페트로시스템,2009,14.01209874,-123.0985307,-18.09466398,813.9128799,11.73758973,2011-10-06,1
엘앤피아너스,2009,24.64706854,-71.82553416,-8.909191468,298.371677,9.237007412,2011-12-28,1
엠엔에프씨,2009,-7.408913338,-143.2011928,0.830514223,139.3544054,53.18020408,2011-04-13,1
유니텍전자,2009,16.54984981,-40.6347198,-8.377307708,198.8866014,210.6287957,2011-04-29,1
이룸지엔지,2009,-26.31725047,19.54861773,-7.794451851,135.4114888,72.84237288,2011-08-20,1
제이콤,2009,38.98832502,2.225089271,0.130027007,587.2311574,26.96979303,2011-04-16,1
중앙디자인,2009,-17.02032618,-6.948144102,0.131848304,121.5813025,72.08001551,2011-04-13,1
지노시스템,2009,18.2046942,-314.3952787,-19.25027202,239.3454205,110.733618,2011-05-07,1
지앤알,2009,70.41412954,-26.09282771,8.35916199,364.6546036,80.08962148,2011-04-29,1
큐앤에스,2009,13.7623119,-52.91814307,1.541418449,177.2074232,82.73233402,2011-09-23,1
클라스타,2009,41.79643942,-72.45858285,-6.972002851,1168.498028,11.69399743,2011-10-26,1
포휴먼,2009,51.63820158,23.70632321,-1.276686389,646.1624987,14.14912902,2011-04-23,1
한와이어리스,2009,17.19287112,-51.52623259,-3.473654991,201.6969606,23.93146127,2011-04-23,1
핸디소프트,2009,2.699315728,0.729635063,5.284590794,102.675809,55.85307247,2011-03-03,1
히스토스템,2009,6.636708584,-52.63572817,-7.222440904,324.1259425,14.75913181,2011-09-15,1
글로웍스,2009,34.0695259,-108.5582485,1.832096372,262.253713,3.634681922,2011-06-29,1
나이스메탈,2009,-23.6573735,-39.65521437,-7.197945652,105.1221433,276.6845545,2011-05-07,1
네스테크,2009,1.460449571,-2.769026612,0.082958412,285.8162988,28.4142543,2011-11-26,1
대선조선,2009,-36.68141623,-21.1466027,-7.798933885,106.0765658,37.9375522,2011-04-13,1
알티전자,2009,2.740352134,5.08451472,2.46540862,160.9046313,76.20223368,2011-04-23,1
엔빅스,2009,-13.43226885,-22.22691315,6.626915272,180.2489725,125.2826513,2011-04-29,1
넷웨이브,2010,54.40516325,18.01790488,-8.494109815,260.573922,109.4938533,2012-11-17,1
