회사명,폐지일자
네이쳐글로벌,2011-01-08
네프로아이티,2011-11-05
뉴젠아이씨티,2011-04-29
트루아워,2011-10-25
디패션,2011-05-07
맥스브로,2011-04-29
선팩테크,2011-10-06
세븐코스프,2011-04-29
스톰이앤에프,2011-04-13
씨모텍,2011-09-23
에듀패스,2011-06-09
에스브이에이치,2011-02-12
에스티씨라이프,2011-11-29
에코솔루션,2011-06-16
에코페트로시스템,2011-10-06
엘앤피아너스,2011-12-28
엠엔에프씨,2011-04-13
유니텍전자,2011-04-29
이룸지엔지,2011-08-20
제이콤,2011-04-16
중앙디자인,2011-04-13
지노시스템,2011-05-07
지앤알,2011-04-29
큐앤에스,2011-09-23
클라스타,2011-10-26
포휴먼,2011-04-23
한와이어리스,2011-04-23
핸디소프트,2011-03-03
히스토스템,2011-09-15
글로웍스,2011-06-29
나이스메탈,2011-05-07
네스테크,2011-11-26
대선조선,2011-04-13
알티전자,2011-04-23
엔빅스,2011-04-29
넷웨이브,2012-11-17
디에이치패션,2012-08-01
미성포리테크,2012-04-13
보광티에스,2012-05-01
블루젬디앤씨,2012-05-17
비앤비성원,2012-05-01
씨티앤티,2012-05-01
씨티엘테크,2012-02-08
아인스엠앤엠,2012-05-01
알에스넷,2012-12-05
에이원마이크로,2012-02-01
에이프로테크놀로지,2012-04-24
에피밸리,2012-04-24
엔스퍼트,2012-07-24
엔케이바이오,2012-09-05
엘앤씨피,2012-04-13
유아이에너지,2012-09-26
인스프리트,2012-10-12
제이에이치코오스,2012-05-31
지앤디윈텍,2012-01-20
코아에스앤아이,2012-04-17
큐리어스,2012-11-27
클루넷,2012-06-08
폴리플러스,2012-05-01
금강제강,2012-08-14
동양텔레콤,2012-09-11
미리넷,2012-04-13
미주제강,2012-04-17
아이스테이션,2012-04-13
어울림네트웍스,2012-11-17
어울림엘시스,2012-09-11
어울림정보기술,2012-09-08
에스에스씨피,2012-09-29
엔하이테크,2012-02-01
평안물산,2012-06-01
네오퍼플,2013-05-03
디에스,2013-05-01
마이스코,2013-05-04
삼우이엠씨,2013-04-12
아큐텍,2013-04-23
에듀언스,2013-05-01
에스비엠,2013-07-24
위다스,2013-09-10
유에이블,2013-04-23
유일엔시스,2013-05-01
제너시스템즈,2013-07-12
지아이바이오,2013-08-07
지앤에스티,2013-05-07
트라이써클,2013-02-21
휴먼텍코리아,2013-04-12
우경,2013-07-10
이디디컴퍼니,2013-04-12
나노트로닉스,2014-04-11
렉스엘이앤지,2014-03-04
모린스,2014-04-11
아라온테크,2014-05-08
유니드코리아,2014-09-02
테라리소스,2014-02-07
쌍용건설,2014-04-11
에버테크노,2014-07-17
엠텍비젼,2014-03-27
태산엘시디,2014-04-11
디아이디,2015-07-23
영진코퍼레이션,2015-04-23
와이즈파워,2015-07-16
지티앤티,2015-10-15
태창파로스,2015-05-19
터보테크,2015-01-27
티에스엠텍,2015-05-20
해피드림,2015-05-04
KCW,2015-09-18
에이스하이텍,2015-07-10
우양에이치씨,2015-03-17
울트라건설,2015-04-13
잘만테크,2015-05-13
승화프리텍,2016-01-25
씨엘인터내셔널,2016-09-08
아이디에스,2016-04-28
아이팩토리,2016-09-19
엠제이비,2016-09-05
플렉스컴,2016-04-12
피엘에이,2016-07-25
제이앤유글로벌,2016-05-09
비엔씨컴퍼니,2017-05-08
에스에스컴텍,2017-05-11
엔에스브이,2017-09-12
우전,2017-04-13
케이엔씨글로벌,2017-03-07
프리젠,2017-02-24
아이이,2017-12-20
넥스지,2018-10-11
스틸플라워,2018-05-08
썬코어,2018-03-15
씨그널엔터테인먼트그룹,2018-05-04
우성아이비,2018-10-12
위너지스,2018-10-11
위노바,2018-03-09
트레이스,2018-10-11
레이젠,2018-10-11
코썬바이오,2020-08-11
