iter	Logloss
0	0.6906503042
1	0.6883906612
2	0.6859501026
3	0.6835845665
4	0.6813295859
5	0.6791239138
6	0.67687847
7	0.6747223889
8	0.672525194
9	0.670567124
10	0.6685145343
11	0.6668255417
12	0.6645146123
13	0.6625480652
14	0.6606563992
15	0.6586808805
16	0.6566015879
17	0.6546010618
18	0.6527526997
19	0.6508329886
20	0.6489863219
21	0.6473599893
22	0.6455099318
23	0.6438248246
24	0.6421727781
25	0.6405581015
26	0.638867131
27	0.6370898353
28	0.6354334796
29	0.6340323554
30	0.6329095629
31	0.6313833307
32	0.6298340691
33	0.6281935374
34	0.6267237487
35	0.6252208992
36	0.6238568624
37	0.622511122
38	0.6211410805
39	0.6196020621
40	0.618054284
41	0.616456491
42	0.6154056125
43	0.6138493573
44	0.6123134472
45	0.6109164203
46	0.6094908538
47	0.6080900828
48	0.6067262579
49	0.6053178575
50	0.6041144618
51	0.6026965954
52	0.6014179654
53	0.6001818622
54	0.5989429333
55	0.5976898758
56	0.5963829888
57	0.5951637692
58	0.5941538634
59	0.5931207162
60	0.592013571
61	0.590739674
62	0.5895687386
63	0.5884604984
64	0.5875180209
65	0.5861959457
66	0.5852399755
67	0.5839468285
68	0.5828139694
69	0.5817047402
70	0.5806088977
71	0.5796408477
72	0.5786127514
73	0.5775951103
74	0.576593399
75	0.5754491312
76	0.5745713269
77	0.5735785873
78	0.5724337189
79	0.5715279403
80	0.5706402108
81	0.5696119379
82	0.5686473846
83	0.5677365197
84	0.5669265676
85	0.5661200417
86	0.5652760046
87	0.5643814228
88	0.5634791763
89	0.5627327672
90	0.5619128192
91	0.5610546183
92	0.5603550452
93	0.5596054572
94	0.5588586242
95	0.5580575731
96	0.5573548917
97	0.5566015597
98	0.5558389734
99	0.5551522573
100	0.5544954936
101	0.5537864544
102	0.5530189938
103	0.552263048
104	0.5514914195
105	0.5507484719
106	0.550030673
107	0.5493178897
108	0.5486483397
109	0.5479199445
110	0.5472969126
111	0.5466919652
112	0.5459556226
113	0.5453257737
114	0.5447417365
115	0.5440116458
116	0.5433280026
117	0.5426835661
118	0.5421547007
119	0.5414645937
120	0.5408791436
121	0.540326507
122	0.5397013911
123	0.53910923
124	0.5385333167
125	0.5379454648
126	0.5374107008
127	0.5368532958
128	0.5362911931
129	0.5358506309
130	0.5353652813
131	0.5348111612
132	0.5343802417
133	0.5337862439
134	0.5332478771
135	0.5328554931
136	0.532347114
137	0.5319081412
138	0.5314865112
139	0.5309048405
140	0.5303113019
141	0.5298444607
142	0.5293405674
143	0.5289210214
144	0.5286126667
145	0.5281319088
146	0.5275810736
147	0.5271410765
148	0.5267068722
149	0.5262378763
150	0.5257924045
151	0.5253802405
152	0.5249446586
153	0.5244824092
154	0.5240831022
155	0.5236886696
156	0.5232723377
157	0.5227642766
158	0.5223436709
159	0.5219410084
160	0.5215499313
161	0.5212109177
162	0.5207451008
163	0.520362854
164	0.5200262776
165	0.5195971595
166	0.5191275632
167	0.51878364
168	0.5185031891
169	0.518113984
170	0.517735234
171	0.5174025783
172	0.5170367912
173	0.5166807528
174	0.5164269341
175	0.5161212992
176	0.5158462524
177	0.5154665488
178	0.5152009328
179	0.5148397022
180	0.5145704481
181	0.5143158171
182	0.5138838026
183	0.5136170564
184	0.5133249495
185	0.5130700005
186	0.5127528155
187	0.5124633577
188	0.5120809343
189	0.511790876
190	0.5113920282
191	0.5111194893
192	0.5108712514
193	0.5105484856
194	0.5102002886
195	0.50989921
196	0.5095739365
197	0.5093963764
198	0.5090885516
199	0.5088182732
200	0.5085644192
201	0.5081775807
202	0.5079195941
203	0.5076606185
204	0.5073512748
205	0.5070772171
206	0.506837421
207	0.5064717752
208	0.5061596411
209	0.5059095665
210	0.5055620405
211	0.5052896429
212	0.5050503766
213	0.5047904121
214	0.5045801799
215	0.5043816743
216	0.5040402589
217	0.5037846742
218	0.5036038999
219	0.5034245738
220	0.5031977053
221	0.5028976158
222	0.5025560238
223	0.5024069327
224	0.5021908372
225	0.5018602301
226	0.5015866315
227	0.501367463
228	0.5011793772
229	0.5009747258
230	0.5007370136
231	0.5005734055
232	0.500412835
233	0.5001419209
234	0.5000123271
235	0.4998566663
236	0.4995911563
237	0.4993438014
238	0.4991556803
239	0.4987570092
240	0.498534026
241	0.498296667
242	0.4980757678
243	0.4979301029
244	0.4977300785
245	0.4975787975
246	0.4974170261
247	0.4972387243
248	0.4970593629
249	0.4968894676
250	0.4966544399
251	0.496500863
252	0.496378722
253	0.4962354589
254	0.4960571218
255	0.4958630668
256	0.4957302235
257	0.4955309409
258	0.4954050912
259	0.4952520794
260	0.4951193068
261	0.4950009099
262	0.4947642574
263	0.4946087731
264	0.4943245075
265	0.494179761
266	0.4939823151
267	0.4938348841
268	0.4937037362
269	0.4935549277
270	0.49339577
271	0.4932629621
272	0.4930985062
273	0.4929387834
274	0.4927884561
275	0.4926302168
276	0.4924893909
277	0.4923528742
278	0.4922426012
279	0.4920814655
280	0.4919410988
281	0.4917854027
282	0.4915672585
283	0.4914684296
284	0.4913474542
285	0.4911411073
286	0.4910442211
287	0.4909196783
288	0.4907444142
289	0.4905470389
290	0.4904014799
291	0.4903028276
292	0.4901295061
293	0.4899409965
294	0.4898307235
295	0.4896847407
296	0.489571642
297	0.4894308161
298	0.4893258059
299	0.4892122481
300	0.4891055778
301	0.4889456078
302	0.4887888873
303	0.4886034506
304	0.4885135933
305	0.4884242305
306	0.4882998643
307	0.4881780766
308	0.4880488714
309	0.4879491594
310	0.4877674668
311	0.4875975715
312	0.4875183105
313	0.4874352349
314	0.4873481327
315	0.4871985471
316	0.4870683882
317	0.4869886328
318	0.4867871602
319	0.4865724776
320	0.4864628403
321	0.4863014221
322	0.4861372489
323	0.4859696494
324	0.4858727279
325	0.4857495626
326	0.4856246666
327	0.4854353092
328	0.4853353854
329	0.4852431262
330	0.4850739373
331	0.4849308155
332	0.4848693565
333	0.48480048
334	0.4847251751
335	0.4846466559
336	0.484541999
337	0.4844670472
338	0.4844113103
339	0.4842534948
340	0.4841515576
341	0.4839674279
342	0.4838820917
343	0.4837404534
344	0.483633112
345	0.4834564703
346	0.483333411
347	0.4832981251
348	0.4832402688
349	0.4830514413
350	0.4829384486
351	0.4827475724
352	0.4826754464
353	0.4825112378
354	0.4823988809
355	0.4822170116
356	0.4821354195
357	0.4821111185
358	0.482039275
359	0.4819344415
360	0.4818332813
361	0.4817375607
362	0.481674265
363	0.4815889288
364	0.4814540722
365	0.4813502276
366	0.4812590988
367	0.481141267
368	0.4810618648
369	0.4808841281
370	0.4807839923
371	0.4806584959
372	0.4805961185
373	0.4805581481
374	0.4804770858
375	0.4804123773
376	0.4801240144
377	0.4799959395
378	0.4799339153
379	0.4798325786
380	0.4796930949
381	0.479520056
382	0.4793988334
383	0.4793372684
384	0.4792211321
385	0.4791250935
386	0.4790716524
387	0.4790023521
388	0.4788669304
389	0.4787398797
390	0.4786692019
391	0.4784971167
392	0.4783277865
393	0.4781973097
394	0.4781789073
395	0.4780513622
396	0.4779510498
397	0.4778897674
398	0.4777732425
399	0.4776609209
400	0.4775856866
401	0.477471175
402	0.4774142371
403	0.4773595598
