iter	Passed	Remaining
0	155	155636
1	156	78040
2	157	52185
3	157	39285
4	158	31560
5	159	26404
6	160	22720
7	160	19939
8	161	17776
9	162	16044
10	162	14626
11	162	13419
12	163	12419
13	164	11565
14	164	10824
15	165	10176
16	166	9603
17	166	9099
18	167	8657
19	168	8251
20	169	7881
21	169	7546
22	170	7239
23	171	6963
24	171	6706
25	172	6471
26	173	6248
27	174	6041
28	174	5848
29	175	5666
30	175	5485
31	176	5327
32	176	5180
33	177	5042
34	178	4915
35	179	4794
36	179	4678
37	180	4567
38	181	4462
39	181	4362
40	182	4276
41	183	4188
42	184	4102
43	185	4023
44	186	3950
45	186	3877
46	187	3806
47	188	3737
48	189	3671
49	189	3606
50	190	3543
51	191	3484
52	191	3427
53	192	3371
54	193	3317
55	193	3265
56	194	3213
57	194	3164
58	195	3117
59	196	3072
60	197	3032
61	198	2997
62	198	2955
63	199	2915
64	199	2873
65	200	2836
66	201	2799
67	201	2763
68	202	2728
69	202	2695
70	203	2662
71	203	2628
72	204	2597
73	205	2567
74	205	2538
75	206	2509
76	207	2482
77	207	2455
78	208	2429
79	209	2403
80	209	2378
81	210	2353
82	210	2329
83	211	2307
84	212	2286
85	213	2265
86	213	2243
87	214	2222
88	215	2201
89	215	2181
90	216	2161
91	217	2142
92	217	2121
93	218	2102
94	218	2084
95	219	2067
96	220	2049
97	220	2031
98	221	2014
99	221	1996
100	222	1977
101	222	1961
102	223	1946
103	224	1930
104	224	1915
105	225	1900
106	225	1885
107	226	1871
108	227	1858
109	228	1846
110	229	1834
111	229	1822
112	230	1810
113	231	1799
114	232	1787
115	233	1776
116	233	1764
117	234	1755
118	235	1744
119	236	1733
120	237	1721
121	237	1710
122	238	1699
123	239	1688
124	239	1677
125	240	1667
126	240	1656
127	241	1645
128	242	1636
129	243	1627
130	244	1618
131	244	1609
132	245	1598
133	246	1590
134	246	1582
135	247	1573
136	248	1564
137	249	1555
138	249	1546
139	250	1537
140	250	1528
141	251	1519
142	252	1511
143	252	1502
144	253	1494
145	254	1486
146	254	1477
147	255	1469
148	255	1461
149	256	1453
150	257	1445
151	257	1438
152	259	1434
153	259	1427
154	260	1419
155	261	1412
156	261	1405
157	262	1398
158	263	1391
159	263	1384
160	264	1377
161	265	1370
162	265	1364
163	266	1357
164	266	1350
165	267	1343
166	268	1337
167	268	1329
168	269	1323
169	269	1316
170	270	1310
171	270	1303
172	271	1297
173	272	1291
174	272	1285
175	273	1280
176	274	1275
177	274	1269
178	275	1263
179	276	1258
180	276	1251
181	277	1245
182	277	1240
183	278	1234
184	279	1229
185	279	1223
186	280	1218
187	280	1213
188	281	1207
189	281	1201
190	282	1196
191	283	1191
192	283	1186
193	284	1181
194	284	1176
195	285	1171
196	286	1166
197	286	1161
198	287	1157
199	288	1153
200	289	1149
201	290	1145
202	290	1141
203	291	1136
204	291	1131
205	292	1126
206	293	1122
207	293	1118
208	294	1114
209	295	1109
210	295	1105
211	296	1101
212	297	1097
213	297	1093
214	298	1089
215	298	1085
216	299	1080
217	300	1076
218	300	1072
219	301	1068
220	302	1064
221	302	1060
222	303	1057
223	304	1053
224	304	1050
225	305	1046
226	306	1043
227	307	1040
228	308	1037
229	308	1034
230	309	1031
231	310	1027
232	310	1023
233	311	1020
234	312	1016
235	312	1012
236	313	1009
237	314	1005
238	314	1002
239	315	998
240	315	995
241	316	991
242	317	988
243	317	984
244	318	981
245	319	978
246	319	975
247	320	972
248	321	968
249	321	965
250	322	962
251	323	959
252	323	955
253	324	951
254	324	948
255	325	945
256	325	942
257	326	939
258	327	936
259	327	932
260	328	929
261	329	927
262	329	924
263	330	921
264	330	918
265	331	914
266	332	912
267	332	909
268	333	906
269	334	904
270	335	902
271	336	899
272	336	896
273	337	893
274	338	891
275	338	888
276	339	885
277	339	882
278	340	879
279	340	876
280	341	874
281	342	871
282	342	868
283	343	866
284	344	863
285	344	860
286	345	858
287	346	855
288	346	852
289	347	850
290	347	847
291	348	845
292	349	844
293	350	841
294	351	839
295	352	837
296	352	835
297	353	833
298	354	831
299	355	829
300	356	826
301	356	824
302	357	821
303	357	819
304	358	817
305	359	814
306	359	812
307	360	809
308	360	807
309	361	804
310	362	802
311	363	800
312	363	798
313	364	796
314	365	794
315	366	792
316	367	790
317	367	788
318	368	786
319	369	784
320	370	782
321	370	780
322	371	778
323	372	776
324	372	774
325	373	772
326	374	770
327	374	767
328	375	765
329	376	763
330	376	761
331	377	759
332	378	757
333	378	755
334	379	753
335	380	751
336	381	750
337	381	748
338	382	745
339	383	743
340	383	741
341	384	739
342	384	737
343	385	735
344	386	733
345	386	731
346	387	729
347	388	727
348	388	725
349	389	723
350	390	721
351	390	719
352	391	717
353	391	715
354	392	713
355	393	711
356	393	709
357	394	706
358	394	705
359	395	703
360	396	701
361	397	699
362	397	697
363	398	695
364	398	694
365	399	692
366	400	690
367	400	688
368	401	686
369	402	684
370	402	682
371	403	680
372	404	679
373	404	677
374	405	675
375	405	673
376	406	671
377	407	670
378	407	668
379	408	666
380	409	664
381	409	662
382	410	661
383	411	660
384	412	658
385	412	656
