iter	Logloss
0	0.6883283544
1	0.6830630126
2	0.676703771
3	0.6716860312
4	0.6658409966
5	0.6612201267
6	0.6558535541
7	0.6518171805
8	0.6478424072
9	0.6427720388
10	0.6373215428
11	0.6318887781
12	0.6273173579
13	0.6227582296
14	0.6191926886
15	0.6150519053
16	0.6105653268
17	0.6060160884
18	0.6015728138
19	0.597846561
20	0.593757912
21	0.5885360859
22	0.5848041817
23	0.5803228308
24	0.5765149858
25	0.571571774
26	0.5675799758
27	0.5641824934
28	0.561272939
29	0.5576293733
30	0.5540652805
31	0.5495294995
32	0.5459328757
33	0.5427171566
34	0.5391715368
35	0.5356044769
36	0.5318709126
37	0.5277147646
38	0.5250180209
39	0.5215382753
40	0.5182532558
41	0.5146065465
42	0.5113798777
43	0.5080403575
44	0.5053194541
45	0.5023967248
46	0.4993247986
47	0.4962875225
48	0.494165032
49	0.4906255228
50	0.4875305317
51	0.4842543425
52	0.4817627801
53	0.4787171682
54	0.4755778843
55	0.4719417713
56	0.4692637126
57	0.4663989809
58	0.4637955206
59	0.4611938618
60	0.4582073777
61	0.4556771031
62	0.452611676
63	0.4496143836
64	0.4470727355
65	0.4437982065
66	0.4411389033
67	0.4388222518
68	0.4365029512
69	0.4337202355
70	0.4306185687
71	0.4283190833
72	0.4266676373
73	0.4241851171
74	0.4215389534
75	0.4195541099
76	0.4173261854
77	0.4151446025
78	0.4133349525
79	0.4106202655
80	0.4080272251
81	0.4057918831
82	0.4041020782
83	0.4021386747
84	0.4001825121
85	0.398369118
86	0.3963577482
87	0.3949568007
88	0.3934694926
89	0.391199783
90	0.3895987052
91	0.3876171465
92	0.3857473444
93	0.3834617403
94	0.3818661372
95	0.3805884609
96	0.3787006096
97	0.3766562144
98	0.3752632848
99	0.3735476953
100	0.3716668729
101	0.3699839203
102	0.3683092329
103	0.3665922306
104	0.3647193202
105	0.3630296213
106	0.3616078341
107	0.3598311389
108	0.3588898623
109	0.3571717298
110	0.3555719234
111	0.353770362
112	0.3520174733
113	0.3505782021
114	0.3489313479
115	0.347314764
116	0.3458835461
117	0.3441379335
118	0.3425801242
119	0.3411198369
120	0.3398942947
121	0.3390026799
122	0.3375550729
123	0.335992248
124	0.3338833562
125	0.3322652181
126	0.3308291965
127	0.3293348242
128	0.3281799599
129	0.3269209685
130	0.3259663052
131	0.3245113161
132	0.3228788729
133	0.3214831882
134	0.3200069004
135	0.3185391603
136	0.3167845408
137	0.3157380422
138	0.314628707
139	0.3134548752
140	0.3123727728
141	0.3112415738
142	0.3103432832
143	0.3092743909
144	0.3076022466
145	0.3065920583
146	0.3052484371
147	0.3037372872
148	0.3024742692
149	0.3011880098
150	0.299817827
151	0.2986066606
152	0.2974981732
153	0.2963281561
154	0.2951100491
155	0.2943520723
156	0.2929745957
157	0.2921082532
158	0.291205936
159	0.2904434734
160	0.2894148473
161	0.2884012858
162	0.2875514913
163	0.2865698426
164	0.2857036237
165	0.2847923879
166	0.2838398262
167	0.2827927272
168	0.2815737901
169	0.280599965
170	0.279588664
171	0.2787212089
172	0.2773002519
173	0.2762330373
174	0.2755043242
175	0.2743750148
176	0.2732144815
177	0.2725719876
178	0.2716221456
179	0.2706769131
180	0.2698517729
181	0.2691759533
182	0.268120801
183	0.2675872379
184	0.2669452914
185	0.2663271692
186	0.2656578135
187	0.2649733226
188	0.2639843623
189	0.2630395359
190	0.2624914558
191	0.2617486671
192	0.2609953174
193	0.2602939253
194	0.2591813935
195	0.2586058157
196	0.2578286418
197	0.2569609925
198	0.2561961986
199	0.2553014225
200	0.2542915697
201	0.2534669417
202	0.2525177002
203	0.2518849903
204	0.251030604
205	0.2503903707
206	0.249787207
207	0.2489823235
208	0.2483666561
209	0.2475123052
210	0.2468574312
211	0.2464426712
212	0.2455144105
213	0.2446735877
214	0.2443257438
215	0.2439069218
216	0.2430412151
217	0.2421946349
218	0.2415730158
219	0.2406832377
220	0.2400671818
221	0.2395018472
222	0.2388526422
223	0.2383079882
224	0.2378294203
225	0.2372099559
226	0.2367561128
227	0.2361573467
228	0.2354678048
229	0.2347106934
230	0.2341400429
231	0.2335515199
232	0.2327994241
233	0.2322751681
234	0.2315131117
235	0.2310243889
236	0.230478534
237	0.2297118858
238	0.2292440203
239	0.2287139186
240	0.228112574
241	0.2276443729
242	0.2269786729
243	0.2263721007
244	0.2258674127
245	0.2253161183
246	0.2247158333
247	0.2242283821
248	0.223695702
249	0.2233598144
250	0.222815443
251	0.2223432682
252	0.2216594661
253	0.2210306062
254	0.2205408944
255	0.2200833603
256	0.2195970747
257	0.2190735252
258	0.2184694785
259	0.2177743912
260	0.2173798349
261	0.2168021202
262	0.2163096534
263	0.2159190708
264	0.2154226126
265	0.2149173065
266	0.2143941455
267	0.2138175964
268	0.2133173766
269	0.2129819481
270	0.2124917419
271	0.2118113129
272	0.2113857622
273	0.2109420564
274	0.2105918284
275	0.2100339289
276	0.2096304364
277	0.2091559128
278	0.2086564876
279	0.2081513228
280	0.2077385585
281	0.2073305978
282	0.2066152361
283	0.2061568719
284	0.2057753492
285	0.2054965408
286	0.2048756988
287	0.2044179704
288	0.203914713
289	0.203449991
290	0.2027429475
291	0.202453578
292	0.2020780775
293	0.2014361841
294	0.2010723043
295	0.2003923169
296	0.1998642815
297	0.199397299
298	0.1991180314
299	0.1985393983
300	0.1981064479
301	0.1976336197
302	0.1970964008
303	0.196886875
304	0.1965716327
305	0.1962200094
306	0.1958341599
307	0.1953586119
308	0.194999271
309	0.1945030778
310	0.1941034882
311	0.1934153592
312	0.1928218559
313	0.1925739712
314	0.1920884097
315	0.1917537053
316	0.1914025766
317	0.1910740534
318	0.1906551432
319	0.1901825446
320	0.1897478633
321	0.1894314907
322	0.1890174018
323	0.1887379576
324	0.1883982376
325	0.1880443361
326	0.1876216994
327	0.1872499254
328	0.1869954533
329	0.1867061898
330	0.1861741455
331	0.185712938
332	0.1852574878
333	0.185011122
334	0.1846191265
335	0.1842756271
336	0.1839053543
337	0.1835580049
338	0.1831848886
339	0.1827736431
340	0.1822758251
341	0.1819561146
342	0.1815308288
343	0.1811016577
344	0.1806920723
345	0.1803544362
346	0.179840759
347	0.1794295488
348	0.1792374717
349	0.1788677639
350	0.1784409417
351	0.1779361478
352	0.1776088255
353	0.1773179725
354	0.1769456863
355	0.1767057136
356	0.17648598
357	0.1761371824
358	0.1758944194
359	0.1753667549
360	0.1751463502
361	0.1748567511
362	0.174489763
363	0.1742297985
364	0.17376188
365	0.1733717742
366	0.1730250253
367	0.1727443978
368	0.1725286554
369	0.1723031998
370	0.1718803688
371	0.1714109845
372	0.170968303
373	0.1707945223
374	0.1705387257
375	0.1703115746
376	0.1699038435
377	0.1696233396
378	0.1693298552
379	0.1689978352
380	0.168572002
381	0.1683323118
382	0.1680419357
383	0.1677517538
384	0.167534263
385	0.1672416616
386	0.166904891
387	0.1664580239
388	0.1661370595
389	0.1658858547
390	0.1654674742
391	0.1652265301
392	0.1649996793
393	0.164740845
394	0.1645749057
395	0.1642134278
396	0.1639830448
397	0.1636969248
398	0.1634023454
399	0.1631220358
400	0.1629149119
401	0.1626405716
402	0.1623000039
403	0.1619517008
404	0.1617054056
405	0.161340219
406	0.160966361
407	0.1608423127
408	0.1604340341
409	0.160223643
410	0.1598279741
411	0.1594257002
412	0.1592564759
413	0.1590418639
414	0.1588428639
415	0.1586808805
416	0.1583867603
417	0.1580535394
418	0.1576705862
419	0.1572606652
420	0.1568933063
421	0.1567710947
422	0.15636407
423	0.156003175
424	0.1558042809
425	0.1556647265
426	0.1554802612
427	0.1550162103
428	0.1548579534
429	0.1545312316
430	0.1542201395
431	0.1539012768
432	0.1535708463
433	0.1533562342
434	0.1530527186
435	0.1528895519
436	0.1526429388
437	0.1523946833
438	0.1520386095
439	0.1517182456
440	0.1514503868
441	0.1513038565
442	0.1510608285
443	0.1507899673
444	0.1505701454
445	0.1503944397
446	0.1501616019
447	0.1499418683
448	0.1497849712
449	0.1495096595
450	0.149230957
451	0.149098361
452	0.1488199234
453	0.1485569919
454	0.14832426
455	0.1480636508
456	0.1477743431
457	0.1473386376
458	0.1471085637
459	0.146868538
460	0.1466560805
461	0.1464955277
462	0.1463636822
463	0.1460952582
464	0.1458287769
465	0.1454667604
466	0.1452541351
467	0.1450615636
468	0.1448679765
469	0.1445196116
470	0.1441329055
471	0.1437913488
472	0.1436038635
473	0.1433927306
474	0.1431642815
475	0.1428602095
476	0.142595194
477	0.1423647757
478	0.1421229045
479	0.1418414646
480	0.1416589419
481	0.1414597476
482	0.1412577629
483	0.1410870994
484	0.1407720071
485	0.1404841741
486	0.140286322
487	0.1400915605
488	0.1399941444
489	0.1396535591
490	0.1392862179
491	0.1391120487
492	0.1387993495
