회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부,부정기사비율
씨제이이엔엠,2009,2.814261532,16.47887894,5.636979326,174.8506434,60.80358738,2011-12-31,0,14.285714285714285
안랩,2009,47.46649223,50.40074353,8.359978359,545.2179483,56.93915197,2011-12-31,0,60.0
포스코아이씨티,2009,-23.17402568,-25.12169756,6.080191495,123.482176,130.0635857,2011-12-31,0,18.51851851851852
네오위즈,2009,46.03606717,20.6469799,19.27423611,386.9548762,93.02202674,2011-12-31,0,25.0
젬백스&카엘,2009,23.31451416,-0.883477493,-8.765436433,238.9519556,12.50772714,2011-12-31,0,12.149532710280374
덕산하이메탈,2009,11.20083591,22.43507151,5.116725766,430.2355535,34.99356559,2011-12-31,0,9.195402298850574
메가스터디,2009,41.31950616,78.32987001,29.73493458,573.5834703,83.62909134,2011-12-31,0,22.0
서부티엔디,2009,-4.431832367,1.594347847,0.510037209,297.1114669,5.405574892,2011-12-31,0,18.75
성우하이텍,2009,10.29269605,17.93880335,2.250833049,139.3599854,94.90195715,2011-12-31,0,27.710843373493976
성광벤드,2009,47.70768756,57.76410546,16.27958684,429.6391111,72.06058109,2011-12-31,0,3.7037037037037033
인터플렉스,2009,22.67815036,47.03157371,7.364499818,248.9804258,132.9766207,2011-12-31,0,4.444444444444445
아가방앤컴퍼니,2009,35.24711432,30.90538019,6.88066763,320.6858407,99.52865665,2011-12-31,0,11.666666666666666
엘엑스세미콘,2009,71.70713445,71.10621301,31.02962001,487.021421,162.3220894,2011-12-31,0,0.0
위메이드,2009,79.70156074,29.60050124,20.48114484,770.8216946,36.78235256,2011-12-31,0,6.666666666666667
멜파스,2009,69.95853572,27.21902048,14.573098,583.2907153,131.9415873,2011-12-31,0,15.0
파트론,2009,23.62635514,45.06686317,26.91573711,374.3901559,160.6048169,2011-12-31,0,14.285714285714285
큐로컴,2009,20.51097479,-106.945239,-11.37434026,443.1466279,15.47325409,2011-12-31,0,22.07792207792208
웹젠,2009,61.82446907,-1.49958322,-1.169186226,1101.013685,21.02278091,2011-12-31,0,20.0
그래디언트,2009,54.23235008,57.81731335,-3.810018665,388.2335951,62.62412973,2011-12-31,0,0.0
주성엔지니어링,2009,20.98727165,17.55833634,3.923681178,184.2667999,46.36339284,2011-12-31,0,8.235294117647058
네패스,2009,14.13781837,27.65285984,9.621716262,224.6723828,98.79216598,2011-12-31,0,8.333333333333332
삼표시멘트,2009,-24.53461778,-0.454551808,-0.231311615,166.8513511,33.5865674,2011-12-31,0,0.0
유진테크,2009,23.48156031,34.83109026,12.66281355,217.7206105,81.2851614,2011-12-31,0,11.11111111111111
크루셜텍,2009,30.48415794,20.46057844,17.8214151,166.1682708,152.0184938,2011-12-31,0,19.607843137254903
이오테크닉스,2009,38.11102023,37.06990914,4.993478431,338.5216527,65.95279842,2011-12-31,0,18.75
오성첨단소재,2009,-27.89056085,10.04975174,2.475593507,132.4226757,26.08327073,2011-12-31,0,0.0
멀티캠퍼스,2009,77.44446178,53.02300515,4.015188263,1371.375894,76.74506663,2011-12-31,0,13.333333333333334
제이브이엠,2009,-12.93784952,-5.721786347,7.649035453,120.2180631,29.92698341,2011-12-31,0,19.753086419753085
고영테크놀러지,2009,54.54785666,35.7639328,4.555148969,369.0646086,54.02517128,2011-12-31,0,4.25531914893617
톱텍,2009,34.33294656,21.98513261,10.4493502,220.4878775,98.39257742,2011-12-31,0,16.216216216216218
폴라리스오피스,2009,35.57772025,32.3100021,10.80503806,386.4946045,60.94536319,2011-12-31,0,7.317073170731707
휴맥스,2009,25.14265397,-3.183747282,1.578031986,197.2920523,33.89137956,2011-12-31,0,3.9473684210526314
루멘스,2009,19.27671266,5.549844013,3.144031593,192.7868645,73.10468588,2011-12-31,0,8.75
큐렉소,2009,40.55532365,-108.1008205,-13.89437946,281.3313041,83.56972611,2011-12-31,0,17.91044776119403
드래곤플라이,2009,1.334121181,46.67152253,18.65726519,397.0590039,40.29701658,2011-12-31,0,15.217391304347828
파트론,2010,7.569837229,36.84850828,17.90340504,231.9029029,143.1036742,2012-12-31,0,9.63855421686747
태광,2010,63.02239236,74.96253095,0.079984643,774.4577053,65.42464059,2012-12-31,0,27.536231884057973
포스코엠텍,2010,31.61699268,18.49997551,4.8499499,204.6610115,179.1445664,2012-12-31,0,14.705882352941178
컴투스,2010,66.62903539,50.9257466,5.138445925,2060.840575,42.81344102,2012-12-31,0,24.390243902439025
삼에스코리아,2010,-13.15047908,-57.61701828,-8.253354601,173.2800481,38.80346737,2012-12-31,0,25.0
오리엔탈정공,2010,-16.11385953,6.6763168,1.921239067,128.7362782,62.92520826,2012-12-31,0,30.37974683544304
유니슨,2010,-28.79709167,-12.82617111,-6.696339622,120.528465,29.73574491,2012-12-31,0,14.285714285714285
우주일렉트로닉스,2010,38.62544948,54.60559312,18.31347258,417.8970919,98.45535146,2012-12-31,0,8.0
에스맥,2010,21.9079857,23.51327293,8.416787725,163.4546199,207.3393127,2012-12-31,0,13.043478260869565
미래나노텍,2010,34.59844445,28.13097381,7.413278285,267.9785541,101.7586415,2012-12-31,0,3.8461538461538463
