,기업,기사발행일,기사제목,뉴스기사본문전처리
0,금빛,2021.08.24. 오전 9:20,'금빛 검객' 男 펜싱 올림픽 영웅들의 퍼포먼스룩,휠라 남자 펜싱 인방의 퍼포먼스 히어로즈 화보 공개휠라가 대한민국 남자 펜싱 사브르 대표팀 인방과 함께 촬영한 퍼포먼스 히어로즈 화보를 공개했다./사진제공휠라지난 도쿄올림픽에서 올림픽 디펜딩 챔피언 타이틀을 획득한 대한민국 남자 펜싱 사브르 대표팀 인방이 휠라와 함께 파워풀한 매력을 선보였다.휠라는 오상욱김준호구본길김정환 선수로 구성된 대한민국 남자 펜싱 사브르 대표팀 인방과 함께한 퍼포먼스 히어로즈 화보를 공개했다. 올림픽의 진한 감동이 여전한 가운데 영웅들이 왔다라는 컨셉을 바탕으로 도쿄올림픽에서 금메달 연패의 주인공이 됐던 인방과 펜싱의 다양한 매력을 인 색으로 표현했다. 명의 선수들은 휠라 퍼포먼스 러닝화 휠라 뉴런 운동력 향상에 도움을 주는 기능성 소재의 패커블 경량 재킷 스트레치 후디트랙탑 등 퍼포먼스 전용 의류 등을 착용한 채 펜싱 동작을 응용한 날렵하고 역동적인 포즈와 카리스마 넘치는 표정을 보여줬다. 뛰어난 경기력만큼이나 수려한 외모로 펜싱  어펜져스 등의 별칭을 얻었던 인방의 화보는 매거진 맨즈헬스를 통해 확인 가능하다. 휠라가 대한민국 남자 펜싱 사브르 대표팀 인방과 함께 촬영한 퍼포먼스 히어로즈 화보를 공개했다./사진제공휠라휠라 측은 올여름 국민들에게 큰 기쁨을 선사한 남자 펜싱 사브르 대표팀이 이번 화보를 통해 휠라 퍼포먼스의 매력을 더욱 극명하게 표현해줬다며 펜싱 영웅들이 선보인 휠라 퍼포먼스 슈즈와 의류는 운동하기 좋은 계절을 앞두고 기능성 운동복을 찾는 이들에게 신선한 제안이 될 것이라고 설명했다. 휠라와 펜싱 영웅의 인연은 이보다 앞서 이뤄졌다. 이번 도쿄올림픽에 참가한 펜싱 대표 선수들은 년부터 대한민국 펜싱 대표팀을 공식 후원 중인 휠라의 로고가 새겨진 경기복과 경기화를 신고 경기에 나섰다. 
1,금빛,2021.08.24. 오후 2:20,휠라와 함께 하는 '금빛 검객' 男 펜싱 올림픽 영웅들,휠라는 대한민국 남자 펜싱 사브르 대표팀 인방이 매거진 맨즈헬스와 함께한 퍼포먼스 히어로즈 화보를 공개했다고 일 밝혔습니다. 휠라와 함께한 도쿄올림픽에서 금메달 연패의 주인공이 됐던 이들은 이번에는 휠라의 퍼포먼스 슈즈와 의류를 착용하고 펜싱의 다양한 매력을 인 색으로 표현했습니다. 영웅들이 왔다라는 콘셉트 아래 휠라 퍼포먼스 화보 모델로 변신했는데 명의 선수들은 휠라 퍼포먼스 러닝화 휠라 뉴런 운동력 향상에 도움을 주는 기능성 소재의 패커블 경량 재킷 스트레치 후디트랙탑 등 퍼포먼스 전용 의류 등을 착용한 채 펜싱 동작을 응용한 날렵하고 역동적인 포즈 카리스마 넘치는 표정을 보여줬습니다 휠라는 년부터 대한민국 펜싱 대표팀을 공식 후원 중이며 이번 도쿄올림픽에 참가한 펜싱 대표 선수들은 휠라가 제공한 유니폼을 입고 경기에 나섰습니다.휠라 관계자는 올여름 국민들에게 큰 기쁨을 선사한 남자 펜싱 사브르 대표팀이 이번 화보를 통해 휠라 퍼포먼스의 매력을 더욱 극명하게 표현해줬다라며 펜싱 영웅들이 선보인 휠라 퍼포먼스 슈즈 의류는 운동하기 좋은 계절을 앞두고 개성과 기능성에 집중한  고민하는 분들께 신선한 제안이 될 것이라고 전했습니다 . 
2,금빛,2021.09.20. 오후 8:22,'얼룩백이 황소' 칡소를 아십니까?…개체 보존 '안간힘', 앵커멘트 한우 하면 황토색을 띤 소가 떠오르시죠.그런데 고구려 벽화부터 조선 말까지 우리 소는 검은 소도 있었고 얼룩소도 있었습니다.한때 멸종 위기를 맞았던 칡소의 부활 정치훈 기자가 취재했습니다. 기자 얼룩백이 황소가 해설피 금빛 게으른 울음을 우는 곳정지용 향수에 묘사된 얼룩소 젖소로 생각할 수 있지만 다릅니다.소의 몸 전체가 얼룩무늬를 지니고 있어 호랑이소 호반우로 불리는 전통 한우 칡소입니다.조선 말까지 흔했던 이 소가 자취를 감춘 건 일제강점기에 적갈색 소만 한우로 규정하는 말살 정책 때문입니다. 스탠딩  정치훈 / 기자 한때 여 마리만 남을 정도로 멸종 위기를 맞았지만 종 복원을 거치면서 전국에 천여 마리가 사육되고 있습니다. 인터뷰  김성우 / 국립축산과학원 가축유전자원센터 박사 전통 한우에 대한 뜻이 있으신 분이 꾸역꾸역 년대 말 년대까지 유지하신 분이 계세요. 인제 와서는 우리나라 원래 토종이 맞다 그렇게 인정을 해주고 지금은 한우의 한 갈래로 칡소를 따로 관리를 시작했죠.하지만 꾸준한 개량을 거쳐 온 한우에 밀려 여전히 칡소 사육을 외면하고 있습니다.같은 개월 수의 한우보다 체중이 적어 자칫 육우 취급을 당하기도 일쑤입니다. 인터뷰  장세덕 / 전남 담양 칡소농장 대표 일반 한우보다는 성장이 느립니다. 개월씩 개월씩 키워서 내야 고기 맛도 좋아지고요. 그러다 보니 자금 압박이 심했죠.기름기가 적고 고소하고 담백한 육질 때문에 건강식으로 입소문을 탔지만 여전히 제대로 된 브랜드나 판매처가 부족한 상황.칡소 부활은 성공했지만 부족한 경제성은 해결해야 할 과제입니다.뉴스 정치훈입니다.영상취재  최양규 기자
3,이엠네트웍스,2021.06.28. 오후 6:12,"거래소, 이엠네트웍스 상장폐지 결정", 한국거래소 코스닥시장본부는 일 코스닥시장위원회를 통해 이엠네트웍스의 주권에 대해 상장폐지로 의결했다고 이날 공시했다.앞서 지난해 월 이엠네트웍스는 개월간의 개선기간을 부여받았으며 지난 일 개선계획 이행내역서를 제출했지만 이날 코스닥시장위원회에서 최종 상장폐지 결정이 났다.
4,이엠네트웍스,2021.02.23. 오전 10:19,"‘라임 무자본 M&A’ 이엠네트웍스, 회생절차 개시",오는 월일까지 조사기간계속기업가치 입증 거래재개 가능 여부 관심 라임 사태 연루자들의 타깃이 돼 홍역을 앓던 코스닥 상장사 이엠네트웍스의 기업회생 절차가 개시됐다. 라임발 악재와 수년간의 적자로 거래 정지 상장폐지 위기까지 몰린 상황에서 경영 정상화 단추를 채울 수 있을지 관심이 모아진다.일 투자은행 업계에 따르면 이엠네트웍스는 지난 월 서울행정법원에 회생절차를 신청한 데 이어 지난 일 회생절차 개시 결정을 받았다. 내달 일까지 회생채권자 회생담보권자 및 주주 목록을 제출하고 같은 달 말일까지 신고를 진행 월일까지 회계법인의 조사 기간을 갖는 일정이다.이를 통해 기업의 존속가치와 청산가치를 평가하고 오는 월일까지 회생계획안을 제출해야 한다. 관리인은 채무자의 대표자인 홍찬석 이엠네트웍스 대표이사가 맡는다.이엠네트웍스는 반도체 밀봉재료인  등을 주요 제품으로 하는 반도체 및  소재업체로 년 월까지 네패스신소재 상호를 썼다. 이후 에스모 머티리얼즈로 상호를 변경한 뒤 라임 사태가 불거지고 거래정지에 이르자 지난해 월 이엠네트웍스로 한 차례 더 이름을 바꾸며 이미지 제고를 꾀했다.이엠네트웍스는 라임펀드 자금을 넘겨받아 회사를 인수 횡령과 주가조작을 벌인 일당들의 타깃이 된 바 있다. 일당의 주범인 이모 씨는 지난 월 심에서 징역 년 벌금 억원의 중형을 선고받았다. 이씨 등은 년 월부터 년 월까지 페이퍼컴퍼니를 통해 현 이엠네트웍스 등을 무자본 인수한 뒤 주가를 조작해 억원 상당을 부당 취득한 혐의를 받는다.일당은 주가 조작을 통해 가치가 올라간 지분을 라임에 넘기거나 주식담보 대출을 받는 식으로 투자를 회수했고 회사는 허위 공시 등이 밝혀지며 거래 정지에 이르렀다.지난해 월 거래 정지 이후 이엠네트웍스는 한국거래소가 상장폐지를 결정했지만 이의신청을 제기 오는 월일까지 개선기간을 부여받은 상태다. 거래 재개를 위해 그동안 대표이사 교체 상호 변경 등 라임 이미지 벗기와 동시에 무상감자 등 재무적 노력도 기울여 왔다.그러나 최근 년간 이어진 영업 적자로 거래 재개 가능성에 대한 기대가 높지는 않은 상황이다. 이엠네트웍스는 지난해 억만원의 매출을 기록했지만 영업손실이 억원 가량 발생 사업연도 연속 영업손실이 확인됐다. 앞서 이엠네트웍스는 지난해 월 사업연도 연속 영업손실로 관리종목에 지정된 바 있다. 구조조정 업계 한 관계자는 회생절차에 본격 돌입한 만큼 계속기업가치 입증에 총력을 기하면서 올해 사업 내실 다지기에 집중할 것으로 보인다고 전망했다..환경적 대화기구 헤럴드에코밀리터리 전문 콘텐츠 헤밀헤럴드경제 네이버 채널 구독   헤럴드경제  . 무단 전재 및 재배포 금지 
5,이엠네트웍스,2020.10.30. 오후 5:11,"에스모 머티리얼즈, 상호명 '이엠네트웍스'로 변경", 에스모 머티리얼즈는 상호명을 이엠네트웍스로 변경하기로 했다고 일 공시했다.에스모 머티리얼즈 이전의 상호명은 네패스신소재였다.유병돈 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기 요즘 트렌드 모아보고 싶을 땐 드링킷경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
14,이엠네트웍스,2021.03.25. 오전 7:34,[e공시 눈에 띄네] 코스닥-24일, 장 마감 후 주요 공시 제이씨현시스템차현배 대표이사 사임. 차중석 단독 대표 체제로 전환대한광통신박하영 대표이사 사임. 도문현 대표이사로 변경메탈라이프알에프머트리얼즈로 상호 변경텔레칩스임원 상여급 지금 위해 억만원 규모 자사주 주 처분 결정가온미디어종속사 가온브로드밴드 대상 억원 규모 채무보증 결정아이엠이연이사업보고서 등 지연제출에 대한 제재 면제 대상 승인우리기술억원 규모 무기명식 이권부 무보증 사모 전환사채 전환 청구럭슬공시번복 건으로 한국거래소로부터 불성실공시법인 지정 예고한컴김상철 대표 사임. 전동욱 이창열 각자 대표 체제로 전환한프유한성 대표와 감사 및 이사 회생계획 인가와 동시 전원 퇴임 결정에버다임전병찬 대표 사임. 임명진 사내이사를 대표로 신규 선임. 사명 현대에버다임으로 변경한솔인티큐브고광선 대표 사임. 류창성 대표 신규 선임주이카쿠에서 일렉트로닉게이밍디벨롭먼트로 최대주주 변경이엠네트웍스사업보고서 등 지연제출에 대한 제재 면제 대상 승인뉴로스사업보고서 등 지연제출에 대한 제재 면제 대상 제외코닉글로리운영자금 조달 위해 억원 규모 유상증자 결정한프채무상환자금 조달 위해 억원 규모 유상증자 결정스타모빌리티회생계획 인가에 따른 유상증자로 최대주주 참존생활건강 외 명으로 변경클리노믹스박종화 김병철 공동대표 체제에서 김병철 정종태 공동대표 체제로 변경야스자사주 만주 만원에 처분 결정이즈미디어홍성철 외 인에서 티피에이리테일로 최대주주 변경이민우 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기 한 눈에 보는 . 재보궐 선거경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
16,이엠네트웍스,2021.02.17. 오전 11:52,연이은 적자로 '관리종목·상장폐지 위기' 코스닥 기업 30여곳,실적 부진 우려 기업에는 투자 주의해야황진환 기자실적 부진으로 관리종목이나 상장폐지 기로에 놓인 코스닥 상장사가 곳에 달하는 것으로 나타났다. 결산 시즌을 맞아 실적 부진이 우려되는 기업 투자에는 주의가 요구된다.일 한국거래소에 따르면 코스닥 상장사 중 최근 년간 영업이익 적자를 내 관리종목으로 지정된 종목은 모두 곳이다. 코스닥 기업은 년 연속 영업손실이면 관리종목으로 지정되고 년 연속이면 상장폐지 심사 대상이다.이 가운데 지난해 분기까지 누적 영업이익을 올리지 못해 상장폐지 위기에 놓인 종목은 곳으로 파악됐다. 에스디시스템 제이웨이 에스앤더블류 이엠네트웍스 유테크 럭슬 스카이문스테크놀로지 테라셈 그룹 아래스 한국정밀기계 유아이디 등이다.년 연속 적자를 냈지만 메이슨캐피탈 바른손 파나진 픽셀플러스  코스믹 국순당 솔고바이오 알톤스포츠 액션스퀘어 내츄럴엔도텍 등은 지난해 분기까지 누적 영업이익이 흑자로 돌아서면서 관리종목에서 벗어날 가능성이 커졌다.년 연속 영업손실인 곳도 많다. 이들 기업은 올해도 적자를 기록하면 관리종목으로 지정된다. 년 연속 영업이익 적자를 낸 상장사 중 이미 관리종목으로 지정된 곳과 기술성장기업부에 속해 일반적인 코스닥시장 퇴출 요건을 적용받지 않은 곳 등을 제외한 종목은 총 곳이다.이 중 곳은 지난해 분기까지 누적 영업이익 손실이 발생해 관리종목 지정 대상이 될 가능성이 커졌다.  네이블 동방선기 동운아나텍 미래 서진오토모티브 소리바다 아이에스이커머스 아이에이네트웍스 에이비프로바이오 이미지스 투비소프트 대한그린파워 코오롱생명과학 등이 해당한다.다만 이들 곳 상장사가 실제 결산 결과 년 연속 적자를 낸다고 하더라도 영업손실로 인한 관리종목은 전년도 곳에 비해 다소 줄 것으로 예상된다. 또 올해 상장폐지 위기에 놓인 곳은 곳으로 지난해 상장폐지된 코스닥 상장사 곳에 비해 곳 적다.올해들어 내부결산 시점 관리종목 지정 또는 상장폐지 사유 발생을 공시한 상장사 중 일부는 장기영업손실 외 관리종목 지정 요건인 매출액 억원 미만 관리종목 지정 후 법인세 비용 차감 전 계속사업손실이 자기자본  이상 사업연도말 자본잠식률  이상 등에도 해당됐다.년 연속 영업손실이 발생한 아리온은 포스링크 스타모빌리티와 함께 매출액 억원 미만 기준에 해당됐다. 디에스티는 사업연도말 자본잠식률  이상 및 자기자본 억원 미만 등의 사유로 관리종목 지정 사유 발생 공시를 냈다. 확 달라진 노컷뉴스 클릭 한 번이면 노컷뉴스 구독 보다 나은 세상 노컷브이와 함께..저작권자   노컷뉴스 무단전재 및 재배포 금지
17,이엠네트웍스,2021.02.17. 오전 7:04,[e공시 눈에 띄네]코스닥-16일,장 마감 후 주요 공시멕아이씨에스유상증자 최종 발행가액 만원 확정위세아이텍보통주 주당 .주 무상증자 결정에스디시스템년 연속 영업 손실로 인한 상장적격성 실질심사 사유 추가 우려펄어비스액면가 원에서 원으로 주식분할 결정홀딩컴퍼니제자 배정 방식 억원 규모 유상증자 결정장원테크불성실공시법인 지정비츠로시스거래소 코스닥시장위원회 상장폐지 의결이엠네트웍스자본 전액 잠식 등으로 인한 상장폐지 및 관리종목 지정 사유 추가 우려이선애 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기  무료취업교육 핀테크/ 훈련정보 보기경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
20,이엠네트웍스,2021.02.16. 오전 11:26,결산시즌...코스닥 적자기업 비상,관리종목 개사 상장 폐지 관심...한국정밀기계 등 퇴출위기코스피가 전 거래일보다 .포인트 오른 .에 출발한 일 서울 중구 하나은행 딜링룸에서 직원들이 업무를 보고 있다. 코스닥은 전 거래일보다 .포인트 오른 .에 개장했다. 원달러 환율은 전 거래일보다 .원 내린 .원에 출발했다./김현민 기자  실적발표 시즌이 돌아오면서 코스닥 적자기업들에 비상이 걸렸다. 년 연속 영업손실을 기록한 코스닥 기업은 관리종목으로 지정된다. 년 연속 영업손실은 상장 적격성 실질심사 사유에 해당한다.일 한국거래소에 따르면 현재 거래소가 년 연속 영업손실을 기록해 관리종목으로 지정한 기업은 총 곳이다. 해당 기업은 지난해 실적에서 누적 기준으로 영업이익을 올리지 못할 경우 상장폐지 종목으로 지정되게 된다.앞서 년 연속 영업손실을 기록한 이후 지난해 분기까지 누적 영업이익을 올리지 못한 곳은 한국정밀기계 아래스그룹 테라셈 스카이문스테크놀로지 럭슬 유테크이엠네트웍스 에스앤더블류 제이웨이 에스디시스템등 곳이다. 이 가운데 이미 상장폐지 갈림길에 선 기업도 있다. 한국정밀기계 에스앤더블류 스카이문스테크놀로지 등은 지난해 연간 영업손실 공시를 내면서 증시 퇴출 위기를 맞고 있다. 반면 반전 드라마를 쓴 곳도 있다. 아래스 유테크 테라셈 등의 경우 지난해 실적에서 영업이익 흑자전환에 성공했다.이미 지난해 분기부터 누적 영업이익이 흑자로 돌아선 곳 중에서는 파나진 내츄럴엔도텍 픽셀플러스 솔고바이오 알톤스포츠 등이 분기에도 역시 영업이익 흑자 기조를 이어가면서 관리종목을 벗어날 가능성을 높였다. 아직 실적 발표 전이지만 국순당 액션스퀘어  코스믹 바른손 메이슨캐피탈 등도 지난해 실적 호전에 따라 상장폐지 가능성이 낮은 상태다.코스닥 종목은 최근 개 사업연도중 개 사업연도에서 자기자본 를 초과하는 법인세비용차감전계속사업손실이 발생하는 경우에도 관리종목으로 지정된다. 현재 거래소는 해당 사유로 총 개사를 관리종목으로 관리하고 있다. 지난해 분기 누적 기준 자기자본 를 초과해 법차손이 발생한 기업은 조이맥스 마이더스등이다. 최근 실적을 발표한 조이맥스는 작년 억원의 법차손을 냈음에도 지정사유를 피한 상태다. 대규모 유상증자 등을 통해 자기자본을 억원 이상 늘리면서 자기자본 대비 법차손 비율을 대로 낮췄기 때문이다.박지환 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기  무료취업교육 핀테크/ 훈련정보 보기경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
