회사명,거래소코드,회계년도,자산(*)(연결),자산(*),영업이익(손실),영업이익(손실)(연결),부채(*)(연결),부채(*),자본(*)(연결),자본(*),매출액(영업수익)(*)(연결),매출액(영업수익)(*),유동자산(*)(연결),유동자산(*),유동부채(*)(연결),유동부채(*),이익잉여금(*)(연결),이익잉여금(*)
(주)금빛,45890,Dec-19,102849215,101724359,-16662557,-16108710,71819944,69529324,31029271,32195035,58651417,55240846,37338343,36969681,67374899,65704874,-48599083,-46175836
(주)맥스로텍,141070,Dec-19,,75565720,-8517556,,,47403677,,28162044,,37317298,,25561036,,31443527,,-15559160
(주)미래SCI,28040,Dec-19,54405331,48377378,-5016986,-5963842,37487787,31346640,16917544,17030738,14797966,14699802,35334261,34239363,35132509,31265971,-98090851,-97977656
(주)아이엠텍,226350,Dec-19,54274661,52827782,-2751188,-2908095,36964987,35692542,17309673,17135241,13844952,13844952,17252769,16680360,31581493,30314293,-44133875,-44418264
(주)에스제이케이,80440,Dec-19,55342770,59723547,-4582413,-5488223,42063072,44014927,13279698,15708619,4124848,3805177,6118787,4780922,34997580,37079024,-67908260,-65365491
(주)에이치디,102210,Dec-19,146820812,146820812,-2644956,-2765004,35041281,35041281,111779531,111779531,37778318,37778318,91396138,91396138,34771006,34771006,57799849,57799849
(주)에이팸,73070,Dec-19,119641377 ,117564448 ,-5199063 ,-8752612 ,74568505 ,66843491 ,45072872 ,50720957 ,50587576 ,47823695 ,51874990 ,42170962 ,70230341 ,65240812 ,-13573107 ,-7419341 
(주)이매진아시아,36260,Dec-19,17924929 ,18295141 ,-3139370 ,-3779625 ,6009557 ,4980992 ,11915372 ,13314149 ,12690904 ,8023480 ,13259494 ,12176788 ,5507939 ,4498607 ,-97429709 ,-89261033 
(주)이엠네트웍스,87730,Dec-19,58841584 ,57032067 ,-4804316 ,-8680191 ,53787729 ,51327331 ,5053855 ,5704736 ,12991455 ,13459066 ,39542414 ,35396323 ,47793783 ,46108635 ,-94146044 ,-90791657 
(주)제낙스,65620,Dec-19,24780625 ,30175267 ,-6859726 ,-8745753 ,23301868 ,23283313 ,1478757 ,6891954 ,3600677 ,3600677 ,4383771 ,4322441 ,21747144 ,21728589 ,-99582602 ,-91612132 
(주)지유온,111820,Dec-19,,25081604 ,-2286842 ,,,24749397 ,,332207 ,,4222230 ,,16946514 ,,10070576 ,,-71987484 
(주)코너스톤네트웍스,33110,Dec-19,79716591 ,64021459 ,-6822717 ,-10888172 ,43119249 ,33051428 ,36597342 ,30970031 ,13584547 ,2288905 ,34576545 ,18579700 ,36174400 ,29051928 ,-127682589 ,-132178419 
(주)팍스넷,38160,Dec-19,78950571 ,76132171 ,-13019238 ,-16158578 ,65723167 ,62516634 ,13227404 ,13615537 ,10679469 ,7858043 ,52112372 ,50583831 ,57704871 ,54532902 ,-12920536 ,-12339193 
(주)퓨전,195440,Dec-19,55650352 ,53218724 ,-7289934 ,-10431975 ,24622106 ,21508872 ,31028245 ,31709852 ,16289844 ,8860761 ,25402931 ,17695859 ,23142764 ,20453365 ,-27355675 ,-26413873 
(주)행남사,8800,Dec-19,44161246 ,44861059 ,-3213889 ,-4509218 ,13526747 ,12774027 ,30634499 ,32087032 ,7686833 ,6667941 ,13459055 ,13307261 ,12919194 ,12279608 ,-41652199 ,-40942073 
(주)화신테크,86250,2019,55260144 ,,,-487104 ,34158747 ,,21101396 ,,25882527 ,,19533411 ,,,24056457 ,10843735 ,
디에스티(주),33430,Dec-19,54525328 ,54460349 ,-4144583 ,-4136384 ,50663913 ,50378294 ,3861415 ,4082055 ,20809840 ,20809840 ,23744885 ,23740763 ,49057521 ,48924805 ,-97151849 ,-96762371 
럭슬(주),33600,2019,66144513 ,,,-5464507 ,51861727 ,,14282786 ,,19919733 ,,23064854 ,,,47003122 ,-5464507 ,
에스앤씨엔진그룹리미티드,900080,Dec-19,456216730 ,,,14591391 ,16398678 ,,439818052 ,,107613521 ,,237439158 ,,14307548 ,,318048121 ,
에이아이비트(주),39230,Dec-19,68044383 ,58338101 ,486589 ,3148083 ,17592045 ,9520808 ,50452338 ,48817294 ,37400538 ,8310047 ,51193573 ,32198534 ,17095517 ,9412846 ,-83514966 ,-83708842 
