회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
네오퍼플,2012,-1.058657657,-50.74962348,-10.29208619,148.9168472,61.82288039,1
네프로아이티,2010,7.40848272,8.757557205,-8.019206099,225.8856343,45.07906873,1
넷웨이브,2011,28.63373126,-20.5067397,-26.89101978,273.9563146,85.28217828,1
뉴젠아이씨티,2010,51.70312206,-250.6529286,-11.19695934,507.0040992,20.69159211,1
대양글로벌,2010,70.58805307,-53.90488164,-31.3035924,1329.128553,35.97767703,1
디아이디,2014,-30.13426217,-23.45879025,-13.73889136,108.6817763,161.8213585,1
디에스,2012,-69.68546178,-47.29046932,-59.22759821,113.37545,508.1502322,1
디에이치패션,2011,23.57782736,-180.473594,-7.111358784,2022.931704,13.25172408,1
디패션,2010,21.13908939,-332.9527083,-17.7129622,188.5560521,32.11277648,1
렉스엘이앤지,2013,-43.54525083,-205.8051272,-63.06833328,83.11972765,40.47052356,1
마이스코,2012,-27.40365939,-13.89552942,-8.928640243,130.8949162,63.19402374,1
맥스브로,2010,30.07678742,-63.73764024,-53.74818373,618.1968219,21.42937261,1
모린스,2013,-98.79645097,-81.85898179,-33.87629516,92.86793458,58.74324284,1
미성포리테크,2011,-61.46462565,-41.03696429,-15.14651366,94.78248153,70.64658536,1
보광티에스,2011,-27.57621294,-89.99991983,-26.17340577,110.2086598,19.39503427,1
블루젬디앤씨,2011,2.351200664,-118.9074474,1.040827939,221.4202721,29.28414347,1
비앤비성원,2011,4.467823831,0.552411367,2.403705203,295.558381,80.39503695,1
삼우이엠씨,2012,-93.95149223,-90.36099792,-59.98461415,69.78955571,64.20159799,1
선팩테크,2010,-40.35745401,-80.56827709,-28.32599257,100.7312344,11.83310553,1
세븐코스프,2010,26.24371219,-520.7725918,-45.13031496,205.7279706,79.72638841,1
세실,2010,18.52754024,-52.10807114,-79.8544497,518.0708063,49.09301199,1
스톰이앤에프,2010,-61.90775365,-372.783513,-27.3764049,76.45310935,101.8610611,1
씨모텍,2010,22.91657152,-20.12825374,4.230752046,208.8776976,129.6320244,1
씨엘인터내셔널,2015,-27.32921414,-199.7895555,-15.15155774,132.0168907,66.87388177,1
씨티앤티,2011,-42.03231393,-175.031089,-28.53946684,106.7679914,13.08057827,1
아라온테크,2013,29.78853653,-654.8316054,-18.22617284,881.9799059,37.78391792,1
아이디에스,2015,-40.61662965,-74.63196265,-12.12748073,118.4769611,44.8357655,1
아이팩토리,2015,23.13558296,-107.5650328,4.308658989,166.8599075,24.40161353,1
아인스엠앤엠,2011,-211.9211274,-269.5272775,-111.1503726,44.97326218,73.87459948,1
