기업,기사발행일,기사제목,뉴스기사본문
디아이디,2014.12.18. 오전 11:08,"<생생코스닥> 디아이디, 무선충전 관련 특허취득","디아이디는 웨어러블 디바이스의 무선 충전을 위한 스마트폰 및 그 무선전력 송신 방법에 관한 특허권을 취득했다고 18일 공시했다.

회사측은 “자기공명방식으로 무선충전 가능한 휴대 단말기를 이용해 웨어러블 디바이스를 무선충전시키는 방법에 관한 것”이라며 “공진형 무선충전 개발 제품에 적용할 계획”이라고 밝혔다.

미래 엘리트를 위한 영어신문 주니어헤럴드
[헤럴드경제 뉴스스탠드] [헤럴드TV 증권방송] [제3회 코리아헤럴드 청소년 외교아카데미]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [SUPERICH] [REAL FOODS]



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
디아이디,2014.12.04. 오전 9:09,"<특징주> 디아이디, 최대주주 지분매각 불발에 급락","(서울=연합뉴스) 김남권 기자 = 디아이디의 주가가 최대주주의 지분 매각 불발 소식에 급락했다.

4일 코스닥시장에서 디아이디는 오전 9시 5분 현재 전날보다 12.89% 내린 1천690원을 나타냈다.

디아이디는 자사 최대주주인 코와(KOWA)와 디에스아이 간 지분 양수도 계약을 해지했다고 전날 공시했다.

디에스아이 측이 지분 매매 계약과 관련해 전날까지 잔금 지급을 하지 않은데 따른 조치였다.

디에스아이와 디아이디는 코와가 보유한 디아이디 주식 649만주(35.14%)를 65억원에 양수도하는 계약을 맺은 바 있다.

kong79@yna.co.kr

▶으리으리한 연합뉴스 앱 지금 바로 다운받으리~

▶ [오늘의 HOT] 상복 터진 서건창, 스포츠서울 '올해의 선수'

<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
디아이디,2014.12.03. 오후 8:59,디아이디 매각 무산,"디에스아이 인수 자금 조달 실패로

정보기술(IT) 부품업체 디아이디(074130)의 매각이 인수 주체인 디에스아이 측의 인수자금 조달 실패로 무산됐다.

디아이디는 3일 공시를 통해 ""자사 최대주주인 코와(KOWA)와 디에스아이 간 지분 양수도 계약이 디에스아이 측의 잔금 지급 미이행으로 해지됐다""고 밝혔다.

앞서 디에스아이와 디아이디는 지난달 21일 코와가 보유한 디아이디 주식 649만주(35.14%)를 65억원에 양수도하는 계약을 체결했다고 밝혔다. 이는 최대주주 변경을 수반하는 계약으로 디아이디의 주가는 지난달 21일부터 4거래일 연속 상한가를 기록하기도 했다. 하지만 디에스아이 측은 계약금과 잔금 일부를 포함 25억원만 지급한 후 나머지 금액(40억원)을 약속 기한 내에 지급하지 않아 계약 해제 사유가 발생했다. 이 때문에 시장 일각에서는 당초 디에스아이 측이 잔금지불 능력이 없음에도 디아이디의 주가 부양을 위해 지분 양수도 계약을 맺은 것 아니냐는 의혹도 제기된다.

디아이디 관계자는 ""디에스아이 측의 계약 불이행으로 계약금 전액을 돌려주지 않고 지분 매매 계약 해제를 서면으로 통보했다""고 밝혔다.

서민우기자 ingaghi@sed.co.kr

[ⓒ 인터넷한국일보, 무단 전재 및 재배포 금지]"
디아이디,2014.12.04. 오후 5:24,"[마켓포커스]디아이디, 지분매각 불발 '급락'","이 기사는 12월4일 아시아경제TV를 통해 방송된 내용입니다.

앵커> 지난달 최대주주의 지분매각 소식에 4일 연속 상한가를 기록했던 디아이디, 어제 장 종료 후 지분매각 건이 무산됐다는 공시를 했습니다. 기대감에 급등했던 주가가 큰 폭으로 밀렸을 것 같은데 어땠나요?

기자 - 네, 오늘 디아이디는 가격제한폭인 290원 떨어진 1650원으로 장을 시작했는데요. 어제까지 잔금을 지급하기로 했던 디에스아이측이 잔금을 지급하지 못하면서 지난 11월21일 맺은 주식양수도 계약이 해지됐다는 공시가 나면서 매물이 쏟아졌습니다.

지난달 디에스아이는 코와가 보유한 디아이디 주식 649만주(35.14%)를 65억원에 양수하는 계약을 맺었습니다. 이 소식에 디아이디 주가는 바로 연속 상한가 행진을 했는데요. 4일 연속 상한가를 치는 등 급등세를 보이면서 1300원대에 머물던 주가는 지난달 말 장중 2700원까지 급등하기도 했습니다.

앵커> 연속 상한가 행진 후에는 큰 폭으로 주가가 출렁거리면서 우하향 곡선을 그렸는데요. 그래도 여전히 급등 직전보다는 높은 수준에서 주가가 형성돼 있습니다. 그래서 추가 하락도 불가피 하지 않냐, 이런 관측도 나올 것 같은데 오늘 주가는 의외로 선전했다 이런 평가?

기자 - 그렇습니다. 웬만한 주식 같으면 그대로 하한가로 끝나기 마련인데요. 디아이디는 달랐습니다. 저가 매수세가 들어오면서 보합권 근처까지 낙폭을 줄이기도 했는데요. 종가는 12.11% 내린 1705원에 마감됐습니다.

주가를 하한가에서 벗어나게 한 재료는 공진형 무선충전 수신기의 다중 조절 스위치 및 그 방법에 대한 특허권을 취득했다는 공시였습니다. 이 공시와 함께 매수세가 몰렸는데요. 이후 모습은 다시 단기 차익 매물이 몰리면서 장중 고점 대비 10% 가량 다시 밀렸습니다.

앵커> 이 특허가 의미가 있는 특허인가요? 제목만 봐서는 잘 판단이 안서는군요.

기자 - 참고로 최근 6개월 사이에 디아이디는 특허 공시를 이번을 포함해 3번 했는데요. 6월5일과 9월16일에 했고, 모두 무선충전과 관련한 특허였습니다. 6월 특허는 자기 공명 방식의 무선 충전을 위한 코일 공진체 및 그 제조 방법에 관한 것이었고, 9월 특허는 무선충전이 가능한 휴대 단말기 거치대에 관한 것이었습니다. 이 특허들이 나간 날, 주가는 큰 변화가 없었습니다. 오늘 특허도 이전과 크게 다르다고 하기는 어려울 것 같은데요. 공교롭게도 주가가 대형 악재로 주가가 급락한 직후 나오면서 주가에 영향을 주는 모양을 나타냈습니다.

앵커> 디아이디, 한때 싸이 테마주로도 이름을 올리는 등 일반적으로는 가늠하기 힘든 움직임을 보이고 있는 종목인데요. 최근의 급등락 과정도 그런 것 같습니다. 예측하기 힘든 종목이란 점을 염두에 둬야 할 것 같습니다.

전필수 기자 philsu@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
디아이디,2014.12.04. 오전 11:03,"디아이디, 공진형 무선 충전 관련 특허 취득","[ 권민경 기자 ] 디아이디는 '공진형 무선 충전 수신기의 다중 조절 스위치 장치와 그 방법'에 대한 특허를 취득했다고 4일 공시했다.

한경닷컴 권민경 기자 kyoung@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
디아이디,2014.12.03. 오후 6:08,"디아이디, 최대주주 변경 주식양수도 계약 해제","[아시아경제 김철현 기자] 디아이디는 최대주주인 KOWA와 주식회사 디에스아이 간에 지난달 21일 체결한 주식 양수도 계약과 관련해 양수인 측이 잔금 지급을 이행하지 않아 계약 해제를 서면으로 통보했다고 3일 공시했다.

김철현 기자 kch@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
디아이디,2014.12.29. 오전 11:33,"한화證, C&S자산관리 동부제철 등 고위험등급 주식 선정","- 4분기 고위험등급 주식 수익률 및 변동성 분석 결과..""선정 기준 적합성 확인""

[이데일리 임성영 기자] 한화투자증권은 대한전선(001440) C&S자산관리(032040) 삼보산업(009620) 동부제철(016380) 디아이디(074130) 한솔신텍(099660) 티에스엠텍(066350) 등 93개 종목을 2015년 1분기 투자하면 위험한 주식으로 선정했다고 29일 밝혔다. 이는 지난 9월 업계 최초로 고위험등급 주식을 발표한 이후 두번째다.

이번에 선정된 ‘고위험등급 주식’ 93개 종목은 전체 상장주식 중 5.25%개에 해당하며, 이 중 거래소 관리종목은 47개다. 고위험등급 해당 여부는 한화투자증권 HTS나 홈페이지 현재가 조회 화면 및 주문 실행 화면에서 바로 확인할 수 있다.

또한 한화투자증권은 지난 4분기 고위험등급 주식의 실제 수익률과 변동성을 조사한 결과 종목 선정 기준의 적합성을 확인했다고 강조했다. 4분기 고위험등급 주식 중 23개 종목의 주가가 상승했고, 45개 종목의 주가는 하락했다. 선정된 80개 종목 중 상장폐지되거나 거래정지된 12개 종목을 제외한 68개 종목을 기준으로 하면, 주가가 하락한 종목의 비율은 66%수준이다. 9월 22일부터 11월 30일까지 68개 고위험등급 주식의 실제 수익률은 -9.67%로 코스피 시장 평균 수익률 -3.56%와 코스닥 시장 평균 수익률 -6.24%에 비해 저조했다.

그러나 고위험등급 주식을 코스피종목과 코스닥종목으로 나누어 수익률을 분석한 결과는 엇갈렸다. 코스피 고위험등급 종목의 수익률은 -16.20%로 같은 기간 코스피 시장의 평균 수익률 -3.56%에 비해 12.64%포인트 낮아 초과손실을 기록했다. 반면 코스닥 고위험등급 주식의 수익률은 -4.08%로 같은 기간 코스닥시장의 평균 수익률 -6.24%에 비해 2.16%포인트 높았다.

이에 대해 한화투자증권은 “이는 코스닥 소속의 일부 대기업들이 예상보다 부진한 3분기 실적을 발표한 탓에 코스닥 지수가 대형주 중심으로 크게 하락했기 때문”이라고 설명했다.

또한 고위험등급 주식의 변동성은 시장의 평균 변동성에 비해 월등히 높은 것으로 나타났다.코스피 고위험등급 종목의 변동성은 70.12%로 코스피 변동성 10.39%보다 월등히 높았고, 코스닥 고위험등급 종목의 변동성도 74.26%로 코스닥 지수 변동성 16.70% 대비 높았다.

한화투자증권은 “주가 변동성은 주식의 투자위험이 어느 정도인지를 판단하는 데 중요하게 참고해야 하는 지표”라면서 “변동성이 높다는 것은 곧 위험이 크다는 의미”라고 말했다. 이어 “이는 고위험등급 주식은 실제로 변동성이 높아 투자에 따른 잠재위험이 컸다는 결과”라고 진단했다.

한편, 고위험등급 주식은 ▲자본잠식이 진행될 정도로 자본건전성이 좋지 않은 기업 ▲부채비율이 높아 이자비용이 영업이익을 초과하는 기업 ▲영업이익이 적자인데도 과도하게 고평가된 기업 등의 주식이다. 한화투자증권 리서치센터는 정량적 분석(퀀트) 기법을 적용하여 고위험등급 주식을 분류하고 있다.

임성영 (rosa8341@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
디아이디,2014.12.04. 오전 7:47,장 마감 후 주요 종목 뉴스-3일,"[머니투데이 최동수 기자]
-삼환기업은 베트남 고속 도로 공사(VEC)와 272억8632만원 규모의 GMS Ben Luc-Long Thanh 고속도로 프로젝트 공사계약을 체결했다고 3일 공시했다. 계약금액은 지난해 매출액의 5.07% 규모다.

-웅진홀딩스는 주주가치 증진을 위한 경영투명성 개선계획을 이행했다고 3일 공시했다. 웅진홀딩스는 투명경영계획의 일환으로 주요 임직원을 대상으로 임직원, 주요주주, 최대주주 및 그 특수관계인들의 보유 지분변동과 관련한 지분공시제도 및 관련 내부 프로세스에 대한 교육을 실시했다고 설명했다.

-대구백화점은 3일 계열사 대백저축은행이 자사 주식 2000주를 장내 매수했다고 공시했다.

-삼양홀딩스는 자회사 삼양엔텍을 흡수합병하면서 삼양엔텍이 소멸돼 자회사를 탈퇴한다고 3일 공시했다.

-JW홀딩스는 박구서 JW홀딩스 사장이 지난달 26일부터 네차례에 걸쳐 자사 주식 총 1만8034주를 장내매수했다고 공시했다.

-LG유플러스는 3일 알뜰폰(MVNO)사업운영을 위해 계열사 미디어로그 유상증자에 참여키로 이사회 의결했다고 공시했다. 총 유상증자 규모는 610억8500만원이고 엘지유플러스 출자금은 400억원이다.
LG유플러스는 또 이날 계열사 LG와 217억원 규모의 내년도 LG상표 사용계약을 체결키로했다고 공시했다.

-코스맥스는 '거대 다공성 폴리메틸메타아크릴레이트(PMMA) 제조방법' 특허권을 취득했다고 3일 공시했다.

회사 측은 해당 기술을 통해 기초 화장품·메이크업 제품을 만드는 경우 유분조절에 효과적이고, 잔류용매 및 불순물 함량이 적어 피부에 바르면 사용감이 좋고 안전하다고 설명했다.

-대림산업은 지분율 감소로 인해 시흥에코피아를 계열사에서 제외한다고 3일 공시했다.

-보루네오가구는 안섭, 송달석 각자 대표이사를 선임했다고 3일 공시했다.

-에듀박스는 제3자배정 유상증자로 최대주주가 박춘구 외 3인에서 권기순 외 3인으로 변경됐다고 3일 공시했다.

-터보테크는 3일 기존 김옥평 대표이사가 일신상 사유로 사임함에 따라 고성태 대표이사로 변경됐다고 공시했다.

-한국거래소는 르네코가 유형자산처분결정 지연공시로 인해 불성실공시법인으로 지정이 예고됐다고 3일 공시했다.

-한솔신텍은 강영남씨 외 117명이 한솔신텍에 대해 제기한 손해배상청구 소송판결에 대해 항소한다고 3일 공시했다.
-회사 측은 서울중앙지방법원 2012가합75685 손해배상(기) 사건에 관해 2014년 11월13일 선고한 판결 중 피고, 항소인들 패소부분에 대하여 전부 불복해 항소를 제기한다고 밝혔다.

-한솔신텍은 강동윤씨 외 203명이 한솔신텍에 대해 제기한 손해배상청구 소송판결에 대해 항소한다고 3일 공시했다.
회사측은 울중앙지방법원 2012가합68557 손해배상(기) 사건에 관해 2014년11월 14일 선고한 판결 중 피고 항소인들 패소부분에 대하여 전부 불복해 항소를 제기한다고 밝혔다.

-한솔신텍은 하나은행이 한솔신텍에 대해 제기한 손해배상청구 소송판결에 대해 항소한다고 3일 공시했다.
서울중앙지방법원 2012가합75159 손해배상(기) 사건에 관해 2014년 11월14일 선고한 판결 중 피고, 항소인들 패소부분에 대하여 전부 불복하므로 이에 항소를 제기한다고 밝혔다.

-이트론은 3일 445만8987주의 신주인수권을 행사했다고 공시했다. 이는 발행주식총수 대비 9.53%에 해당하며 상장예정일은 오는 15일이다.

-엔텔스는 오는 19일 오전 9시 서울특별시 강남구 삼성1동 봉은사로 616번지 삼성1문화센터 7층 대강당에서 임시주주총회를 연다고 3일 공시했다.

-다원시스는 19만6927주에 대해 신주인수권을 행사한다고 3일 공시했다. 한 주당 행사가액은 5078원으로 총 행사금액은 10억원이다. 이는 발행주식총수 대비 1.67%에 해당된다. 신주 상장예정일은 오는 16일이다

-씨엔플러스는 우수임직원에 대한 포상으로 애사심 및 소속감 고취를 위해 562만원 규모의 보통주 1500주를 장외처분키로 했다고 3일 공시했다.

-우림기계는 랙과 피니언 시험 및 제동시험 장치 관련 2건의 특허권을 취득했다고 3일 공시했다.

-테스는 알리안츠글로벌인베스터스 자산운용이 장내 매수를 통해 지난달 28일 기준 51만9000주(5.08%)를 보유하고 있다고 3일 공시했다.

-디아이디는 3일 최대주주인 일본 코와와 디에스아이가 지난달 21일에 체결한 주식양수도 계약이 해지됐다고 공시했다.
디아이디 측은 디아이디를 인수하려던 디에스아이측이 이날까지 잔금을 지급하지 않아서 계약이 해지됐다고 밝혔다.

-동양시멘트는 3일 재무구조 개선을 위해 동양파일 주식 81만9000주를 391억원에 처분한다고 공시했다. 이는 동양시멘트의 자기자본대비 15.21%에 해당하고 처분예정일은 오는11일이다.

-이엔에프테크놀로지는 손자회사인 이엔에프 광저우 테크놀로지에(ENF Guangzhou Technology Co.,Ltd)에 80억원 규모 채무보증을 결정했다고 3일 공시했다. 채무보증금액은 이엔에프테크놀로지의 자기자본대비 7.31%에 해당한다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

최동수기자 firefly@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
디아이디,2014.12.04. 오후 3:43,[특징주A/S] 남북경협주 상승…김정은 여동생 한국 방문설,"―4일 주식시장에서는 김여정 북한 노동당 부부장이 서울을 방문할 수 있다는 설에 남북 경협주가 상승했다. 재영솔루텍(049630)은 14.75%(160원) 오른 1245원을 기록했다. 이화전기(024810)와 에머슨퍼시픽(025980)은 각각 5.23%, 3.64% 상승했다. 김여정 노동당 부부장은 김정은 북한 국방위원회 제 1위원장의 여동생이다. 전문가들은 김여정이 한국을 방문할 경우 남북 관계가 다소 개선될 수 있을 것이라는 기대감이 주가에 반영된 것으로 보인다고 분석했다.

―에프엔씨엔터테인먼트가 코스닥 시장 상장 첫 날 공모가보다 하락했다. 이날 공모가(2만8000원)보다 1.4% 내린 2만7600원을 기록했다. 에프엔씨엔터테인먼트는 최근 인기를 끌고있는 걸그룹 AOA를 포함해, 남성 밴드 그룹 FT아일랜드, 씨엔블루 등이 속해있는 연예기획사다. 소속 가수들이 인기를 끌면서 실적이 좋아질 것이라고 판단한 투자자들이 일반공모 청약으로 몰렸는데, 첫날 거래만을 놓고 보면 다소 손실을 보게 됐다. 에프엔씨엔터테인먼트의 일반공모청약 경쟁률은 577대1 수준이었다.

―웹젠이 중국에서 출시한 웹게임이 인기를 끌고 새롭게 출시하는 모바일게임에 대한 기대감이 반영되면서 상승했다. 이날 14.98%(3700원) 오른 2만8400원에 거래를 마쳤다. 이성빈 교보증권 연구원은 “웹젠이 중국에서 내놓은 웹게임 ‘대천사지검’이 출시된 지 5개월이 지난 지금도 높은 인기를 끌고 있다”며 “올해 중국 웹게임 시장이 약 211억위안(약 3조8000억원)까지 성장할 것으로 전망돼 매출이 더욱 늘 것으로 보인다”고 분석했다.

―디아이디가 지난 11월 체결한 주식 양수도 계약이 해제되면서 최대주주 변경이 무산됐다고 밝힌 이후 하락했다. 이날 12.11%(235원) 내린 1705원을 기록했다. 디아이디(074130)는 최대주주인 KOWA㈜와 주식회사 디에스아이 간에 11월 21일 주식 양수도 계약을 체결했으나 양수인이 약속한 날짜까지 잔금을 내지 않아 계약이 해제됐다고 3일 공시했다.

[이현승 기자 nalhs@chosun.com]

chosunbiz.com"
디아이디,2014.12.02. 오후 12:01,"[3분기실적] 코스닥기업, 이익은 줄었지만 부채비율은 좋아져","코스닥기업들의 실적이 지난해에 비해 전반적으로 악화된 가운데, 부채비율은 도리어 개선됐다. 불황에 대한 우려감이 커지면서 적극적으로 부채 상환에 나섰던 것으로 풀이된다.

2일 한국거래소와 코스닥협회가 공동 배포한 '코스닥시장 12월 결산법인 2014사업연도 3분기 결산실적 분석' 자료에 따르면, 분석 대상 679개사의 연결 기준 영업이익과 순이익은 전년대비 각각 9.8%, 23.1% 감소했다. 하지만 부채비율은 지난해말 94.29%에서 3분기말 93.19%로 1.10%포인트 개선됐다.

개별·별도 기준으로 봐도 영업이익, 순이익은 같은 기간 11~21% 감소했으나 부채비율은 71.63%에서 69.64%로 1.99%포인트 좋아졌다.

연결 기준 부채비율이 9%에도 못 미치는 기업도 19개사 있었다. 바이로메드(084990)가 4.74%의 부채비율을 기록, 부채비율이 가장 낮은 기업에 이름을 올렸고 대구방송(033830)(4.80%), 쎄미시스코(5.24%), 피에스텍(5.58%), 슈프리마(5.76%), 모바일리더(5.97%), 딜리(6.79%) 등이 그 뒤를 이었다.

반면 부채비율이 1000% 이상인 기업도 3개사 있었다. 신양(086830)은 1088.77%의 부채비율을 기록했고 엠에스오토텍(1033.06%), 아이디에스(1014.31%), 에머슨퍼시픽(911.92%) 등이 뒤를 이었다.

연결 기준 부채비율이 638.17%인 디아이디는 개별 기준으로 보면 부채비율이 가장 높았다. 디아이디의 개별기준 부채비율은 1만9742.17%에 달했다. 디아이디의 개별 부채비율 급증은 단기 차입금 증가, 실적 부진 등의 영향 때문으로 파악된다.

[안재만 기자 hoonpa@chosun.com]

chosunbiz.com"
