회사명,거래소코드,회계년도,자산(*),자산(*)(연결),부채(*),부채(*)(연결),자본(*),자본(*)(연결),매출액(영업수익)(*)(연결),매출액(영업수익)(*),매출원가(*),매출원가(*)(연결),매출총이익(손실)(연결),매출총이익(손실),영업이익(손실),영업이익(손실)(연결),당기순이익(순손실)(연결),당기순이익(순손실),유동자산(*),유동자산(*)(연결),당좌자산(*)(연결),당좌자산(*),재고자산(*),재고자산(*)(연결),유동부채(*)(연결),유동부채(*),매출채권(*),매출채권(*)(연결),매입채무(*),매입채무(*)(연결),단기차입금(*)(연결),단기차입금(*),장기차입금(*),장기차입금(*)(연결),사채(*)(연결),사채(*),유형자산(*),유형자산(*)(연결),이익잉여금(*),이익잉여금(*)(연결),이자비용,이자비용(연결),이자수익(연결),이자수익,영업활동으로 인한 현금흐름(*),투자활동으로 인한 현금흐름(*),재무활동으로 인한 현금흐름(*),영업활동으로 인한 현금흐름(*)(연결),투자활동으로 인한 현금흐름(*)(연결),재무활동으로 인한 현금흐름(*)(연결),(계속사업손익)법인세비용,(계속사업손익)법인세비용(연결),지분법이익(연결),지분법손실(연결),지분법이익,지분법손실
(주)CMG제약,58820,Jun-12,25729348,,9349464,,16379884,,,8315805,5796611,,,2519194,-1742810,,,-2656509,14031029,,,11695276,2335753,,,7530174,0,,1302534,,,2358550,0,,,481465,9456783,,-47627766,,94250,,,19573,-1280742,-281489,1216470,,,,0,,,,0,0
(주)CMG제약,58820,Jun-13,57504018,57526136,25581391,25671876,31922628,31854260,10459871,10459871,6205112,6205112,4254759,4254759,752738,684132,434134,490646,46598802,46529674,42764552,42833679,3765122,3765122,7578518,7488032,13567824,13567824,5572941,5572941,0,0,0,0,0,0,10410888,10448318,-52118586,-52186302,730993,731344,468850,473691,-2149157,8462982,0,-2213382,8562982,-36900,0,0,0,0,0,0
(주)CMG제약,58820,Jun-14,57514553,57460936,8073098,8077226,49441455,49383710,11041662,11041662,6735639,6735639,4306023,4306023,325271,323302,475802,482616,31221884,31168157,26230427,26284153,4937731,4937731,6602437,6598308,14981960,14981960,4142669,4142669,4076,0,0,0,1474790,1474790,17388609,17388609,-51834607,-51891700,59583,59583,183382,188225,1171028,-9210190,0,1167038,-9210190,4076,0,0,0,0,0,0
(주)CMG제약,58820,Jun-15,57102877,57043900,8417950,8424786,48684927,48619114,12564650,12564650,8193272,8193272,4371377,4371377,-488969,-490255,-516044,-514625,26314110,26255133,21815417,21874393,4439716,4439716,7886459,7879623,17782975,17782975,3737067,3737067,6003,0,0,0,0,0,18086092,18086092,-52807304,-52872466,65162,65162,79696,79696,-163720,-4930762,0,-164454,-4930652,552,0,0,0,0,0,0
(주)CMG제약,58820,Jun-16,57554452,57495301,9261045,9267711,48293407,48227590,15835051,15835051,9725741,9725741,6109310,6109310,443421,443421,536206,536206,26394397,26335246,19656010,19715161,6679237,6679237,8377504,8370837,15337461,15337461,5247614,5247614,6273,0,0,0,0,0,17137844,17137844,-55655555,-55720721,0,0,36734,36734,889218,-1960522,666196,889218,-1960522,666196,-58901,-58901,0,0,0,0
(주)CMG제약,58820,Jun-17,112904265,112904265,9958602,9958602,102945663,102945663,19636612,19636612,11327603,11327603,8309008,8309008,1262042,1262042,1636819,1636819,79947566,79947566,72158799,72158799,7788767,7788767,8506012,8506012,15393047,15393047,4700597,4700597,0,0,0,0,0,0,16609644,16609644,1441621,1441621,0,0,386112,386112,244431,7226089,178179,244431,7226089,178179,26635,26635,0,0,0,0
(주)CMG제약,58820,Jun-18,112980759,112980759,12687860,12687860,100292900,100292900,24088325,24088325,13145510,13145510,10942815,10942815,1323711,1323711,2391366,2391366,83748689,83748689,75147459,75147459,8601229,8601229,11202545,11202545,18670484,18670484,7389035,7389035,0,0,0,0,0,0,16369725,16369725,-1207442,-1207442,0,0,790811,790811,1035120,-1252162,0,1035120,-1252162,0,15197,15197,0,0,0,0
(주)CMG제약,58820,Jun-19,120236626,120236626,14555647,14555647,105680979,105680979,27563359,27563359,14183223,14183223,13380135,13380135,1005317,1005317,1665377,1665377,83245071,83245071,73739582,73739582,9505488,9505488,11596826,11596826,20364006,20364006,6706511,6706511,0,0,0,0,0,0,20804409,20804409,3789281,3789281,3896,3896,483756,483756,3592464,-12595793,8155,3592464,-12595793,8155,792690,792690,0,0,0,0
(주)ES큐브,50120,Jun-12,50927079,,8292976,,42634104,,,26831392,19411266,,,7420126,2912072,,,3302714,21043691,,,20856553,187139,,,6905126,5231976,,4010785,,,1493849,0,,,0,1695774,,3240353,,31115,,,172559,5840048,-3734375,1743644,,,,0,,,,0,0
(주)ES큐브,50120,Jun-13,65262402,65496598,5535794,4696516,59726608,60800081,35729633,29304370,21095080,25202650,10526983,8209290,1736677,2678246,1927054,1386630,37430416,43209917,38741121,37133974,296442,4468796,3288717,4169416,5833261,7742000,3075051,859906,157485,0,0,0,0,0,1132637,2824341,2048697,2274703,22822,37837,77398,74589,2045396,-16274795,18284160,1463237,-16187123,18284160,0,132533,0,0,0,0
(주)ES큐브,50120,Jun-14,48950844,46852259,4792981,3960021,44157863,42892238,29159203,23338868,19160553,23152383,6006820,4178315,553259,891524,954050,504458,35413160,38792229,36197880,35144298,268860,2594347,2994812,3827771,5185291,7132240,2711355,814139,150720,0,0,0,0,0,766633,2041710,445043,-667598,0,3464,298619,312308,159379,-2833059,0,2057414,-2463852,0,0,129115,0,0,0,0
