,Unnamed: 0,회사명,거래소코드,회계년도,자산,부채,자본,매출액,매출원가,매출총이익,영업이익,당기순이익,유동자산,당좌자산,재고자산,유동부채,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이익잉여금,이자비용,영업활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,운전자본,자기자본
0,0,(주)CMG제약,58820,2012/06,25729348.0,9349464.0,16379884.0,8315805.0,5796611.0,2519194.0,-1742810.0,-2656509.0,14031029.0,11695276.0,2335753.0,7530174.0,0.0,1302534.0,2358550.0,0.0,481465.0,9456783.0,-47627766.0,94250.0,19573.0,-1280742.0,1216470.0,2335753.0,16379884.0
1,1,(주)CMG제약,58820,2013/06,57504018.0,25581391.0,31922628.0,10459871.0,6205112.0,4254759.0,752738.0,434134.0,46598802.0,42764552.0,3765122.0,7578518.0,13567824.0,5572941.0,0.0,0.0,0.0,10410888.0,-52118586.0,730993.0,468850.0,-2149157.0,0.0,17332946.0,31922627.0
2,2,(주)CMG제약,58820,2014/06,57514553.0,8073098.0,49441455.0,11041662.0,6735639.0,4306023.0,325271.0,475802.0,31221884.0,26230427.0,4937731.0,6602437.0,14981960.0,4142669.0,4076.0,0.0,1474790.0,17388609.0,-51834607.0,59583.0,183382.0,1171028.0,0.0,19919691.0,49441455.0
3,3,(주)CMG제약,58820,2015/06,57102877.0,8417950.0,48684927.0,12564650.0,8193272.0,4371377.0,-488969.0,-516044.0,26314110.0,21815417.0,4439716.0,7886459.0,17782975.0,3737067.0,6003.0,0.0,0.0,18086092.0,-52807304.0,65162.0,79696.0,-163720.0,0.0,22222691.0,48684927.0
4,4,(주)CMG제약,58820,2016/06,57554452.0,9261045.0,48293407.0,15835051.0,9725741.0,6109310.0,443421.0,536206.0,26394397.0,19656010.0,6679237.0,8377504.0,15337461.0,5247614.0,6273.0,0.0,0.0,17137844.0,-55655555.0,0.0,36734.0,889218.0,666196.0,22016698.0,48293407.0
5,5,(주)CMG제약,58820,2017/06,112904265.0,9958602.0,102945663.0,19636612.0,11327603.0,8309008.0,1262042.0,1636819.0,79947566.0,72158799.0,7788767.0,8506012.0,15393047.0,4700597.0,0.0,0.0,0.0,16609644.0,1441621.0,0.0,386112.0,244431.0,178179.0,23181814.0,102945663.0
6,6,(주)CMG제약,58820,2018/06,112980759.0,12687860.0,100292900.0,24088325.0,13145510.0,10942815.0,1323711.0,2391366.0,83748689.0,75147459.0,8601229.0,11202545.0,18670484.0,7389035.0,0.0,0.0,0.0,16369725.0,-1207442.0,0.0,790811.0,1035120.0,0.0,27271713.0,100292899.0
7,7,(주)CMG제약,58820,2019/06,120236626.0,14555647.0,105680979.0,27563359.0,14183223.0,13380135.0,1005317.0,1665377.0,83245071.0,73739582.0,9505488.0,11596826.0,20364006.0,6706511.0,0.0,0.0,0.0,20804409.0,3789281.0,3896.0,483756.0,3592464.0,8155.0,29869494.0,105680979.0
8,8,(주)ES큐브,50120,2012/06,50927079.0,8292976.0,42634104.0,26831392.0,19411266.0,7420126.0,2912072.0,3302714.0,21043691.0,20856553.0,187139.0,6905126.0,5231976.0,4010785.0,1493849.0,0.0,0.0,1695774.0,3240353.0,31115.0,172559.0,5840048.0,1743644.0,5419115.0,42634103.0
9,9,(주)ES큐브,50120,2013/06,65262402.0,5535794.0,59726608.0,35729633.0,21095080.0,10526983.0,1736677.0,1927054.0,37430416.0,38741121.0,296442.0,3288717.0,5833261.0,3075051.0,157485.0,0.0,0.0,1132637.0,2048697.0,22822.0,77398.0,2045396.0,18284160.0,6129703.0,59726608.0
10,10,(주)ES큐브,50120,2014/06,48950844.0,4792981.0,44157863.0,29159203.0,19160553.0,6006820.0,553259.0,954050.0,35413160.0,36197880.0,268860.0,2994812.0,5185291.0,2711355.0,150720.0,0.0,0.0,766633.0,445043.0,0.0,298619.0,159379.0,0.0,5454151.0,44157863.0
11,11,(주)ES큐브,50120,2015/06,48184105.0,4477849.0,43706256.0,23265906.0,17860500.0,5679054.0,1653446.0,1613915.0,24958564.0,45944329.0,402499.0,7035278.0,4412082.0,3408292.0,498204.0,0.0,0.0,628741.0,2479921.0,0.0,212055.0,1713731.0,0.0,4814581.0,43706256.0
12,12,(주)ES큐브,50120,2016/06,74790320.0,4044530.0,70745789.0,22812838.0,18308328.0,5972701.0,1755894.0,20772937.0,57643084.0,61393564.0,380471.0,1552250.0,3639950.0,3205028.0,0.0,0.0,0.0,798749.0,20711711.0,0.0,234555.0,2848289.0,7986301.0,4020421.0,70745790.0
13,13,(주)ES큐브,50120,2017/06,108735985.0,37820995.0,70914990.0,24476604.0,21016901.0,6197603.0,1941101.0,1769821.0,48228221.0,47958920.0,488351.0,3076438.0,5364033.0,6602899.0,0.0,27900000.0,0.0,7764987.0,22409169.0,392755.0,186069.0,4831696.0,-813460.0,5852384.0,70914990.0
14,14,(주)ES큐브,50120,2018/06,122307710.0,47767437.0,74540272.0,22195925.0,16963905.0,4892091.0,861641.0,1517230.0,47394146.0,47994879.0,797220.0,14245309.0,6653243.0,6273789.0,0.0,26800000.0,0.0,7340242.0,25018559.0,621620.0,259343.0,-342183.0,9400000.0,7450463.0,74540273.0
15,15,(주)ES큐브,50120,2019/06,108037531.0,40249642.0,67787889.0,20151100.0,11308010.0,4702551.0,314498.0,-384139.0,24968266.0,34813406.0,556320.0,35363280.0,3837073.0,3506173.0,0.0,1600000.0,0.0,10688468.0,18300589.0,817781.0,387366.0,1598857.0,-1206824.0,4393393.0,67787889.0
16,16,(주)가비아,79940,2012/06,49691181.0,22604314.0,27086866.0,31046267.0,11722308.0,13410253.0,1568539.0,2887622.0,7023448.0,24671809.0,13260.0,11198159.0,2030916.0,1211642.0,1000000.0,10079980.0,0.0,26651649.0,21183601.0,224637.0,212002.0,2800628.0,10299665.0,2044176.0,27086867.0
17,17,(주)가비아,79940,2013/06,52607165.0,18416048.0,34191117.0,35002551.0,12527790.0,15497744.0,1438227.0,6564330.0,9217758.0,32759304.0,0.0,16264730.0,2950238.0,1396063.0,0.0,5500000.0,0.0,23219155.0,28451528.0,220380.0,273670.0,1252817.0,-1710026.0,2950238.0,34191117.0
18,18,(주)가비아,79940,2014/06,54199775.0,17593162.0,36606613.0,39899621.0,14204948.0,17546764.0,1615947.0,3682675.0,12724156.0,39829185.0,0.0,16149813.0,2527135.0,1463724.0,4000000.0,5225000.0,0.0,22524721.0,29842444.0,161639.0,293989.0,4835444.0,-924902.0,2527135.0,36606613.0
19,19,(주)가비아,79940,2015/06,55494861.0,15047049.0,40447812.0,44937413.0,14358436.0,20038549.0,2173663.0,4608685.0,14826056.0,45273324.0,0.0,12848618.0,2745015.0,1481414.0,500000.0,5500000.0,0.0,22192635.0,33536993.0,96118.0,302470.0,4892405.0,-3500706.0,2745015.0,40447812.0
20,20,(주)가비아,79940,2016/06,59200878.0,15355923.0,43844955.0,47783551.0,14463035.0,21899673.0,1961078.0,5477818.0,9576273.0,48729603.0,0.0,16393687.0,2679894.0,1626738.0,520000.0,5500000.0,0.0,22325523.0,36969304.0,60672.0,266200.0,4299164.0,-391060.0,2679894.0,43844955.0
21,21,(주)가비아,79940,2017/06,62574374.0,16345818.0,46228556.0,55025365.0,15146705.0,26272503.0,1344376.0,3842990.0,13158079.0,60488489.0,0.0,26767398.0,2461981.0,1567537.0,3200000.0,0.0,0.0,22848752.0,39340963.0,57881.0,274826.0,4228433.0,-391060.0,2461981.0,46228556.0
22,22,(주)가비아,79940,2018/06,68896975.0,19813143.0,49083832.0,61738579.0,16286852.0,29433065.0,2254248.0,7486579.0,18648649.0,72422393.0,0.0,31001043.0,2864667.0,2870073.0,7500000.0,1000000.0,0.0,23377509.0,42290380.0,70862.0,311437.0,6426732.0,608940.0,2864667.0,49083832.0
23,23,(주)가비아,79940,2019/06,80606447.0,28461792.0,52144655.0,66453214.0,16829726.0,31676227.0,2157887.0,8048771.0,16794744.0,75263566.0,0.0,40382117.0,3258243.0,2550327.0,7914501.0,1000000.0,0.0,35926941.0,45300142.0,149028.0,355458.0,7238766.0,-2117085.0,3258243.0,52144655.0
24,24,(주)강스템바이오텍,217730,2015/06,15982189.0,3639022.0,12343167.0,521479.0,116960.0,404519.0,-2114493.0,-2792388.0,11024598.0,10683056.0,341542.0,2297087.0,367227.0,263726.0,0.0,910000.0,0.0,2645663.0,-13144128.0,932517.0,64940.0,-1850231.0,9829847.0,708769.0,12343167.0
25,25,(주)강스템바이오텍,217730,2016/06,20888658.0,3796729.0,17091929.0,619346.0,28392.0,590954.0,-4631602.0,-4487951.0,12417565.0,12166380.0,251185.0,3146729.0,522245.0,58465.0,0.0,650000.0,0.0,3129103.0,-20593832.0,12658.0,111117.0,-3936640.0,133503.0,773430.0,17091929.0
26,26,(주)강스템바이오텍,217730,2017/06,50922005.0,32680078.0,18241927.0,4898158.0,1590830.0,3307327.0,-5356322.0,-6247646.0,31916146.0,31985259.0,1221173.0,7486788.0,1281146.0,1909500.0,1050000.0,4390000.0,30000000.0,11844339.0,-30729322.0,713890.0,164441.0,-4845580.0,5515834.0,2502319.0,18241927.0
27,27,(주)강스템바이오텍,217730,2018/06,37772141.0,16052802.0,21719339.0,3040873.0,353748.0,-323527.0,-4915357.0,-5283650.0,17766694.0,19566794.0,1502520.0,7253932.0,82789.0,78425.0,1620000.0,4130000.0,12000000.0,12613360.0,-40094638.0,382751.0,69164.0,-5742454.0,359394.0,1585309.0,21719339.0
28,28,(주)강스템바이오텍,217730,2019/06,64483311.0,26103455.0,38379855.0,2447164.0,32522.0,-571078.0,-9018775.0,-11054703.0,36641533.0,44514348.0,720921.0,22580475.0,1029724.0,322034.0,1375000.0,4000000.0,2100000.0,19748600.0,-61339273.0,409558.0,234064.0,-2811420.0,-145116.0,1750645.0,38379856.0
29,29,(주)강원에너지,114190,2013/06,77497237.0,32375035.0,45122202.0,30665296.0,23356818.0,7308479.0,3164142.0,3626075.0,68332828.0,66194642.0,2138185.0,32372885.0,20867154.0,7913977.0,3977139.0,0.0,0.0,4628680.0,28680094.0,104185.0,261932.0,12088540.0,170971.0,23005339.0,45122202.0
