기업,부도기사 비율
경창산업,6.67
고영테크놀러지,12.0
광림,0.0
금화피에스시,33.33
나스미디어,4.0
네오위즈,20.0
네패스,3.23
다날,13.33
다우데이타,0.0
다원시스,8.0
대한광통신,0.0
덕산하이메탈,10.0
덱스터스튜디오,60.0
동국산업,12.5
동국에스엔씨,0.0
동원개발,11.54
동진쎄미켐,0.0
드래곤플라이,4.35
디티앤씨,5.88
라이온켐텍,0.0
레드로버,9.52
루멘스,9.09
리드코프,0.0
마크로젠,17.39
멀티캠퍼스,15.38
메가스터디,4.55
메카로,11.11
멜파스,2.44
미래나노텍,9.09
블루콤,5.41
삼에스코리아,15.79
상상인,50.0
서부티엔디,0.0
서원인텍,0.0
성광벤드,0.0
성우하이텍,0.0
세종텔레콤,11.11
셀트리온,5.71
쇼박스,25.0
슈피겐코리아,5.71
신진에스엠,10.53
씨제이이엔엠,0.0
아가방앤컴퍼니,9.09
아미코젠,0.0
아바텍,15.15
아스트,6.98
아이원스,46.15
안랩,0.0
알티캐스트,0.0
앤디포스,0.0
에스맥,7.81
에스에이엠티,12.5
에스에프에이반도체,0.0
에스티큐브,6.25
에이치엘비,0.0
에코프로,5.88
영풍정밀,15.38
오리엔탈정공,30.0
와이솔,2.94
우주일렉트로닉스,13.33
원익머트리얼즈,4.55
웹젠,0.0
위닉스,12.12
위메이드,18.18
유니슨,13.33
유진기업,25.0
유진테크,8.06
이녹스,5.26
이라이콤,10.0
이엠코리아,8.7
이엠텍,7.14
이오테크닉스,9.68
잉크테크,10.53
제이브이엠,13.95
제이스텍,9.09
젬백스&카엘,17.95
지니뮤직,0.0
컴투스,6.45
케이에이치바텍,0.0
케이엠더블유,15.56
켐트로닉스,5.56
코나아이,3.23
코데즈컴바인,0.0
코스메카코리아,4.35
코스온,10.0
코웰패션,0.0
큐렉소,25.64
큐로컴,30.23
크루셜텍,7.84
크리스에프앤씨,5.56
클리오,7.69
태광,10.53
테스,0.0
테크윙,14.29
토비스,10.0
톱텍,11.11
티케이케미칼,16.0
팅크웨어,4.17
파트론,12.12
포스코아이씨티,14.29
포스코엠텍,11.11
폴라리스오피스,0.0
하나마이크론,4.17
하이록코리아,6.45
한국정보통신,0.0
해성산업,14.29
홈캐스트,14.29
휴맥스,12.0
