,0
0,(주)CMG제약
1,(주)ES큐브
2,(주)가비아
3,(주)가온칩스
4,(주)강스템바이오텍
5,(주)강원에너지
6,(주)고려시멘트
7,(주)고바이오랩
8,(주)고영테크놀러지
9,(주)골드앤에스
10,(주)골드퍼시픽
11,(주)골프존
12,(주)골프존뉴딘홀딩스
13,(주)공구우먼
14,(주)광림
15,(주)광무
16,(주)구영테크
17,(주)국보디자인
18,(주)국순당
19,(주)국영지앤엠
20,(주)국전약품
21,(주)그래디언트
22,(주)그리티
23,(주)그린플러스
24,(주)글로벌스탠다드테크놀로지
25,(주)금화피에스시
26,(주)기가레인
27,(주)기산텔레콤
28,(주)까스텔바작
29,(주)나노
30,(주)나노브릭
31,(주)나노신소재
32,(주)나노엔텍
33,(주)나래나노텍
34,(주)나무가
35,(주)나스미디어
36,(주)나이벡
37,(주)나이스디앤비
38,(주)나인테크
39,(주)내츄럴엔도텍
40,(주)네오리진
41,(주)네오셈
42,(주)네오오토
43,(주)네오위즈
44,(주)네오위즈홀딩스
45,(주)네오이뮨텍
46,(주)네오크레마
47,(주)네오티스
48,(주)네오팜
49,(주)네오펙트
50,(주)네온테크
51,(주)네이블커뮤니케이션즈
52,(주)네이처셀
53,(주)네패스
54,(주)네패스아크
55,(주)넥스턴바이오사이언스
56,(주)넥스트아이
57,(주)넥스트엔터테인먼트월드
58,(주)넥스틴
59,(주)넥슨게임즈
60,(주)넵튠
61,(주)노랑풍선
62,(주)노바렉스
63,(주)노바텍
64,(주)노블엠앤비
65,(주)노터스
66,(주)녹십자엠에스
67,(주)녹십자웰빙
68,(주)녹원씨엔아이
69,(주)누리플랜
70,(주)누리플렉스
71,(주)누보
72,(주)뉴로스
73,(주)뉴보텍
74,(주)뉴인텍
75,(주)뉴트리
76,(주)뉴파워프라즈마
77,(주)뉴프렉스
78,(주)다나와
79,(주)다날
80,(주)다보링크
81,(주)다산네트웍스
82,(주)다우데이타
83,(주)다원시스
84,(주)대동스틸
85,(주)대륙제관
86,(주)대림제지
87,(주)대명소노시즌
88,(주)대성미생물연구소
89,(주)대성엘텍
90,(주)대성파인텍
91,(주)대원
92,(주)대유
93,(주)대유에이피
94,(주)대창솔루션
95,(주)대창스틸
96,(주)대한과학
97,(주)대호특수강
98,(주)더 미동
99,(주)더네이쳐홀딩스
100,(주)더블유아이
101,(주)더블유에스아이
102,(주)더에이치큐
103,(주)덕산테코피아
104,(주)덕신하우징
105,(주)데이타솔루션
106,(주)덱스터스튜디오
107,(주)덴티스
108,(주)동구바이오제약
109,(주)동국알앤에스
110,(주)동국에스엔씨
111,(주)동방선기
112,(주)동성화인텍
113,(주)동아엘텍
114,(주)동양에스텍
115,(주)동우팜투테이블
116,(주)동운아나텍
117,(주)동원개발
118,(주)동일기연
119,(주)동진쎄미켐
120,(주)두산테스나
121,(주)듀오백
122,(주)드래곤플라이
123,(주)드림시큐리티
124,(주)드림씨아이에스
125,(주)드림어스컴퍼니
126,(주)디딤
127,(주)디모아
128,(주)디바이스이엔지
129,(주)디스플레이테크
130,(주)디아크
131,(주)디알젬
132,(주)디알텍
133,(주)디앤씨미디어
