,0
0,"Signal Entertainment Group, an entertainment agency with stars such as Lee Mi-yeon and Song Seung-heon, raised suspicions of embezzlement and breach of trust, including the largest shareholder change this year alone. The company's stock price has fallen by more than a whopping amount this year. Stock prices plunged due to a series of controversial measures, including the issuance of convertible bonds and the change of the largest shareholder twice. To make matters worse, as the situation worsened, including concerns over delisting, minority shareholders who failed to see it took collective action.Minority shareholders of Ilseignal Entertainment Group said they will hold them accountable for the change in their largest shareholders last month and the free reduction last month and demand normalization of their management. They criticize that management, including the company's largest shareholder, is busy filling up its profits while neglecting shareholder rights.Kim In-sun, who leads the shareholder movement, said in a telephone conversation that the company is refusing to talk to shareholders, adding that opposition lawmakers from the National Policy Committee are also joining forces to make public discussions. According to Kim, the number of shareholders who have expressed their intention to join is more than the total stake and is expected to increase further if they include those who have not yet expressed their intention. Shareholders plan to gather at Gwanghwamun, Shilla Stay, to gather opinions and request a separate meeting of shareholders.The stock price of Signal Entertainment Group, which has accumulated operating losses, has fallen more than this year alone, falling into so-called coin stocks. In particular, the stock price fell to its lowest price last month when it announced its plan to mainly reduce common shareholders. Shareholders are concerned that the two largest shareholder changes this year are linked to management profits and that there may be charges of embezzlement.For this reason, shareholders' position is to prevent the reduction at the general shareholders' meeting and hold management accountable. Kim added that as shareholders want management normalization and stock price recovery, specific evidence data will be disclosed after collecting shareholder opinions.Signal Entertainment Group is an entertainment agency that has entertainers such as Lee Mi-yeon and Song Seung-heon. It is also in the broadcasting film content production business.The Korea Exchange has designated Signal Entertainment Group as a management stock because it has suffered operating losses for a year in a row. If it records operating losses this year, it will be reviewed for delisting. It is possible to delist even if it is found that internal executives and employees are embezzled and are indicted."
1,"Signal Entertainment Group announced that it will exercise its right to claim conversion worth 100 million won. The conversion value is won and the expected listing date is this month.Reporter Park Seong-gyu, Korea's best scientist since the year, all the series of Seoul economy... Copyright holders in Seogyeong are prohibited from reproducing and redistributing the Seoul economy without permission"
2,"Signal Entertainment Group raised 100 million won by issuing convertible bonds.Signal Entertainment announced that it has issued convertible bonds worth hundreds of millions of won, which were resolved by the board of directors on last day.As MNP Partners paid KRW 100 million, Signal Entertainment secured funds to carry out new businesses. With the issuance of convertible bonds, cash and cashable assets increase based on the statement of financial position of individual financial statements in the semi-annual report. It is expected that the liquidity ratio, which indicates short-term debt solvency, will also be improved.Go to see the hot issue of Park Hyung-soo's photo | Make friends comprehensive economic information media Do not redistribute unauthorized transactions"
3,"Signal Entertainment Group said its largest shareholder, El Investment, has acquired 10,000 shares in the market. Since it is less than the number of issued shares, it is not a disclosure of shares.L Investment, the current largest shareholder of Signal Entertainment, acquired Manju in the market on the last day, increasing its holdings from Manju to Manju.The company said that the acquisition of the largest shareholder's stake in the market is expected to be the starting point for Signal Entertainment to stabilize its management rights, adding that it expects additional stake expansion along with improved performance in the future.Meanwhile, Signal Entertainment, which has been designated as a management item for consecutive years until the business year, shows the possibility of a turnaround in performance by cutting off continuous operating losses and excessive ordinary losses through the presentation of quarterly operating profit.An official from Signal Entertainment said, ""We will break away from management stocks and stabilize management rights by improving annual performance.""Reporter Park Ho-hyun, Korea's best scientist since the year, all series of the Seoul economy... Copyright holders in Seogyeong are prohibited from reproducing and redistributing the Seoul economy without permission"
4,"Signal Entertainment Group has been soaring for two days on news of its contract with U.S. production company Bernim Murray.Signal Entertainment Group as of Sunday morning. It is trading at the right won.Signal Entertainment Group announced on Monday that it has signed a joint program development contract with Bernim Murray Productions in the U.S. Last day, Signal Entertainment closed on the right.Bernim Murray Productions is an American production company that created a project runway that became a remake of Simple Life in Korea, starring reality programs Real World and Paris Hilton.On a separate basis, Signal Entertainment Group suffered operating losses in its recent business year, causing reasons for designating management items, but its stock price has soared. The Korea Exchange announced that it would suspend the trading of Signal Entertainment Group until after-hours trading before the opening of the market the next day."
5,"Signal Entertainment Group made a public announcement that it has decided to raise a paid-in capital increase to issue 10,000 shares in order to raise 100 million won in operating funds.Reporter Choi Dae Yeol... The news is interesting All the fun in the world All the fun in the world All the popularity of the latest comics Today's zodiac signs Looking at the world of the world Looking at the Chang economy No distribution of Asian economy without permission"
6,"Signal Entertainment Group announced that it will relocate its headquarters from Seocho-dong, Seocho-gu, Seoul to the MG Building floor in Seongsu-dong, Seongdong-gu.Reporter Kwon Hye-min: Real-time News Money Today, where copyright holders can see money, cannot be reproduced or redistributed without permission"
7,"In the new year, small and medium-sized entertainment companies are strengthening their competitiveness in content production through their backs. As China's THAAD conflict is eased, it is interpreted as a strategy to increase its competitiveness ahead of the resumption of content exports.According to the Japanese entertainment industry, FNC AdCulture recently acquired a stake in Genie Pictures, an entertainment program producer. Genie Pictures has produced ""We Must Get Together to Rise"" and ""Everyone Weekly Idol Housekeeping Men.""FNC Ad Culture has been focusing on producing drama and entertainment contents since CEO Ahn Seok-joon took office in last month. Trick & Tru and scene stealer drama war Joseon daughter-in-law are representative.FNC Entertainment has stars such as Yoo Jae-seok, Song Eun-yi, Moon Se-yoon, Noh Hong-cheol, Jeong Hyeong-don and Kim Yong-man. On top of that, the strategy is to strengthen entertainment contents by utilizing Genie Pictures, which has a large number of talented people.Signal Entertainment Group also issued convertible bonds worth 100 million won to Ancelia on the last day. As for the payment method, AM Studio's stock was paid instead. AM Studio is a developer specializing in drama writers.The Signal Entertainment Group has produced last year's drama ""Secret Forest"" and is preparing for the drama ""Life"" starring Lee Dong-wook and Cho Seung-woo this year. It plans to focus on producing dramas that can generate stable sales through collaboration with Ancecilia.An official from Signal Entertainment Group said, ""Ancecilia expects to create synergy in the development of dramas as a leading casting director in Korea,"" adding, ""We will work hard to increase sales and profitability by producing well-made dramas this year.""Imagine Asia, which produced Mad Dog last year, is strengthening celebrity management. The company plans to maximize synergy by expanding its entertainers as it is promoting the production of a total drama until next year.Imagine Asia signed an exclusive contract with Park Jung-min from this month and also succeeded in renewing the contract with Jeon In-hwa Ryu. Imagine Asia, whose largest shareholder has been changed to Cheongho Comnet in the year, is determined to create a foothold for its leap forward this year by strengthening celebrity management.An entertainment industry source said, ""If China's exports, which is a major player in the Korean content market, resume, it will be an opportunity to test the capabilities of entertainment companies that have been prepared.""The articles that the person next to me is reading, reading free cartoons, getting presents, cheerleading racing girl reporter Kim Gunwoo...Real-time News Money Today, where copyright holders' money is visible, cannot be reproduced or redistributed without permission"
8,"Reporter Kwon Soo-hyun's KOSDAQ-listed Signal Entertainment Group announced in a public announcement that an operating loss occurred in the recent opening year on a separate basis as a result of an internal audit, resulting in a reason for designating a management item.Signal Entertainment also added that it suffered continuous business losses before deducting corporate tax costs that exceeded its equity capital in the recent business year.The KOSDAQ Market Headquarters of the Korea Exchange announced that it would suspend the trading of Signal Entertainment Group until after-hours trading before the start of the market...the latest fad trend rally"
9,"Signal Entertainment is gaining ground on the news of its high ratings for the drama ""Secret Forest"" being produced.As of Sunday morning, Signal Entertainment Group was trading on the previous day. It is trading at the right won.The rebound was successful in three days.It is interpreted that the buying trend is driven by the news that the secret forest starring actor Cho Seung-woo and Bae Doo-na, which is airing in the show, has exceeded the ratings.The Saturday-Sunday drama ""Secret Forest,"" which aired last day, broke its own highest ratings by recording the standard average of . . . . in the household ratings of paid platforms integrated with cable satellites.Signal Entertainment said earlier that it will sign a contract with Lee Soo-yeon, a writer of ""Secret Forest,"" and start diversifying its businesses such as producing entertainment dramas.Recently, Signal Entertainment was changed to El Investment, an investment corporation established by major management by its largest shareholder. Director Min Hyun-il of L Investment is the largest shareholder and CEO. Director Min, who served as director of the drama division of Signal Entertainment, holds a stake in L Investment. El Investment is expected to increase its stake further.Signal Entertainment runs a cosmetics business in the music business and video business in the management sector. The group's actors include Lee Mi-yeon, Kim Hyun-joo, Song Seung-heon, Gong Hyung-jin, and Gangnam, and the main production programs include Produce Refrigerator, Show Your Voice, and the Defendant.Oh Hee-na's heart-throbbing star pictorial E-Daily | At-a-glance Issue Trend Comprehensive Economic Information Media E-Daily Prohibition of Unauthorized Transmission"
