기업,부도기사비율
KCW,0.42857142857142855
글로웍스,0.1506849315068493
금강제강,0.8
나노트로닉스,0.0
나이스메탈,0.11688311688311688
네스테크,0.21621621621621623
네오퍼플,0.10344827586206896
네이쳐글로벌,0.10810810810810811
네프로아이티,0.38235294117647056
넥스지,0.018518518518518517
넷웨이브,0.35064935064935066
뉴젠아이씨티,0.16494845360824742
대선조선,0.0967741935483871
동양텔레콤,0.11267605633802817
디아이디,0.05333333333333334
디에스,0.046875
디에이치패션,0.2857142857142857
디패션,0.3
레이젠,0.08333333333333333
렉스엘이앤지,0.5
마이스코,0.12307692307692308
맥스브로,0.07407407407407407
모린스,0.07575757575757576
미리넷,0.09433962264150944
미성포리테크,0.16071428571428573
미주제강,0.05128205128205128
보광티에스,0.2328767123287671
블루젬디앤씨,0.125
비앤비성원,0.05333333333333334
비엔씨컴퍼니,0.0
삼우이엠씨,0.14285714285714285
세븐코스프,0.07142857142857142
스톰이앤에프,0.1951219512195122
스틸플라워,0.17391304347826086
승화프리텍,0.31343283582089554
쌍용건설,0.30864197530864196
썬코어,0.24561403508771928
씨그널엔터테인먼트그룹,0.06578947368421052
씨모텍,0.8902439024390244
씨엘인터내셔널,0.16666666666666666
씨티앤티,0.22727272727272727
씨티엘테크,0.3333333333333333
아라온테크,0.34782608695652173
아이디에스,0.1518987341772152
아이스테이션,0.01694915254237288
아이이,0.21153846153846154
아이팩토리,0.3673469387755102
아인스엠앤엠,0.20512820512820512
아큐텍,0.20454545454545456
알에스넷,0.11904761904761904
알티전자,0.058823529411764705
어울림네트웍스,0.16666666666666666
어울림엘시스,0.2692307692307692
어울림정보기술,0.24324324324324326
에듀언스,0.1038961038961039
에듀패스,0.09090909090909091
에버테크노,0.45714285714285713
에스브이에이치,0.3055555555555556
에스비엠,0.49514563106796117
에스에스씨피,0.0
에스에스컴텍,0.16417910447761194
에스티씨라이프,0.3157894736842105
에이스하이텍,0.1724137931034483
에이원마이크로,0.125
에이프로테크놀로지,0.12658227848101267
에코솔루션,0.0
에코페트로시스템,0.11392405063291139
에피밸리,0.39436619718309857
엔빅스,0.04
엔스퍼트,0.6470588235294118
엔에스브이,0.36363636363636365
엔케이바이오,0.16417910447761194
엔하이테크,0.14814814814814814
엘앤씨피,0.04477611940298507
엘앤피아너스,0.22388059701492538
엠엔에프씨,0.336734693877551
엠제이비,0.18055555555555555
엠텍비젼,0.3787878787878788
영진코퍼레이션,0.15517241379310345
와이즈파워,0.5352112676056338
우경,0.35714285714285715
우성아이비,0.44
우양에이치씨,0.18604651162790697
우전,0.11538461538461539
울트라건설,0.14285714285714285
위너지스,0.15384615384615385
위노바,0.15789473684210525
위다스,0.328125
유니드코리아,0.23529411764705882
유니텍전자,0.029850746268656716
유아이에너지,0.2972972972972973
유일엔시스,0.17647058823529413
이디디컴퍼니,0.3698630136986301
이룸지엔지,0.10227272727272728
인스프리트,0.16129032258064516
잘만테크,0.1111111111111111
제너시스템즈,0.1388888888888889
제이앤유글로벌,0.08
제이에이치코오스,0.4
제이콤,0.07865168539325842
중앙디자인,0.10344827586206896
지노시스템,0.07575757575757576
지아이바이오,0.265625
지앤디윈텍,0.1267605633802817
지앤알,0.03614457831325301
지앤에스티,0.32432432432432434
지티앤티,0.5714285714285714
케이엔씨글로벌,0.18032786885245902
코썬바이오,0.4090909090909091
코아에스앤아이,0.21621621621621623
큐리어스,0.36470588235294116
큐앤에스,0.21428571428571427
클라스타,0.11666666666666667
클루넷,0.0136986301369863
태산엘시디,0.3116883116883117
태창파로스,0.32432432432432434
터보테크,0.38333333333333336
테라리소스,0.3263157894736842
트라이써클,0.20408163265306123
트레이스,0.017241379310344827
트루아워,0.4634146341463415
티에스엠텍,0.08450704225352113
평안물산,0.225
포휴먼,0.10619469026548672
폴리플러스,0.125
프리젠,0.5
플렉스컴,0.04878048780487805
피엘에이,0.14084507042253522
한와이어리스,0.15053763440860216
해피드림,0.21875
핸디소프트,0.43478260869565216
휴먼텍코리아,0.13333333333333333
히스토스템,0.27058823529411763
