기업,년,부도기사비율
경창산업,2013,0.06666666666666667
고영테크놀러지,2011,0.1956521739130435
광림,2016,0.01818181818181818
금화피에스시,2013,0.17142857142857143
나스미디어,2017,0.014492753623188406
네오위즈,2011,0.0
네패스,2011,0.0
다날,2012,0.0
다우데이타,2013,0.12307692307692308
다원시스,2017,0.0
대주전자재료,2018,0.0
대한광통신,2017,0.011111111111111112
덕산하이메탈,2011,0.03488372093023256
덱스터스튜디오,2015,0.16666666666666666
동국산업,2013,0.08333333333333333
동국에스엔씨,2012,0.09090909090909091
동원개발,2015,0.02702702702702703
동진쎄미켐,2012,0.3333333333333333
드래곤플라이,2011,0.06521739130434782
디티앤씨,2014,0.2638888888888889
라이온켐텍,2014,0.03636363636363636
라이온켐텍,2016,0.0
레드로버,2013,0.014925373134328358
루멘스,2011,0.0375
리드코프,2013,0.11864406779661017
마크로젠,2014,0.03773584905660377
멀티캠퍼스,2011,0.13333333333333333
멀티캠퍼스,2012,0.1
메가스터디,2011,0.04081632653061224
메카로,2017,0.075
멜파스,2011,0.04
미래나노텍,2012,0.03896103896103896
블루콤,2014,0.0
삼에스코리아,2012,0.06666666666666667
삼에스코리아,2013,0.14814814814814814
상상인,2018,0.13636363636363635
서부티엔디,2011,0.125
서부티엔디,2013,0.0
서부티엔디,2014,0.15789473684210525
서원인텍,2012,0.125
성광벤드,2011,0.0
성우하이텍,2011,0.03529411764705882
세종텔레콤,2015,0.10256410256410256
셀트리온,2018,0.07142857142857142
쇼박스,2013,0.4
슈피겐코리아,2014,0.1038961038961039
신진에스엠,2013,0.04838709677419355
씨제이이엔엠,2011,0.42857142857142855
아가방앤컴퍼니,2011,0.06666666666666667
아미코젠,2013,0.0
아미코젠,2014,0.016666666666666666
아바텍,2012,0.25287356321839083
아스트,2015,0.04878048780487805
아이원스,2015,0.019230769230769232
안랩,2011,0.0
알티캐스트,2013,0.3389830508474576
앤디포스,2018,0.0
에스맥,2012,0.07246376811594203
에스맥,2013,0.0
에스에이엠티,2012,0.15
에스에프에이반도체,2016,0.0
에스티큐브,2018,0.0
에이치엘비,2020,0.05714285714285714
에코프로,2017,0.0
영풍정밀,2012,0.13513513513513514
오리엔탈정공,2012,0.2727272727272727
와이솔,2015,0.014084507042253521
우주일렉트로닉스,2012,0.08
원익머트리얼즈,2011,1.0
원익머트리얼즈,2012,0.08771929824561403
웹젠,2011,0.04
위닉스,2013,0.031746031746031744
위메이드,2011,0.0
유니슨,2012,0.12857142857142856
유진기업,2012,0.15384615384615385
유진테크,2011,0.011235955056179775
이녹스,2012,0.024691358024691357
이라이콤,2012,0.06578947368421052
이엠코리아,2013,0.03125
이엠텍,2012,0.0
이오테크닉스,2011,0.031578947368421054
인터플렉스,2011,0.0
잉크테크,2012,0.014492753623188406
제이브이엠,2011,0.024390243902439025
제이스텍,2016,0.024390243902439025
젬백스&카엘,2011,0.12149532710280374
주성엔지니어링,2011,0.047058823529411764
지니뮤직,2018,0.047619047619047616
컴투스,2012,0.075
컴투스,2014,0.08
케이에이치바텍,2014,0.0
케이엠더블유,2012,0.16176470588235295
케이엠더블유,2017,0.0
케이지이니시스,2013,0.1111111111111111
켐트로닉스,2013,0.04054054054054054
코나아이,2012,0.031746031746031744
코데즈컴바인,2015,0.453125
코스메카코리아,2018,0.0
코스온,2015,0.0
코웰패션,2016,0.0
큐렉소,2011,0.12121212121212122
큐로컴,2011,0.12987012987012986
큐로컴,2012,0.1702127659574468
크루셜텍,2011,0.010101010101010102
크리스에프앤씨,2018,0.15789473684210525
클리오,2016,0.06896551724137931
태광,2012,0.16176470588235295
테스,2016,0.017857142857142856
테크윙,2017,0.0
토비스,2014,0.0
톱텍,2011,0.013513513513513514
티케이케미칼,2012,0.14814814814814814
팅크웨어,2012,0.0
파트론,2011,0.12222222222222222
파트론,2012,0.06097560975609756
포스코아이씨티,2011,0.037037037037037035
포스코엠텍,2012,0.0
폴라리스오피스,2011,0.024390243902439025
하나마이크론,2012,0.06521739130434782
하이록코리아,2012,0.014492753623188406
한국정보통신,2015,0.045454545454545456
해성산업,2013,0.1
홈캐스트,2016,0.09090909090909091
휴맥스,2011,0.039473684210526314
