,단어조합,기사수 차이
0,"['퇴출', '상장', '재심사', '폐지']",1076
1,"['퇴출', '상장', '격성', '폐지']",1066
2,"['퇴출', '상장', '판가름', '폐지']",1076
3,"['퇴출', '상장', '심사', '폐지']",1051
4,"['퇴출', '상장', '이의', '폐지']",1025
5,"['퇴출', '상장', '실질', '폐지']",1081
6,"['퇴출', '상장', '속개', '폐지']",1078
7,"['퇴출', '상장', '존폐', '폐지']",1077
8,"['퇴출', '재심사', '격성', '폐지']",1138
9,"['퇴출', '재심사', '판가름', '폐지']",1101
10,"['퇴출', '재심사', '심사', '폐지']",1079
11,"['퇴출', '재심사', '이의', '폐지']",1072
12,"['퇴출', '재심사', '실질', '폐지']",1166
13,"['퇴출', '재심사', '속개', '폐지']",1108
14,"['퇴출', '재심사', '존폐', '폐지']",1107
15,"['퇴출', '격성', '판가름', '폐지']",1136
16,"['퇴출', '격성', '심사', '폐지']",1072
17,"['퇴출', '격성', '이의', '폐지']",1105
18,"['퇴출', '격성', '실질', '폐지']",1152
19,"['퇴출', '격성', '속개', '폐지']",1140
20,"['퇴출', '격성', '존폐', '폐지']",1139
21,"['퇴출', '판가름', '심사', '폐지']",1076
22,"['퇴출', '판가름', '이의', '폐지']",1069
23,"['퇴출', '판가름', '실질', '폐지']",1160
24,"['퇴출', '판가름', '속개', '폐지']",1104
25,"['퇴출', '판가름', '존폐', '폐지']",1103
26,"['퇴출', '심사', '이의', '폐지']",1042
27,"['퇴출', '심사', '실질', '폐지']",1090
28,"['퇴출', '심사', '속개', '폐지']",1078
29,"['퇴출', '심사', '존폐', '폐지']",1078
30,"['퇴출', '이의', '실질', '폐지']",1129
31,"['퇴출', '이의', '속개', '폐지']",1075
32,"['퇴출', '이의', '존폐', '폐지']",1074
33,"['퇴출', '실질', '속개', '폐지']",1166
34,"['퇴출', '실질', '존폐', '폐지']",1165
35,"['퇴출', '속개', '존폐', '폐지']",1110
36,"['상장', '재심사', '격성', '폐지']",1051
37,"['상장', '재심사', '판가름', '폐지']",1061
38,"['상장', '재심사', '심사', '폐지']",1040
39,"['상장', '재심사', '이의', '폐지']",1010
40,"['상장', '재심사', '실질', '폐지']",1069
41,"['상장', '재심사', '속개', '폐지']",1063
42,"['상장', '재심사', '존폐', '폐지']",1062
43,"['상장', '격성', '판가름', '폐지']",1051
44,"['상장', '격성', '심사', '폐지']",1034
45,"['상장', '격성', '이의', '폐지']",1000
46,"['상장', '격성', '실질', '폐지']",1057
47,"['상장', '격성', '속개', '폐지']",1053
48,"['상장', '격성', '존폐', '폐지']",1052
49,"['상장', '판가름', '심사', '폐지']",1039
50,"['상장', '판가름', '이의', '폐지']",1010
51,"['상장', '판가름', '실질', '폐지']",1067
52,"['상장', '판가름', '속개', '폐지']",1063
53,"['상장', '판가름', '존폐', '폐지']",1062
54,"['상장', '심사', '이의', '폐지']",986
55,"['상장', '심사', '실질', '폐지']",1046
56,"['상장', '심사', '속개', '폐지']",1040
57,"['상장', '심사', '존폐', '폐지']",1039
58,"['상장', '이의', '실질', '폐지']",1016
59,"['상장', '이의', '속개', '폐지']",1012
60,"['상장', '이의', '존폐', '폐지']",1011
61,"['상장', '실질', '속개', '폐지']",1069
62,"['상장', '실질', '존폐', '폐지']",1068
63,"['상장', '속개', '존폐', '폐지']",1064
64,"['재심사', '격성', '판가름', '폐지']",1103
65,"['재심사', '격성', '심사', '폐지']",1044
66,"['재심사', '격성', '이의', '폐지']",1072
67,"['재심사', '격성', '실질', '폐지']",1126
68,"['재심사', '격성', '속개', '폐지']",1106
69,"['재심사', '격성', '존폐', '폐지']",1105
70,"['재심사', '판가름', '심사', '폐지']",1049
71,"['재심사', '판가름', '이의', '폐지']",1037
72,"['재심사', '판가름', '실질', '폐지']",1135
73,"['재심사', '판가름', '속개', '폐지']",1071
74,"['재심사', '판가름', '존폐', '폐지']",1070
75,"['재심사', '심사', '이의', '폐지']",1015
76,"['재심사', '심사', '실질', '폐지']",1066
77,"['재심사', '심사', '속개', '폐지']",1050
78,"['재심사', '심사', '존폐', '폐지']",1050
79,"['재심사', '이의', '실질', '폐지']",1104
80,"['재심사', '이의', '속개', '폐지']",1042
81,"['재심사', '이의', '존폐', '폐지']",1041
82,"['재심사', '실질', '속개', '폐지']",1140
83,"['재심사', '실질', '존폐', '폐지']",1139
84,"['재심사', '속개', '존폐', '폐지']",1076
85,"['격성', '판가름', '심사', '폐지']",1042
86,"['격성', '판가름', '이의', '폐지']",1071
87,"['격성', '판가름', '실질', '폐지']",1123
88,"['격성', '판가름', '속개', '폐지']",1105
89,"['격성', '판가름', '존폐', '폐지']",1104
90,"['격성', '심사', '이의', '폐지']",1008
91,"['격성', '심사', '실질', '폐지']",1059
92,"['격성', '심사', '속개', '폐지']",1043
93,"['격성', '심사', '존폐', '폐지']",1043
94,"['격성', '이의', '실질', '폐지']",1091
95,"['격성', '이의', '속개', '폐지']",1074
96,"['격성', '이의', '존폐', '폐지']",1073
97,"['격성', '실질', '속개', '폐지']",1126
98,"['격성', '실질', '존폐', '폐지']",1125
99,"['격성', '속개', '존폐', '폐지']",1107
100,"['판가름', '심사', '이의', '폐지']",1013
101,"['판가름', '심사', '실질', '폐지']",1064
102,"['판가름', '심사', '속개', '폐지']",1048
103,"['판가름', '심사', '존폐', '폐지']",1048
104,"['판가름', '이의', '실질', '폐지']",1100
105,"['판가름', '이의', '속개', '폐지']",1040
106,"['판가름', '이의', '존폐', '폐지']",1039
107,"['판가름', '실질', '속개', '폐지']",1135
108,"['판가름', '실질', '존폐', '폐지']",1134
109,"['판가름', '속개', '존폐', '폐지']",1073
110,"['심사', '이의', '실질', '폐지']",1028
111,"['심사', '이의', '속개', '폐지']",1014
112,"['심사', '이의', '존폐', '폐지']",1014
113,"['심사', '실질', '속개', '폐지']",1065
114,"['심사', '실질', '존폐', '폐지']",1065
115,"['심사', '속개', '존폐', '폐지']",1049
116,"['이의', '실질', '속개', '폐지']",1104
117,"['이의', '실질', '존폐', '폐지']",1103
118,"['이의', '속개', '존폐', '폐지']",1044
119,"['실질', '속개', '존폐', '폐지']",1139
