,단어조합,기사수 차이
0,"['퇴출', '상장', '판가름', '폐지']",1076
1,"['퇴출', '상장', '심사', '폐지']",1051
2,"['퇴출', '상장', '재심사', '폐지']",1076
3,"['퇴출', '상장', '격성', '폐지']",1066
4,"['퇴출', '상장', '요주', '폐지']",1085
5,"['퇴출', '상장', '존폐', '폐지']",1077
6,"['퇴출', '상장', '이의', '폐지']",1025
7,"['퇴출', '상장', '일내', '폐지']",1078
8,"['퇴출', '판가름', '심사', '폐지']",1076
9,"['퇴출', '판가름', '재심사', '폐지']",1101
10,"['퇴출', '판가름', '격성', '폐지']",1136
11,"['퇴출', '판가름', '요주', '폐지']",1106
12,"['퇴출', '판가름', '존폐', '폐지']",1103
13,"['퇴출', '판가름', '이의', '폐지']",1069
14,"['퇴출', '판가름', '일내', '폐지']",1104
15,"['퇴출', '심사', '재심사', '폐지']",1079
16,"['퇴출', '심사', '격성', '폐지']",1072
17,"['퇴출', '심사', '요주', '폐지']",1082
18,"['퇴출', '심사', '존폐', '폐지']",1078
19,"['퇴출', '심사', '이의', '폐지']",1042
20,"['퇴출', '심사', '일내', '폐지']",1080
21,"['퇴출', '재심사', '격성', '폐지']",1138
22,"['퇴출', '재심사', '요주', '폐지']",1110
23,"['퇴출', '재심사', '존폐', '폐지']",1107
24,"['퇴출', '재심사', '이의', '폐지']",1072
25,"['퇴출', '재심사', '일내', '폐지']",1108
26,"['퇴출', '격성', '요주', '폐지']",1143
27,"['퇴출', '격성', '존폐', '폐지']",1139
28,"['퇴출', '격성', '이의', '폐지']",1105
29,"['퇴출', '격성', '일내', '폐지']",1141
30,"['퇴출', '요주', '존폐', '폐지']",1112
31,"['퇴출', '요주', '이의', '폐지']",1075
32,"['퇴출', '요주', '일내', '폐지']",1113
33,"['퇴출', '존폐', '이의', '폐지']",1074
34,"['퇴출', '존폐', '일내', '폐지']",1110
35,"['퇴출', '이의', '일내', '폐지']",1074
36,"['상장', '판가름', '심사', '폐지']",1039
37,"['상장', '판가름', '재심사', '폐지']",1061
38,"['상장', '판가름', '격성', '폐지']",1051
39,"['상장', '판가름', '요주', '폐지']",1070
40,"['상장', '판가름', '존폐', '폐지']",1062
41,"['상장', '판가름', '이의', '폐지']",1010
42,"['상장', '판가름', '일내', '폐지']",1063
43,"['상장', '심사', '재심사', '폐지']",1040
44,"['상장', '심사', '격성', '폐지']",1034
45,"['상장', '심사', '요주', '폐지']",1046
46,"['상장', '심사', '존폐', '폐지']",1039
47,"['상장', '심사', '이의', '폐지']",986
48,"['상장', '심사', '일내', '폐지']",1040
49,"['상장', '재심사', '격성', '폐지']",1051
50,"['상장', '재심사', '요주', '폐지']",1070
51,"['상장', '재심사', '존폐', '폐지']",1062
52,"['상장', '재심사', '이의', '폐지']",1010
53,"['상장', '재심사', '일내', '폐지']",1063
54,"['상장', '격성', '요주', '폐지']",1060
55,"['상장', '격성', '존폐', '폐지']",1052
56,"['상장', '격성', '이의', '폐지']",1000
57,"['상장', '격성', '일내', '폐지']",1053
58,"['상장', '요주', '존폐', '폐지']",1071
59,"['상장', '요주', '이의', '폐지']",1018
60,"['상장', '요주', '일내', '폐지']",1072
61,"['상장', '존폐', '이의', '폐지']",1011
62,"['상장', '존폐', '일내', '폐지']",1064
63,"['상장', '이의', '일내', '폐지']",1011
64,"['판가름', '심사', '재심사', '폐지']",1049
65,"['판가름', '심사', '격성', '폐지']",1042
66,"['판가름', '심사', '요주', '폐지']",1052
67,"['판가름', '심사', '존폐', '폐지']",1048
68,"['판가름', '심사', '이의', '폐지']",1013
69,"['판가름', '심사', '일내', '폐지']",1050
70,"['판가름', '재심사', '격성', '폐지']",1103
