,회사명,거래소코드,회계년도,자산,부채,자본,매출액,매출원가,매출총이익,영업이익,당기순이익,유동자산,당좌자산,재고자산,유동부채,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이익잉여금,이자비용,영업활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,이자수익,법인세비용,지분법이익,지분법손실
0,(주)CMG제약,58820,2012/12,57108035.0,25517350.0,31590685.0,16255389.0,11648690.0,4606698.0,-4205503.0,-6660149.0,47109213.0,44154040.0,2955172.0,6793095.0,11362566.0,2670886.0,100000.0,0.0,17362365.0,9307482.0,-52379991.0,542880.0,-1572581.0,-30265984.0,35360511.0,131363.0,0.0,0.0,0.0
1,(주)CMG제약,58820,2013/12,55912563.0,6915281.0,48997281.0,20402140.0,12506817.0,7895323.0,791250.0,296181.0,38209699.0,33590980.0,4618718.0,5500075.0,13999415.0,3911851.0,0.0,0.0,1415206.0,10805092.0,-52201720.0,1134104.0,-3939013.0,21135376.0,-156948.0,796706.0,0.0,0.0,0.0
2,(주)CMG제약,58820,2014/12,58068326.0,9065682.0,49002644.0,22752584.0,14318048.0,8434535.0,442322.0,158039.0,28300941.0,23387837.0,4913103.0,8719202.0,16787073.0,4719504.0,5451.0,0.0,0.0,18833775.0,-52393918.0,122840.0,724893.0,-13611109.0,5451.0,270164.0,0.0,0.0,0.0
3,(주)CMG제약,58820,2015/12,56532821.0,9725933.0,46806888.0,27041894.0,17237814.0,9804080.0,-2572168.0,-3650091.0,26271614.0,20815997.0,5455617.0,8849994.0,15838057.0,4844096.0,6273.0,0.0,0.0,17822468.0,-56413575.0,79830.0,2410205.0,-8670780.0,822.0,109662.0,0.0,0.0,0.0
4,(주)CMG제약,58820,2016/12,110979867.0,9872232.0,101107635.0,32969825.0,19663389.0,13306436.0,1730753.0,1727895.0,78772201.0,72378446.0,6393756.0,9136755.0,14435808.0,5688806.0,0.0,0.0,0.0,16905814.0,-54546528.0,0.0,3321352.0,-56094458.0,52359861.0,153681.0,-51222.0,0.0,0.0
5,(주)CMG제약,58820,2017/12,109568153.0,11624134.0,97944019.0,41535588.0,23497552.0,18038036.0,1558607.0,2834901.0,81227330.0,73322813.0,7904518.0,10884321.0,16768648.0,7002289.0,0.0,0.0,0.0,16182518.0,-3397713.0,0.0,1948086.0,-467123.0,171180.0,1129441.0,35415.0,0.0,0.0
6,(주)CMG제약,58820,2018/12,114379880.0,10398033.0,103981846.0,49864782.0,27124841.0,22739941.0,2567820.0,6065026.0,81370415.0,72797832.0,8572582.0,8495060.0,19030822.0,4162722.0,0.0,0.0,0.0,17268535.0,2308864.0,0.0,886779.0,8779219.0,0.0,502121.0,-2409421.0,0.0,0.0
7,(주)CMG제약,58820,2019/12,192243166.0,12084883.0,180158283.0,58622681.0,29700050.0,28922631.0,2603774.0,3051177.0,150584066.0,141535132.0,9048933.0,9306387.0,21676515.0,4328437.0,0.0,0.0,0.0,24119403.0,5054709.0,8593.0,2823387.0,-70595614.0,72877952.0,1099682.0,785435.0,0.0,0.0
8,(주)ES큐브,50120,2012/12,46281660.0,6421979.0,39859681.0,55971147.0,40290541.0,15680606.0,89337.0,-359216.0,22707006.0,17862800.0,4844206.0,4802996.0,4718926.0,1540985.0,153555.0,0.0,0.0,3181598.0,-101365.0,51946.0,5224759.0,-4486091.0,302892.0,356510.0,247267.0,0.0,0.0
9,(주)ES큐브,50120,2013/12,47137573.0,4765132.0,42372440.0,58597361.0,44088670.0,14508692.0,-1164611.0,-16455910.0,38357211.0,32092274.0,6264936.0,3630549.0,4935099.0,934211.0,152765.0,0.0,0.0,2177498.0,-16064295.0,31106.0,2590980.0,-14873142.0,18283521.0,322721.0,297192.0,0.0,0.0
