회사명,거래소코드,회계년도,종가(원),보통주(천원),상장협 산업분류(대분류),상장협 산업분류(중분류),상장협 산업분류(소분류)
(주)CMG제약,058820,2010/12,792,41176375,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)CMG제약,058820,2011/12,785,43693200,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)CMG제약,058820,2012/12,1330,66025540,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)CMG제약,058820,2013/12,932,86626866,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)CMG제약,058820,2014/12,912,86626866,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)CMG제약,058820,2015/12,2110,88297244,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)CMG제약,058820,2016/12,3180,108707244,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)CMG제약,058820,2017/12,6240,108887244,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)CMG제약,058820,2018/12,4235,108887244,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)CMG제약,058820,2019/12,4250,138892244,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)CMG제약,058820,2020/12,5780,138892244,제조업,  의료용 물질 및 의약품 제조업,    의약품 제조업
(주)ES큐브,050120,2010/12,2385,23243905,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,050120,2011/12,2120,23243905,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,050120,2012/12,3430,23393158,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,050120,2013/12,1540,36493326,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,050120,2014/12,1395,36493326,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,050120,2015/12,1605,36493326,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,050120,2016/12,1705,41621527,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,050120,2017/12,1030,83243054,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,050120,2018/12,668,83243054,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,050120,2019/12,852,83088255,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,050120,2020/12,558,135640864,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)가비아,079940,2010/12,3050,12735684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,079940,2011/12,3950,12735684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,079940,2012/12,4035,13335684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,079940,2013/12,4790,13335684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,079940,2014/12,6420,13535684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,079940,2015/12,7130,13535684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,079940,2016/12,5840,13535684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,079940,2017/12,5870,13535684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,079940,2018/12,6360,13535684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,079940,2019/12,8280,13535684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,079940,2020/12,13150,13535684,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가온칩스,399720,2018/12,,40000,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    반도체 제조업
(주)가온칩스,399720,2019/12,,40000,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    반도체 제조업
(주)가온칩스,399720,2020/12,,80000,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    반도체 제조업
(주)강스템바이오텍,217730,2013/12,,730000,제조업,  의료용 물질 및 의약품 제조업,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2014/12,,7300000,제조업,  의료용 물질 및 의약품 제조업,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2015/12,10900,13817150,제조업,  의료용 물질 및 의약품 제조업,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2016/12,10800,14213650,제조업,  의료용 물질 및 의약품 제조업,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2017/12,12500,16251712,제조업,  의료용 물질 및 의약품 제조업,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2018/12,21800,20824937,제조업,  의료용 물질 및 의약품 제조업,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2019/12,8140,20849437,제조업,  의료용 물질 및 의약품 제조업,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2020/12,7910,24836666,제조업,  의료용 물질 및 의약품 제조업,    기초 의약물질 및 생물학적 제제 제조업
(주)강원에너지,114190,2010/11,4345,5300000,제조업,  금속가공제품 제조업; 기계 및 가구 제외,"    구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,2011/11,4530,5300000,제조업,  금속가공제품 제조업; 기계 및 가구 제외,"    구조용 금속제품, 탱크 및 증기발생기 제조업"
