,회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
0,네오퍼플,2012,-1.0586576570000001,-50.74962348,-10.29208619,148.91684719999998,61.82288039,1
1,네프로아이티,2010,7.40848272,8.757557205,-8.019206099,225.88563430000002,45.07906873,1
2,넷웨이브,2011,28.63373126,-20.5067397,-26.89101978,273.95631460000004,85.28217828,1
3,뉴젠아이씨티,2010,51.70312206,-250.6529286,-11.19695934,507.0040992,20.69159211,1
4,대양글로벌,2010,70.58805307,-53.90488164,-31.3035924,1329.128553,35.97767703,1
5,디아이디,2014,-30.13426217,-23.45879025,-13.73889136,108.68177630000001,161.8213585,1
6,디에스,2012,-69.68546178,-47.29046932,-59.22759821,113.37545,508.15023219999995,1
7,디에이치패션,2011,23.57782736,-180.473594,-7.111358784,2022.9317039999999,13.25172408,1
8,디패션,2010,21.13908939,-332.9527083,-17.7129622,188.5560521,32.11277648,1
9,렉스엘이앤지,2013,-43.54525083,-205.8051272,-63.06833328,83.11972765,40.47052356,1
10,마이스코,2012,-27.40365939,-13.89552942,-8.928640243,130.8949162,63.19402374,1
11,맥스브로,2010,30.07678742,-63.73764024,-53.74818373,618.1968218999999,21.42937261,1
12,모린스,2013,-98.79645097,-81.85898179,-33.87629516,92.86793458,58.74324284,1
13,미성포리테크,2011,-61.46462565,-41.03696429,-15.14651366,94.78248153,70.64658536,1
14,보광티에스,2011,-27.57621294,-89.99991983,-26.17340577,110.2086598,19.39503427,1
15,블루젬디앤씨,2011,2.3512006640000003,-118.90744740000001,1.0408279390000001,221.42027209999998,29.28414347,1
16,비앤비성원,2011,4.4678238310000005,0.552411367,2.403705203,295.558381,80.39503695,1
17,삼우이엠씨,2012,-93.95149223,-90.36099792,-59.98461415,69.78955571,64.20159799,1
18,선팩테크,2010,-40.35745401,-80.56827709,-28.32599257,100.7312344,11.83310553,1
19,세븐코스프,2010,26.24371219,-520.7725918000001,-45.13031496,205.7279706,79.72638841,1
20,세실,2010,18.52754024,-52.10807114,-79.8544497,518.0708063,49.09301199,1
21,스톰이앤에프,2010,-61.90775365,-372.78351299999997,-27.3764049,76.45310935,101.86106109999999,1
22,씨모텍,2010,22.91657152,-20.12825374,4.230752046,208.8776976,129.6320244,1
23,씨엘인터내셔널,2015,-27.32921414,-199.7895555,-15.15155774,132.0168907,66.87388177,1
24,씨티앤티,2011,-42.03231393,-175.03108899999998,-28.53946684,106.76799140000001,13.08057827,1
