,0
0,"The KOSDAQ market headquarters said that Il G&ST had not submitted financial statements proving that it was out of the abnormal state of capital erosion until today, and told them to be careful about investment. Due to losses, it was designated as a management item last month. Accordingly, the company had to submit financial statements and auditor's audit report including details on whether the capital erosion was resolved by the deadline for submitting the semi-annual report for the business year. It has been announced that ST's trading will be suspended. If G&ST does not submit a semi-annual audit report by the next day, or if the capital erosion rate is still higher than , the delisting process may proceed if it receives an audit opinion such as rejection of an unfavorable opinion and limitation due to the limitation of the scope of the audit. 10,000 won Land The statue of President Kim Dae-jung turned upside down for the first time in a year A statue of President Kim Dae-jung turned upside down The shock of killing his wife and his three sons per capita income of billions of won Do not redistribute"
1,"G&ST has been on a sharp rise for the fourth day as it emerged from the crisis of delisting. Stock trading has been suspended since the last day because of the risk of delisting if the capital erosion rate exceeds , even in the first half of this year. After that, the price soared to the upper limit for the third day until the previous day, and the trend continues today. More than one person opened the warehouse door and ran in a frenzy. Hanging from the windshield of a car, Super Cop ate Viagra while watching a lewd video. In the end, next year’s revision elementary school math is the reason why he went back to a domestic car after riding an imported car Go to the world eyes Global media World Daily."
2,"Procurement of a total of 100 million won including bequest society | This article was published in the monthly capital market media Money Today. G&ST was designated as an investment alert due to its weak profitability and capital erosion. The reality of G&ST is that it is impossible to operate a normal company without external financing as it has recorded an operating loss every year for consecutive years since 2008. Although sales increased by more than 100 million won, operating loss only decreased by 100 million won. This is because cost of sales and SG&A expenses increased in proportion to sales. Financial expenses also amounted to billions of won, resulting in a net loss of billions of won. It has a structure in which expenses increase as income increases. Even looking at the results of this quarter, a turnaround is not expected to be easy. Sales decreased to 100 million won, less than half of the same period of the previous year, and operating loss was similar to the previous year by 100 million won. As the net loss continued, the loss also increased to 100 million won. As of the end of the year, G&ST's capital erosion rate reached . Companies with a capital erosion rate exceeding , are also designated as managed items according to the exchange regulations that require them to be designated as managed items. A regulation that allows companies to make losses for consecutive years after the year of 2008 may also affect whether they are listed on the delisting substantive examination. entered the market. In its first year of listing, it recorded sales of KRW 100 million and operating profit of KRW 100 million. The operating profit margin reached . Even at this time, color CRTs were in the spotlight because of their superior price competitiveness compared to mine. The operating profit margin of G&ST declined sharply over the years. In the year following the listing, sales increased to KRW 100 million, but the operating profit margin decreased to . due to increased cost of sales and SG&A expenses. In the year when sales decreased to 100 million won, it recorded an operating profit of just over 100 million won. This is because, as the market grew rapidly, it replaced color CRT. G&ST turned to a loss-making company for the last time after recording an operating surplus for the year. G&ST's loss streak, which started in 2011, has continued for the past year. From this point on, G&ST started to live on through external financing. Over the years, G&ST has conducted a total number of rights offerings, including shareholder allocation and general public offering for allotment to third parties, and issued convertible bonds one after the other with warrants. The funds raised through the capital increase alone amounted to KRW 100 million, and the funds raised through W and more than KRW 100 million. G&ST continued to receive external blood transfusions, but was unable to use it as a live ammunition to advance into new businesses. This is because the amount of procurement was at a level that was urgent to make up for the loss with as little as 100 million won when the size of the procurement was large. For a turnaround, G&ST entered the backlight power supply business and home shopping online shopping mall business one after another. However, he was hesitant to make a large-scale investment and continued a vicious cycle of failure because he was in a hurry to follow market trends. This is when the lighting business was just starting to get into the limelight. Lumisys, which was expected to play a key role, posted a net loss of nearly 100 million won a year. The slowdown in the construction industry played a decisive role. Kim Jeom-deok, who sells the fastest if sold second-hand, is the shameless Kim Jeom-deok after killing an elementary school student in Tongyeong Why did he win five stars in the Supreme Court Lawsuit for a long-lived bed? A new image appeared and even the department store smiles. Unauthorized reproduction and redistribution of News Money Today is prohibited."
3,"Seoul News reporter Jang Jin-bok, G&ST, decided to reduce the number of common stocks by merging the Japanese common stock. The reason for the reduction is to improve the financial structure. After the reduction, the capital will decrease from about 100 million won to about 100 million won, and the common stock will decrease from 10,000 shares to 10,000 shares, respectively. Previously, G&ST was designated as a management item for reasons such as continuous operating losses and capital erosion rate in recent business years. As of the end of last year, GMS' capital erosion rate ..c. stock price is riding a roller coaster. In the past, the stock price of G&ST, which announced the news of potatoes after the close of the market on that day, will decline again at the same time as the start of the market is growing. G&ST A stock discussion was held with officials about the reason for the decision to reduce the cap, and the direction of the stock price. The reason for deciding on potatoes. Earlier, he said that he was considering a capital increase or a potato. To improve the financial structure. G&ST announced on the 1st of last month that it is considering a capital increase or reduction in financial structure to improve its financial structure. Why did you choose potatoes over bequests? In other words, to improve the financial structure. Capital erosion is at stake, but potatoes were not cut to solve capital erosion. It was simply reduced in order to improve the financial structure. Today, the stock price has risen to its upper limit. I don't know why. There is a high risk of a share price decline in the coming days. The potato news last month said it was under review. Potatoes were able to come out. If you do not anticipate the market reaction. After the news of the potato came out, there was no phone call. The reason for the large fluctuations. I don't know why. You never know who's buying or selling. Literally, the commonly talked about institutions go up when attached. Jang doesn't know how the company works. Other plans to improve performance. We are paying a lot of attention because we have to make operating profit until this year. What specifically do you pay attention to? We will make a public announcement after confirming the future progress. We have a plan right now, but it is difficult to answer precisely because of the problem that it may be canceled later. G&ST is a company whose main business is distribution business, environmental business and construction business. The head office is located in Jungwon-gu, Seongnam-si, Gyeonggi-do. The number of employees is It has Lumisys, which develops and manufactures lighting as an affiliate, and has a stake listed on the KOSDAQ market. The largest shareholder is Lee Jin-soo, the CEO, and the stake is .. Saenuri floor leader resigns and postpones until an extraordinary parliamentary session in January Hyun Byung-cheol increases his son's weight and public service controversy As soon as it arrives, request for a sound source leak investigation The world in the palm of your hand Unauthorized redistribution prohibited."
4,The Korea Exchange announced on the day that it would lift the suspension of G&ST's stock trading. G&ST's capital erosion rate has recovered to less than half a year. Reporter Ji Seon-ho A Window to the World An Eye to the Economy Asian Economy Unauthorized Reproduction and Distribution Ban Dancing Jackpot Psy Broadcasting Book The money required to marry a female partner after speaking English is shocking The reason why young men go shopping every weekend
5,"G&ST is recording the upper limit at the beginning of the market on the news of the free capital reduction decision. As of the morning of the morning, G&ST has soared to its price limit and is trading in won. With this, the capital has been reduced from 100 million won to 100 million won, and the issued stock has been reduced from 10 million to 10 million shares. The expected new stock listing is on the following Monday. Reporter Sang-hyuk Oh .. The largest pink diamond found in Australia The detachment team collapsed like dominoes and shuffled Vivid video Live video of limb amputation successful crossing the Strait of Gibraltar Ganluru humiliation Singing in kill heels Singing in the crease Miss Maxim Eom Sang-mi Eom Sang-mi's dizzying charm pictorial"
6,"G&ST announced on the same day that it would hold an extraordinary general meeting of shareholders at the lecture hall of the Saemaul Undong Central Training Center in Seongnam, Gyeonggi Province, next month, and propose agenda items such as approval for capital reduction and changes to the articles of incorporation. It also includes the content of increasing the total number of stocks scheduled to be issued from billions of shares to billions of shares. A typhoon is coming, but why is the weather so bad Typhoon Bolaven strikes Okinawa's state is about the same as the power of Bolaven on Jeju Island There has been an iPhone with rounded corners before. Unauthorized reproduction and redistribution prohibited"
7,"G&ST is rebounding after 1 day. As of the morning of the day, G&ST is . It is trading at the right-hand won. This is the first rebound in trading days since the last day. G&ST has been weak in recent years due to concerns over earnings. From the last day, it also recorded the lowest price for five consecutive days. Byung-cheol Yoo, World Finance Reporter . The broth girl who burned the child rather I resurrected the victim after a few days The old man who was resurrected After sleeping at an inn, he woke up to extort his kidneys, absurdly, overexposure, fined for a top model, danced on an animal whose chest was strongest in the cold On a polar bear On a penguin On a penguin on a penguin World Daily News World.com Korea We exercise copyright in accordance with the Digital News Usage Rules of the Online Newspaper Association."
8,"G&ST is hitting its lower limit for two days in a row. As of the morning of the morning of the day, G&ST is trading at a price lower than the previous day's price limit. Kim Seon-kyung, reporter for World Finance. The broth girl who burned the child rather I resurrected the victim after a few days The old man who was resurrected After sleeping at an inn, he woke up to extort his kidneys, absurdly, overexposure, fined for a top model, danced on an animal whose chest was strongest in the cold On a polar bear On a penguin On a penguin on a penguin World Daily News World.com Korea We exercise copyright in accordance with the Digital News Usage Rules of the Online Newspaper Association."
9,"G&ST, a KOSDAQ-listed company, announced on the same day that the submission and disclosure of the audit report was delayed due to the company's delay in data submission, and that it will disclose the audit report as soon as it is submitted by an external auditor. According to Article 1 of the Enforcement Decree of the External Audit Act, a listed corporation must submit an audit report to an external auditor and disclose it by the deadline. The key to investing in the Asian economy in my hand, which can be found anytime, anywhere... Reporter Lee Ji-eun A window to see the world An eye to see the economy Asian economy Unauthorized reproduction prohibited I bought a wallet, but Lee Kyung-gyu's life's jackpot secret It was Louis Vuitton that Kim Yuna ordered. Ginseng polysaccharide anti-cancer immunity enhancement action.. New hope for overcoming cancer Even Lee Seung-gi took Kim Yuna coffee"
