번호,회사명,종목코드,폐지일자,폐지사유,비고
35,GV,45890,2021-12-20,해산사유 발생(파산선고),
30,이엠네트웍스,87730,2021-10-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,
29,코너스톤네트웍스,33110,2021-10-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
28,에이아이비트,39230,2021-10-06,감사의견 거절(감사범위 제한),
26,지유온,111820,2021-09-30,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,
24,맥스로텍,141070,2021-09-16,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,
23,에스제이케이,80440,2021-09-13,해산사유 발생(파산선고),
22,디에스티,33430,2021-09-02,감사의견 한정(감사범위 제한),
21,화신테크,86250,2021-08-31,감사의견 거절(감사범위 제한),
20,팍스넷,38160,2021-08-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
19,럭슬,33600,2021-08-11,감사의견 거절(감사범위 제한),
17,제낙스,65620,2021-08-09,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
10,에스앤씨엔진그룹,900080,2021-06-14,"법정제출기한까지 사업보고서를 제출하지 아니한 후, 법정제출기한의 다음날부터 10일이내에 사업보고서를 제출하지 아니함",
9,아이엠텍,226350,2021-06-11,감사의견 거절(감사범위 제한),
8,퓨전,195440,2021-06-10,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
7,행남사,8800,2021-06-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,
6,에이팸,73070,2021-06-04,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,
5,에이치디,102210,2021-04-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,
3,미래SCI,28040,2021-04-13,"최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서, 반기보고서 또는 분기보고서 법정제출기한 내 미제출",
2,이매진아시아,36260,2021-02-15,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,
