기업,부도기사 비율
KCW,57.14
글로웍스,12.5
나노트로닉스,20.0
나이스메탈,18.52
네스테크,27.59
네오퍼플,21.21
네이쳐글로벌,7.69
네프로아이티,35.42
넥스지,8.33
넷웨이브,33.33
뉴젠아이씨티,35.48
대선조선,8.57
동양텔레콤,11.54
디아이디,16.13
디에스,20.69
디패션,57.14
레이젠,18.18
렉스엘이앤지,25.0
마이스코,36.36
맥스브로,12.5
모린스,15.38
미리넷,27.59
미성포리테크,17.39
보광티에스,16.67
블루젬디앤씨,17.65
비앤비성원,16.67
비엔씨컴퍼니,0.0
삼우이엠씨,17.86
세븐코스프,16.0
스톰이앤에프,33.33
스틸플라워,8.33
승화프리텍,0.0
쌍용건설,39.66
썬코어,21.05
씨그널엔터테인먼트그룹,7.69
씨모텍,85.29
씨엘인터내셔널,50.0
씨티앤티,0.0
씨티엘테크,0.0
아라온테크,33.33
아이디에스,18.75
아이스테이션,10.71
아이이,15.38
아이팩토리,22.22
아인스엠앤엠,33.33
아큐텍,20.59
알에스넷,0.0
알티전자,17.65
어울림네트웍스,25.93
어울림엘시스,21.74
어울림정보기술,38.46
에듀언스,5.26
에듀패스,12.5
에버테크노,52.94
에스브이에이치,45.45
에스비엠,58.62
에스에스씨피,0.0
에스에스컴텍,10.71
에스티씨라이프,29.63
에이스하이텍,23.08
에이원마이크로,43.75
에이프로테크놀로지,32.35
에코솔루션,17.95
에코페트로시스템,13.64
에피밸리,36.0
엔빅스,11.54
엔스퍼트,50.0
엔에스브이,40.91
엔케이바이오,26.09
엔하이테크,28.57
엘앤씨피,13.64
엘앤피아너스,19.23
엠엔에프씨,27.91
엠제이비,50.0
엠텍비젼,35.71
영진코퍼레이션,22.22
와이즈파워,40.0
우경,60.0
우성아이비,38.46
우양에이치씨,16.0
우전,0.0
울트라건설,7.69
위너지스,33.33
위노바,28.57
위다스,27.78
유니드코리아,38.71
유니텍전자,30.0
유아이에너지,51.61
유일엔시스,23.81
이디디컴퍼니,36.0
이룸지엔지,23.33
잘만테크,22.22
제너시스템즈,12.9
제이앤유글로벌,7.14
제이에이치코오스,0.0
제이콤,22.58
중앙디자인,100.0
지노시스템,20.0
지아이바이오,18.52
지앤디윈텍,20.83
지앤알,21.43
지앤에스티,32.14
케이엔씨글로벌,13.64
코썬바이오,42.86
코아에스앤아이,33.33
큐리어스,21.74
큐앤에스,31.03
클라스타,5.88
클루넷,13.33
태산엘시디,22.73
태창파로스,31.82
터보테크,35.71
테라리소스,22.22
트라이써클,35.71
트레이스,4.17
트루아워,47.37
티에스엠텍,7.69
평안물산,55.56
포휴먼,20.51
폴리플러스,10.0
플렉스컴,22.58
피엘에이,7.69
한와이어리스,11.76
해피드림,14.29
핸디소프트,41.67
휴먼텍코리아,13.33
히스토스템,13.79
