,기업,부도기사비율
0,경창산업,0.0
1,고영테크놀러지,2.1739130434782608
2,광림,0.0
3,금화피에스시,12.857142857142856
4,나스미디어,0.0
5,네오위즈,0.0
6,네패스,0.0
7,다날,0.0
8,다우데이타,4.615384615384616
9,다원시스,0.0
10,대주전자재료,0.0
11,대한광통신,1.1111111111111112
12,덕산하이메탈,2.3255813953488373
13,덱스터스튜디오,0.0
14,동국산업,4.166666666666666
15,동국에스엔씨,9.090909090909092
16,동원개발,1.3513513513513513
17,동진쎄미켐,0.0
18,드래곤플라이,0.0
19,디티앤씨,0.0
20,라이온켐텍,2.564102564102564
21,레드로버,1.4925373134328357
22,루멘스,0.0
23,리드코프,3.389830508474576
24,마크로젠,0.0
25,멀티캠퍼스,4.0
26,메가스터디,2.0408163265306123
27,메카로,0.0
28,멜파스,1.0
29,미래나노텍,0.0
30,블루콤,0.0
31,삼에스코리아,5.263157894736842
32,상상인,12.121212121212121
33,서부티엔디,2.7027027027027026
34,서원인텍,0.0
35,성광벤드,0.0
36,성우하이텍,0.0
37,세종텔레콤,2.564102564102564
38,셀트리온,5.714285714285714
39,쇼박스,20.0
40,슈피겐코리아,1.2987012987012987
41,신진에스엠,3.225806451612903
42,씨제이이엔엠,14.285714285714285
43,아가방앤컴퍼니,1.6666666666666667
44,아미코젠,0.0
45,아바텍,3.4482758620689653
46,아스트,0.0
47,아이원스,1.9230769230769231
48,안랩,0.0
49,알티캐스트,0.0
50,앤디포스,0.0
51,에스맥,0.0
52,에스에이엠티,5.0
53,에스에프에이반도체,0.0
54,에스티큐브,0.0
55,에이치엘비,0.0
56,에코프로,0.0
57,영풍정밀,10.81081081081081
58,오리엔탈정공,23.376623376623375
59,와이솔,0.0
60,우주일렉트로닉스,5.333333333333334
61,원익머트리얼즈,3.4482758620689653
62,웹젠,0.0
63,위닉스,0.0
64,위메이드,0.0
65,유니슨,5.714285714285714
66,유진기업,5.128205128205128
67,유진테크,0.0
68,이녹스,1.2345679012345678
69,이라이콤,0.0
70,이엠코리아,3.125
71,이엠텍,0.0
72,이오테크닉스,0.0
73,인터플렉스,0.0
74,잉크테크,0.0
75,제이브이엠,2.4390243902439024
76,제이스텍,2.4390243902439024
77,젬백스&카엘,2.803738317757009
78,주성엔지니어링,0.0
79,지니뮤직,0.0
80,컴투스,1.5384615384615385
81,케이에이치바텍,0.0
82,케이엠더블유,3.79746835443038
83,케이지이니시스,11.11111111111111
84,켐트로닉스,1.3513513513513513
85,코나아이,0.0
86,코데즈컴바인,39.0625
87,코스메카코리아,0.0
88,코스온,0.0
89,코웰패션,0.0
90,큐렉소,4.545454545454546
91,큐로컴,8.064516129032258
92,크루셜텍,0.0
93,크리스에프앤씨,0.0
94,클리오,0.0
95,태광,0.0
96,테스,0.0
97,테크윙,0.0
98,토비스,0.0
99,톱텍,1.3513513513513513
100,티케이케미칼,5.555555555555555
101,팅크웨어,0.0
102,파트론,4.069767441860465
103,포스코아이씨티,0.0
104,포스코엠텍,0.0
105,폴라리스오피스,0.0
106,하나마이크론,2.1739130434782608
107,하이록코리아,0.0
108,한국정보통신,0.0
109,해성산업,10.0
110,홈캐스트,0.0
111,휴맥스,1.3157894736842104
