기업,부도기사 비율
KCW,48.57
글로웍스,12.33
금강제강,80.0
나노트로닉스,0.0
나이스메탈,12.99
네스테크,12.16
네오퍼플,1.15
네이쳐글로벌,2.7
네프로아이티,32.35
넥스지,1.85
넷웨이브,31.17
뉴젠아이씨티,12.37
대선조선,6.45
동양텔레콤,2.82
디아이디,4.0
디에스,3.12
디에이치패션,28.57
디패션,30.0
레이젠,8.33
렉스엘이앤지,43.75
마이스코,7.69
맥스브로,3.7
모린스,6.06
미리넷,1.89
미성포리테크,14.29
미주제강,2.56
보광티에스,20.55
블루젬디앤씨,11.36
비앤비성원,2.67
비엔씨컴퍼니,0.0
삼우이엠씨,9.09
세븐코스프,5.71
스톰이앤에프,14.63
스틸플라워,15.22
승화프리텍,29.85
쌍용건설,24.69
썬코어,19.3
씨그널엔터테인먼트그룹,3.95
씨모텍,79.27
씨엘인터내셔널,13.64
씨티앤티,13.64
씨티엘테크,33.33
아라온테크,32.61
아이디에스,11.39
아이스테이션,1.69
아이이,21.15
아이팩토리,34.69
아인스엠앤엠,17.95
아큐텍,14.77
알에스넷,7.14
알티전자,1.47
어울림네트웍스,13.64
어울림엘시스,25.0
어울림정보기술,16.22
에듀언스,6.49
에듀패스,7.27
에버테크노,42.86
에스브이에이치,27.78
에스비엠,44.66
에스에스씨피,0.0
에스에스컴텍,8.96
에스티씨라이프,27.63
에이스하이텍,15.52
에이원마이크로,14.06
에이프로테크놀로지,8.86
에코솔루션,0.0
에코페트로시스템,10.13
에피밸리,36.62
엔빅스,2.67
엔스퍼트,58.82
엔에스브이,24.24
엔케이바이오,8.96
엔하이테크,13.58
엘앤씨피,2.99
엘앤피아너스,17.91
엠엔에프씨,12.24
엠제이비,16.67
엠텍비젼,36.36
영진코퍼레이션,10.34
와이즈파워,50.7
우경,35.71
우성아이비,42.0
우양에이치씨,17.44
우전,0.0
울트라건설,0.0
위너지스,15.38
위노바,15.79
위다스,29.69
유니드코리아,20.59
유니텍전자,1.49
유아이에너지,27.03
유일엔시스,17.65
이디디컴퍼니,21.92
이룸지엔지,6.82
인스프리트,12.9
잘만테크,7.41
제너시스템즈,6.94
제이앤유글로벌,6.0
제이에이치코오스,40.0
제이콤,3.37
중앙디자인,5.17
지노시스템,3.03
지아이바이오,18.75
지앤디윈텍,9.86
지앤알,3.61
지앤에스티,29.73
지티앤티,42.86
케이엔씨글로벌,16.39
코썬바이오,40.91
코아에스앤아이,18.92
큐리어스,14.12
큐앤에스,21.43
클라스타,10.0
클루넷,1.37
태산엘시디,15.58
태창파로스,31.08
터보테크,36.67
테라리소스,28.42
트라이써클,14.29
트레이스,1.72
트루아워,36.59
티에스엠텍,5.63
평안물산,22.5
포휴먼,0.88
폴리플러스,12.5
프리젠,50.0
플렉스컴,3.66
피엘에이,12.68
한와이어리스,5.38
해피드림,14.06
핸디소프트,36.96
휴먼텍코리아,11.67
히스토스템,12.94
