,기업,부도기사비율
0,KCW,48.57142857142857
1,글로웍스,12.32876712328767
2,금강제강,80.0
3,나노트로닉스,0.0
4,나이스메탈,12.987012987012985
5,네스테크,12.162162162162163
6,네오퍼플,1.1494252873563218
7,네이쳐글로벌,2.7027027027027026
8,네프로아이티,32.35294117647059
9,넥스지,1.8518518518518516
10,넷웨이브,31.16883116883117
11,뉴젠아이씨티,12.371134020618557
12,대선조선,6.451612903225806
13,동양텔레콤,2.8169014084507045
14,디아이디,4.0
15,디에스,3.125
16,디에이치패션,28.57142857142857
17,디패션,30.0
18,레이젠,8.333333333333332
19,렉스엘이앤지,43.75
20,마이스코,7.6923076923076925
21,맥스브로,3.7037037037037033
22,모린스,6.0606060606060606
23,미리넷,1.8867924528301887
24,미성포리테크,14.285714285714285
25,미주제강,2.564102564102564
26,보광티에스,20.54794520547945
27,블루젬디앤씨,11.363636363636363
28,비앤비성원,2.666666666666667
29,비엔씨컴퍼니,0.0
30,삼우이엠씨,9.090909090909092
31,세븐코스프,5.714285714285714
32,스톰이앤에프,14.634146341463413
33,스틸플라워,15.217391304347828
34,승화프리텍,29.850746268656714
35,쌍용건설,24.691358024691358
36,썬코어,19.298245614035086
37,씨그널엔터테인먼트그룹,3.9473684210526314
38,씨모텍,79.26829268292683
39,씨엘인터내셔널,13.636363636363635
40,씨티앤티,13.636363636363635
41,씨티엘테크,33.33333333333333
42,아라온테크,32.608695652173914
43,아이디에스,11.39240506329114
44,아이스테이션,1.694915254237288
45,아이이,21.153846153846153
46,아이팩토리,34.69387755102041
47,아인스엠앤엠,17.94871794871795
48,아큐텍,14.772727272727273
49,알에스넷,7.142857142857142
50,알티전자,1.4705882352941175
51,어울림네트웍스,13.636363636363635
52,어울림엘시스,25.0
53,어울림정보기술,16.216216216216218
54,에듀언스,6.493506493506493
55,에듀패스,7.2727272727272725
56,에버테크노,42.857142857142854
57,에스브이에이치,27.77777777777778
58,에스비엠,44.66019417475729
59,에스에스씨피,0.0
60,에스에스컴텍,8.955223880597014
61,에스티씨라이프,27.631578947368425
62,에이스하이텍,15.517241379310345
63,에이원마이크로,14.0625
64,에이프로테크놀로지,8.860759493670885
65,에코솔루션,0.0
66,에코페트로시스템,10.126582278481013
67,에피밸리,36.61971830985916
68,엔빅스,2.666666666666667
69,엔스퍼트,58.82352941176471
70,엔에스브이,24.242424242424242
71,엔케이바이오,8.955223880597014
72,엔하이테크,13.580246913580247
73,엘앤씨피,2.9850746268656714
74,엘앤피아너스,17.91044776119403
75,엠엔에프씨,12.244897959183673
76,엠제이비,16.666666666666664
77,엠텍비젼,36.36363636363637
78,영진코퍼레이션,10.344827586206897
79,와이즈파워,50.70422535211267
80,우경,35.714285714285715
81,우성아이비,42.0
82,우양에이치씨,17.441860465116278
83,우전,0.0
84,울트라건설,0.0
85,위너지스,15.384615384615385
86,위노바,15.789473684210526
87,위다스,29.6875
88,유니드코리아,20.588235294117645
89,유니텍전자,1.4925373134328357
90,유아이에너지,27.027027027027028
91,유일엔시스,17.647058823529413
92,이디디컴퍼니,21.91780821917808
93,이룸지엔지,6.8181818181818175
94,인스프리트,12.903225806451612
95,잘만테크,7.4074074074074066
96,제너시스템즈,6.944444444444445
97,제이앤유글로벌,6.0
98,제이에이치코오스,40.0
99,제이콤,3.3707865168539324
100,중앙디자인,5.172413793103448
101,지노시스템,3.0303030303030303
102,지아이바이오,18.75
103,지앤디윈텍,9.859154929577464
104,지앤알,3.614457831325301
105,지앤에스티,29.72972972972973
106,지티앤티,42.857142857142854
107,케이엔씨글로벌,16.39344262295082
108,코썬바이오,40.909090909090914
109,코아에스앤아이,18.91891891891892
110,큐리어스,14.117647058823529
111,큐앤에스,21.428571428571427
112,클라스타,10.0
113,클루넷,1.36986301369863
114,태산엘시디,15.584415584415584
115,태창파로스,31.08108108108108
116,터보테크,36.666666666666664
117,테라리소스,28.421052631578945
118,트라이써클,14.285714285714285
119,트레이스,1.7241379310344827
120,트루아워,36.58536585365854
121,티에스엠텍,5.633802816901409
122,평안물산,22.5
123,포휴먼,0.8849557522123894
124,폴리플러스,12.5
125,프리젠,50.0
126,플렉스컴,3.6585365853658534
127,피엘에이,12.676056338028168
128,한와이어리스,5.376344086021505
129,해피드림,14.0625
130,핸디소프트,36.95652173913043
131,휴먼텍코리아,11.666666666666666
132,히스토스템,12.941176470588237
