,회사명,거래소코드,회계년도,자산(*)(연결),자산(*),영업이익(손실),영업이익(손실)(연결),부채(*)(연결),부채(*),자본(*)(연결),자본(*),매출액(영업수익)(*)(연결),매출액(영업수익)(*),유동자산(*)(연결),유동자산(*),유동부채(*)(연결),유동부채(*),이익잉여금(*)(연결),이익잉여금(*)
0,(주)금빛,45890,Dec-19,102849215.0,101724359.0,-16662557.0,-16108710.0,71819944.0,69529324.0,31029271.0,32195035.0,58651417.0,55240846.0,37338343.0,36969681.0,67374899.0,65704874.0,-48599083.0,-46175836.0
1,(주)맥스로텍,141070,Dec-19,,75565720.0,-8517556.0,,,47403677.0,,28162044.0,,37317298.0,,25561036.0,,31443527.0,,-15559160.0
2,(주)미래SCI,28040,Dec-19,54405331.0,48377378.0,-5016986.0,-5963842.0,37487787.0,31346640.0,16917544.0,17030738.0,14797966.0,14699802.0,35334261.0,34239363.0,35132509.0,31265971.0,-98090851.0,-97977656.0
3,(주)아이엠텍,226350,Dec-19,54274661.0,52827782.0,-2751188.0,-2908095.0,36964987.0,35692542.0,17309673.0,17135241.0,13844952.0,13844952.0,17252769.0,16680360.0,31581493.0,30314293.0,-44133875.0,-44418264.0
4,(주)에스제이케이,80440,Dec-19,55342770.0,59723547.0,-4582413.0,-5488223.0,42063072.0,44014927.0,13279698.0,15708619.0,4124848.0,3805177.0,6118787.0,4780922.0,34997580.0,37079024.0,-67908260.0,-65365491.0
5,(주)에이치디,102210,Dec-19,146820812.0,146820812.0,-2644956.0,-2765004.0,35041281.0,35041281.0,111779531.0,111779531.0,37778318.0,37778318.0,91396138.0,91396138.0,34771006.0,34771006.0,57799849.0,57799849.0
6,(주)에이팸,73070,Dec-19,119641377.0,117564448.0,-5199063.0,-8752612.0,74568505.0,66843491.0,45072872.0,50720957.0,50587576.0,47823695.0,51874990.0,42170962.0,70230341.0,65240812.0,-13573107.0,-7419341.0
7,(주)이매진아시아,36260,Dec-19,17924929.0,18295141.0,-3139370.0,-3779625.0,6009557.0,4980992.0,11915372.0,13314149.0,12690904.0,8023480.0,13259494.0,12176788.0,5507939.0,4498607.0,-97429709.0,-89261033.0
8,(주)이엠네트웍스,87730,Dec-19,58841584.0,57032067.0,-4804316.0,-8680191.0,53787729.0,51327331.0,5053855.0,5704736.0,12991455.0,13459066.0,39542414.0,35396323.0,47793783.0,46108635.0,-94146044.0,-90791657.0
9,(주)제낙스,65620,Dec-19,24780625.0,30175267.0,-6859726.0,-8745753.0,23301868.0,23283313.0,1478757.0,6891954.0,3600677.0,3600677.0,4383771.0,4322441.0,21747144.0,21728589.0,-99582602.0,-91612132.0
10,(주)지유온,111820,Dec-19,,25081604.0,-2286842.0,,,24749397.0,,332207.0,,4222230.0,,16946514.0,,10070576.0,,-71987484.0
11,(주)코너스톤네트웍스,33110,Dec-19,79716591.0,64021459.0,-6822717.0,-10888172.0,43119249.0,33051428.0,36597342.0,30970031.0,13584547.0,2288905.0,34576545.0,18579700.0,36174400.0,29051928.0,-127682589.0,-132178419.0
12,(주)팍스넷,38160,Dec-19,78950571.0,76132171.0,-13019238.0,-16158578.0,65723167.0,62516634.0,13227404.0,13615537.0,10679469.0,7858043.0,52112372.0,50583831.0,57704871.0,54532902.0,-12920536.0,-12339193.0
13,(주)퓨전,195440,Dec-19,55650352.0,53218724.0,-7289934.0,-10431975.0,24622106.0,21508872.0,31028245.0,31709852.0,16289844.0,8860761.0,25402931.0,17695859.0,23142764.0,20453365.0,-27355675.0,-26413873.0
14,(주)행남사,8800,Dec-19,44161246.0,44861059.0,-3213889.0,-4509218.0,13526747.0,12774027.0,30634499.0,32087032.0,7686833.0,6667941.0,13459055.0,13307261.0,12919194.0,12279608.0,-41652199.0,-40942073.0
15,(주)화신테크,86250,2019,55260144.0,,,-487104.0,34158747.0,,21101396.0,,25882527.0,,19533411.0,,,24056457.0,10843735.0,
16,디에스티(주),33430,Dec-19,54525328.0,54460349.0,-4144583.0,-4136384.0,50663913.0,50378294.0,3861415.0,4082055.0,20809840.0,20809840.0,23744885.0,23740763.0,49057521.0,48924805.0,-97151849.0,-96762371.0
17,럭슬(주),33600,2019,66144513.0,,,-5464507.0,51861727.0,,14282786.0,,19919733.0,,23064854.0,,,47003122.0,-5464507.0,
18,에스앤씨엔진그룹리미티드,900080,Dec-19,456216730.0,,,14591391.0,16398678.0,,439818052.0,,107613521.0,,237439158.0,,14307548.0,,318048121.0,
19,에이아이비트(주),39230,Dec-19,68044383.0,58338101.0,486589.0,3148083.0,17592045.0,9520808.0,50452338.0,48817294.0,37400538.0,8310047.0,51193573.0,32198534.0,17095517.0,9412846.0,-83514966.0,-83708842.0
