,단어조합,기사수 차이
0,"['상장폐지', '상폐', '재심사', '폐지']",1081
1,"['상장폐지', '상폐', '적격성', '폐지']",1118
2,"['상장폐지', '상폐', '날로', '폐지']",1063
3,"['상장폐지', '상폐', '이의신청', '폐지']",1092
4,"['상장폐지', '상폐', '현행', '폐지']",1083
5,"['상장폐지', '상폐', '거치', '폐지']",1080
6,"['상장폐지', '상폐', '존폐', '폐지']",1083
7,"['상장폐지', '상폐', '스탠다드펌', '폐지']",1083
8,"['상장폐지', '재심사', '적격성', '폐지']",1111
9,"['상장폐지', '재심사', '날로', '폐지']",1054
10,"['상장폐지', '재심사', '이의신청', '폐지']",1084
11,"['상장폐지', '재심사', '현행', '폐지']",1075
12,"['상장폐지', '재심사', '거치', '폐지']",1072
13,"['상장폐지', '재심사', '존폐', '폐지']",1075
14,"['상장폐지', '재심사', '스탠다드펌', '폐지']",1075
15,"['상장폐지', '적격성', '날로', '폐지']",1092
16,"['상장폐지', '적격성', '이의신청', '폐지']",1122
17,"['상장폐지', '적격성', '현행', '폐지']",1113
18,"['상장폐지', '적격성', '거치', '폐지']",1108
19,"['상장폐지', '적격성', '존폐', '폐지']",1112
20,"['상장폐지', '적격성', '스탠다드펌', '폐지']",1113
21,"['상장폐지', '날로', '이의신청', '폐지']",1065
22,"['상장폐지', '날로', '현행', '폐지']",1057
23,"['상장폐지', '날로', '거치', '폐지']",1054
24,"['상장폐지', '날로', '존폐', '폐지']",1056
25,"['상장폐지', '날로', '스탠다드펌', '폐지']",1056
26,"['상장폐지', '이의신청', '현행', '폐지']",1085
27,"['상장폐지', '이의신청', '거치', '폐지']",1083
28,"['상장폐지', '이의신청', '존폐', '폐지']",1086
29,"['상장폐지', '이의신청', '스탠다드펌', '폐지']",1086
30,"['상장폐지', '현행', '거치', '폐지']",1073
31,"['상장폐지', '현행', '존폐', '폐지']",1076
32,"['상장폐지', '현행', '스탠다드펌', '폐지']",1077
33,"['상장폐지', '거치', '존폐', '폐지']",1074
34,"['상장폐지', '거치', '스탠다드펌', '폐지']",1074
35,"['상장폐지', '존폐', '스탠다드펌', '폐지']",1077
36,"['상폐', '재심사', '적격성', '폐지']",1116
37,"['상폐', '재심사', '날로', '폐지']",1061
38,"['상폐', '재심사', '이의신청', '폐지']",1090
39,"['상폐', '재심사', '현행', '폐지']",1081
40,"['상폐', '재심사', '거치', '폐지']",1078
41,"['상폐', '재심사', '존폐', '폐지']",1081
42,"['상폐', '재심사', '스탠다드펌', '폐지']",1081
43,"['상폐', '적격성', '날로', '폐지']",1098
44,"['상폐', '적격성', '이의신청', '폐지']",1127
45,"['상폐', '적격성', '현행', '폐지']",1118
46,"['상폐', '적격성', '거치', '폐지']",1113
47,"['상폐', '적격성', '존폐', '폐지']",1117
48,"['상폐', '적격성', '스탠다드펌', '폐지']",1118
49,"['상폐', '날로', '이의신청', '폐지']",1072
50,"['상폐', '날로', '현행', '폐지']",1064
51,"['상폐', '날로', '거치', '폐지']",1061
52,"['상폐', '날로', '존폐', '폐지']",1063
53,"['상폐', '날로', '스탠다드펌', '폐지']",1063
54,"['상폐', '이의신청', '현행', '폐지']",1091
55,"['상폐', '이의신청', '거치', '폐지']",1089
56,"['상폐', '이의신청', '존폐', '폐지']",1092
57,"['상폐', '이의신청', '스탠다드펌', '폐지']",1092
58,"['상폐', '현행', '거치', '폐지']",1079
59,"['상폐', '현행', '존폐', '폐지']",1082
60,"['상폐', '현행', '스탠다드펌', '폐지']",1083
61,"['상폐', '거치', '존폐', '폐지']",1080
62,"['상폐', '거치', '스탠다드펌', '폐지']",1080
63,"['상폐', '존폐', '스탠다드펌', '폐지']",1083
64,"['재심사', '적격성', '날로', '폐지']",1090
65,"['재심사', '적격성', '이의신청', '폐지']",1120
66,"['재심사', '적격성', '현행', '폐지']",1111
67,"['재심사', '적격성', '거치', '폐지']",1106
68,"['재심사', '적격성', '존폐', '폐지']",1110
69,"['재심사', '적격성', '스탠다드펌', '폐지']",1111
70,"['재심사', '날로', '이의신청', '폐지']",1063
71,"['재심사', '날로', '현행', '폐지']",1055
72,"['재심사', '날로', '거치', '폐지']",1052
73,"['재심사', '날로', '존폐', '폐지']",1054
74,"['재심사', '날로', '스탠다드펌', '폐지']",1054
75,"['재심사', '이의신청', '현행', '폐지']",1083
76,"['재심사', '이의신청', '거치', '폐지']",1081
77,"['재심사', '이의신청', '존폐', '폐지']",1084
78,"['재심사', '이의신청', '스탠다드펌', '폐지']",1084
79,"['재심사', '현행', '거치', '폐지']",1071
80,"['재심사', '현행', '존폐', '폐지']",1074
81,"['재심사', '현행', '스탠다드펌', '폐지']",1075
82,"['재심사', '거치', '존폐', '폐지']",1072
83,"['재심사', '거치', '스탠다드펌', '폐지']",1072
84,"['재심사', '존폐', '스탠다드펌', '폐지']",1075
85,"['적격성', '날로', '이의신청', '폐지']",1101
86,"['적격성', '날로', '현행', '폐지']",1093
87,"['적격성', '날로', '거치', '폐지']",1088
88,"['적격성', '날로', '존폐', '폐지']",1091
89,"['적격성', '날로', '스탠다드펌', '폐지']",1092
90,"['적격성', '이의신청', '현행', '폐지']",1121
91,"['적격성', '이의신청', '거치', '폐지']",1117
92,"['적격성', '이의신청', '존폐', '폐지']",1121
93,"['적격성', '이의신청', '스탠다드펌', '폐지']",1122
94,"['적격성', '현행', '거치', '폐지']",1107
95,"['적격성', '현행', '존폐', '폐지']",1112
96,"['적격성', '현행', '스탠다드펌', '폐지']",1113
97,"['적격성', '거치', '존폐', '폐지']",1107
98,"['적격성', '거치', '스탠다드펌', '폐지']",1108
99,"['적격성', '존폐', '스탠다드펌', '폐지']",1112
100,"['날로', '이의신청', '현행', '폐지']",1065
101,"['날로', '이의신청', '거치', '폐지']",1063
102,"['날로', '이의신청', '존폐', '폐지']",1065
103,"['날로', '이의신청', '스탠다드펌', '폐지']",1065
104,"['날로', '현행', '거치', '폐지']",1054
105,"['날로', '현행', '존폐', '폐지']",1056
106,"['날로', '현행', '스탠다드펌', '폐지']",1057
107,"['날로', '거치', '존폐', '폐지']",1054
108,"['날로', '거치', '스탠다드펌', '폐지']",1054
109,"['날로', '존폐', '스탠다드펌', '폐지']",1056
110,"['이의신청', '현행', '거치', '폐지']",1081
111,"['이의신청', '현행', '존폐', '폐지']",1084
112,"['이의신청', '현행', '스탠다드펌', '폐지']",1085
113,"['이의신청', '거치', '존폐', '폐지']",1083
114,"['이의신청', '거치', '스탠다드펌', '폐지']",1083
115,"['이의신청', '존폐', '스탠다드펌', '폐지']",1086
116,"['현행', '거치', '존폐', '폐지']",1072
117,"['현행', '거치', '스탠다드펌', '폐지']",1073
118,"['현행', '존폐', '스탠다드펌', '폐지']",1076
119,"['거치', '존폐', '스탠다드펌', '폐지']",1074
