,기업,부도기사비율
0,KCW,45.714285714285715
1,글로웍스,20.54794520547945
2,금강제강,80.0
3,나노트로닉스,11.538461538461538
4,나이스메탈,18.181818181818183
5,네스테크,27.027027027027028
6,네오퍼플,21.839080459770116
7,네이쳐글로벌,10.81081081081081
8,네프로아이티,46.07843137254902
9,넥스지,9.25925925925926
10,넷웨이브,40.25974025974026
11,뉴젠아이씨티,34.02061855670103
12,대선조선,12.903225806451612
13,동양텔레콤,11.267605633802818
14,디아이디,26.666666666666668
15,디에스,21.875
16,디에이치패션,35.714285714285715
17,디패션,35.0
18,레이젠,13.333333333333334
19,렉스엘이앤지,43.75
20,마이스코,23.076923076923077
21,맥스브로,13.580246913580247
22,모린스,10.606060606060606
23,미리넷,28.30188679245283
24,미성포리테크,23.214285714285715
25,미주제강,20.51282051282051
26,보광티에스,32.87671232876712
27,블루젬디앤씨,21.59090909090909
28,비앤비성원,13.333333333333334
29,비엔씨컴퍼니,0.0
30,삼우이엠씨,15.584415584415584
31,세븐코스프,12.857142857142856
32,스톰이앤에프,36.58536585365854
33,스틸플라워,15.217391304347828
34,승화프리텍,38.80597014925373
35,쌍용건설,43.20987654320987
36,썬코어,28.07017543859649
37,씨그널엔터테인먼트그룹,11.842105263157894
38,씨모텍,87.8048780487805
39,씨엘인터내셔널,18.181818181818183
40,씨티앤티,27.27272727272727
41,씨티엘테크,33.33333333333333
42,아라온테크,32.608695652173914
43,아이디에스,29.11392405063291
44,아이스테이션,10.16949152542373
45,아이이,26.923076923076923
46,아이팩토리,38.775510204081634
47,아인스엠앤엠,33.33333333333333
48,아큐텍,21.59090909090909
49,알에스넷,9.523809523809524
50,알티전자,17.647058823529413
51,어울림네트웍스,28.78787878787879
52,어울림엘시스,32.69230769230769
53,어울림정보기술,24.324324324324326
54,에듀언스,11.688311688311687
55,에듀패스,10.909090909090908
56,에버테크노,58.57142857142858
57,에스브이에이치,33.33333333333333
58,에스비엠,53.398058252427184
59,에스에스씨피,0.0
60,에스에스컴텍,20.8955223880597
61,에스티씨라이프,30.263157894736842
62,에이스하이텍,18.96551724137931
63,에이원마이크로,23.4375
64,에이프로테크놀로지,24.050632911392405
65,에코솔루션,11.827956989247312
66,에코페트로시스템,20.253164556962027
67,에피밸리,42.25352112676056
68,엔빅스,6.666666666666667
69,엔스퍼트,64.70588235294117
70,엔에스브이,34.84848484848485
71,엔케이바이오,17.91044776119403
72,엔하이테크,23.456790123456788
73,엘앤씨피,16.417910447761194
74,엘앤피아너스,19.402985074626866
75,엠엔에프씨,18.367346938775512
76,엠제이비,34.72222222222222
77,엠텍비젼,40.909090909090914
78,영진코퍼레이션,22.413793103448278
79,와이즈파워,52.112676056338024
80,우경,50.0
81,우성아이비,56.00000000000001
82,우양에이치씨,20.930232558139537
83,우전,0.0
84,울트라건설,14.285714285714285
85,위너지스,23.076923076923077
86,위노바,21.052631578947366
87,위다스,37.5
88,유니드코리아,36.76470588235294
89,유니텍전자,16.417910447761194
90,유아이에너지,39.189189189189186
91,유일엔시스,26.47058823529412
92,이디디컴퍼니,34.24657534246575
93,이룸지엔지,19.318181818181817
94,인스프리트,29.03225806451613
95,잘만테크,22.22222222222222
96,제너시스템즈,19.444444444444446
97,제이앤유글로벌,16.0
98,제이에이치코오스,40.0
99,제이콤,22.47191011235955
100,중앙디자인,12.068965517241379
101,지노시스템,21.21212121212121
102,지아이바이오,29.6875
103,지앤디윈텍,18.30985915492958
104,지앤알,13.253012048192772
105,지앤에스티,32.432432432432435
106,지티앤티,42.857142857142854
107,케이엔씨글로벌,22.950819672131146
108,코썬바이오,31.818181818181817
109,코아에스앤아이,33.78378378378378
110,큐리어스,24.705882352941178
111,큐앤에스,23.809523809523807
112,클라스타,16.666666666666664
113,클루넷,5.47945205479452
114,태산엘시디,20.77922077922078
115,태창파로스,27.027027027027028
116,터보테크,36.666666666666664
117,테라리소스,26.31578947368421
118,트라이써클,30.612244897959183
119,트레이스,5.172413793103448
120,트루아워,39.02439024390244
121,티에스엠텍,12.676056338028168
122,평안물산,42.5
123,포휴먼,14.15929203539823
124,폴리플러스,18.055555555555554
125,프리젠,50.0
126,플렉스컴,26.82926829268293
127,피엘에이,16.901408450704224
128,한와이어리스,8.60215053763441
129,해피드림,25.0
130,핸디소프트,36.95652173913043
131,휴먼텍코리아,16.666666666666664
132,히스토스템,21.176470588235293
