,기업,기사발행일,기사제목,뉴스기사본문전처리,기사본문번역
0,(주)천보,2020.12.17. 오전 9:55,[특징주] '2차전지 관련주' 천보 상승세… 6%↑,사진천보천보가 장 초반 상승세다.일 오전 시분 기준 천보는 전 거래일 대비 . 오른 만원에 거래되고 있다.천보는 차전지의 수명과 성능에 영향을 미치는 특수 전해질을 생산한다. 이에 차전지 관련 종목으로 편입됐다.김신혜 기자 ..뜨거운 증시 오늘의 특징주는 거품 뺀 솔직 시승기머니 네이버 메인에서 보세요저작권자  성공을 꿈꾸는 사람들의 경제 뉴스 머니 무단전재 및 재배포 금지,"Photo Cheonbocheonbo is on the rise in early trading.Cheonbo as of Sunday morning compared to the previous trading day. It is trading at 10,000 won.Cheonbo produces a special electrolyte that affects the life and performance of the secondary battery. As a result, it has been incorporated into secondary battery-related stocks.Reporter Kim Shinhye...The hot stock market. You can see it on Naver's main pageEconomic news money unauthorized reproduction and redistribution of copyright holders dreaming of success"
1,(주)천보,2020.09.21. 오전 9:31,"[특징주] 천보, 증권가 장밋빛 전망 속 52주 신고가 경신", 전해질 생산업체 천보가 증권가 애널리스트들의 긍정적인 전망 속에 일 주 신고가를 경신했다.한국거래소에 따르면 천보는 이날 시 분 현재 전 거래일 대비 만 원 상승한 만원에 거래되고 있다. 천보는 이날 장 초반 만 원까지 올라 주 신고가인 만 원을 경신했다.천보는 올 들어 전기차 배터리 시장의 핵심 수혜주로 꼽히며 증권가의 주목을 받아왔다. 여기다 최근 정부가 한국판 뉴딜 정책 추진을 발표하며 뉴딜 수혜주로도 각광 받았다. 특히 최근 생산시설 증설 계획을 발표하며 증권가 애널리스트들의 매수 리포트가 잇따라 발행됐다. 오강호 신한금융투자 연구원은 생산능력 증설로 성장 스토리가 이어질 것이라며 매년 매출액이 큰 폭으로 증가하리라고 분석했다. 김광진 유안타증권 연구원 역시 천보는 현재 연간 톤 수준의 생산능력을 내년 톤 년 말까지 만톤으로 확대할 계획이라며 공격적 증설 계획과 함께 매출은 올해 억원 내년 억원 년 억원으로 급성장할 것이라고 전망했다.김경미기자 . 그 날 무슨일이 있었던걸까  네이버 채널에서 서울경제 구독해주세요저작권자  서울경제 무단 전재 및 재배포 금지,"Electrolyte producer Cheonbo broke a new high a week amid positive outlooks from stock market analysts.According to the Korea Exchange, Cheonbo was trading at 10,000 won as of the day, up 10,000 won from the previous trading day. Cheonbo rose to 10,000 won at the beginning of the day, breaking its main high of 10,000 won.Cheonbo is considered a key beneficiary of the electric vehicle battery market this year, drawing attention from stock markets. On top of that, the government recently announced the promotion of the Korean version of the New Deal policy and was in the spotlight as a beneficiary of the New Deal. In particular, stock market analysts' purchase reports have been issued one after another recently announced plans to expand production facilities. Oh Kang-ho, a researcher at Shinhan Financial Investment, analyzed that sales will increase significantly every year, saying, ""The growth story will continue due to the expansion of production capacity."" Kim Kwang-jin, a researcher at Yuanta Securities, also said, ""Cheonbo plans to expand its annual production capacity to 10,000 tons by the end of next year,"" and predicted that sales will grow rapidly from 100 million won this year to 100 million won next year.Reporter Kim Kyungmi. Please subscribe to Seoul Economy on Naver channelProhibition of unauthorized reproduction and redistribution of the Seoul economy by copyright holders"
2,(주)천보,2020.09.21. 오전 10:56,"[TF특징주] 2차전지 관련주 '천보', 성장 기대감에 강세",일 오전 시 분 현재 천보는 전일대비 만원 오른 만원에 거래 중이다. 천보는 한때 장중 만원까지 올라 주 신고가를 새로 쓰기도 했다. 더팩트 천보 . 오른 만원에 거래 중 세계 최초로 전해액 첨가제인 리튬이온전해질 생산에 성공한 회사 천보가 오전 중 상승하고 있다.일 오전 시 분 현재 천보는 전일대비 만원 오른 만원에 거래 중이다. 천보는 이날 장중 만원까지 올라 주 신고가를 경신하기도 했다.이날 적극적인 투자를 통해 생산능력이 확대되면 성장이 기대된다는 증권가 예상이 이어지자 천보가 상승을 이어가다가 장중 주 신고가까지 도달했다.천보는 차 전지에 사용되는 전해액 구성물질 생산 업체인 만큼 차전지 시장 부각과 함께 성장이 기대되는 업체로 꼽힌다.오강호 신한금융투자 연구원은 천보가 생산하는 전해질은 지난해 톤을 넘어 올해 톤 내년 톤까지 증설 예정이라며 는 범용화 제품으로서 수명향상과 충전 시간 단축에 효과적이다고 설명했다. 또한 고출력 배터리에 사용되는 전해질에 대해서도 완성차 업체 사용이 가능한 만큼 내년 톤까지 생산 능력을 확대할 예정이라고 말했다.오 연구원은 또한 공격적인 증설 전해액 첨가제 부문 독보적인 기술력이 돋보인다며 분기가 저점으로 실적 반등이 확실하다고 전망했다...  티켓 얻는 방법  내 아이돌 응원하기 저작권자  특종에 강한 더팩트  .. 무단 전재 및 재배포 금지,"As of Sunday morning, Cheonbo is trading at 10,000 won, up 10,000 won from the previous day. Cheonbo once rose to 10,000 won during the day, writing a new main new price. The Fact Cheonbo. Cheonbo, a company that succeeded in producing lithium-ion electrolytes, the world's first electrolyte additive, during the trading at 10,000 won, is rising in the morning.As of Sunday morning, Cheonbo is trading at 10,000 won, up 10,000 won from the previous day. Cheonbo rose to 10,000 won during the day, breaking its weekly high.On the same day, Cheonbo continued to rise and reached a high stock price during the day as stock market expectations continued that growth would be expected if production capacity was expanded through active investment.As Cheonbo is a manufacturer of electrolyte components used in secondary batteries, it is considered a company that is expected to grow along with the emergence of secondary battery markets.Oh Kang-ho, a researcher at Shinhan Financial Investment, said, ""The electrolyte produced by Cheonbo will be expanded beyond last year's tons to next year's tons,"" adding, ""It is a general-purpose product that is effective in improving life and shortening charging time."" Also, regarding electrolytes used in high-power batteries, the company said it will expand its production capacity to tons next year as it can be used by automakers.Researcher Oh also predicted that the performance rebound is certain due to the low quarter, saying that the unrivaled technology in the aggressive expansion electrolyte additive sector stands out. How to get a ticket. Cheer for my idol. The fact that's strong against copyright issues. Reserved.The."
3,(주)천보,2020.09.21. 오전 9:43,"[특징주] 천보, 투자 확대에 11% 급등",천보 로고천보가 투자 확대로 성장이 기대되면서 급등했다.천보는 일 오전 시 분 기준 전거래일 대비 .올라 만원으로 거래되고 있다.천보는 공격적으로 생산를 증설하고 전해액 첨가제 부문에서 독보적인 기술력을 확보했다고 밝혔다. 생산란 각 사업장마다 년에 생산할 수 있는 생산능력을 의미한다. 또 차전지의 수명 및 성능 향상에 효과적인 전해액 첨가제도 세계 최대 품목을 보유 중인 것으로 알려졌다. 천보는 차전지 시장 패러다임 변화에 따라 신제품 개발을 병행하고 있다.천보는 전해질을 증설할 예정으로 이로 인해 매출액이 년 억원에서 년 억원으로 증가할 것으로 예상했다. 특히 전문가들은 전해질은 범용화 제품으로써 수명 향상과 충전 시간 단축에 효과적이라고 밝혔다. 이어 전해질은 고출력 배터리에 사용되며 낮은 온도에서 방전 억제에 효과적이라는 사실 때문에 앞으로 완성차 업체에서의 사용이 기대되고 있다고 언급했다. 천보는 전해질의 생산능력을 내년 톤까지 확대할 예정이다.천보는 화학 물질 및 제품 제조업체로 디스플레이 소재 반도체 공정소재 차전지소재 의약품 중간체 및 정밀화학의 사업분야를 영위하고 있다. 식각액 첨가제인 아미노테트라졸은 국내 점유율 위 세계 점유율 위를 기록하고 있다.서지민 기자 ..고수들의 재테크 비법 영상거품 뺀 솔직 시승기 머니기사 네이버 메인에서 보세요저작권자  성공을 꿈꾸는 사람들의 경제 뉴스 머니 무단전재 및 재배포 금지,"Cheonbo Logo Cheonbo surged as it was expected to grow due to increased investment.Cheonbo is trading at .ola 10,000 won compared to the previous trading day as of Sunday morning.Cheonbo announced that it aggressively expanded production and secured unrivaled technology in the electrolyte additive sector. Production means the production capacity that can be produced per year for each business establishment. In addition, electrolyte additive agents that are effective in improving the life and performance of secondary batteries are known to have the world's largest items. Cheonbo is developing new products in line with changes in the paradigm of the secondary battery market.Cheonbo expects sales to rise from 100 million won a year to 100 million won a year as it plans to expand electrolytes. In particular, experts said that electrolytes are a general-purpose product and are effective in improving life and shortening charging time. He then mentioned that the electrolyte is used in high-power batteries and is effective in suppressing discharge at low temperatures, so it is expected to be used in automakers in the future. Cheonbo plans to expand its electrolyte production capacity to tons next year.Cheonbo is a chemical and product manufacturer and runs a business in display materials, semiconductor process materials, secondary battery materials, pharmaceutical intermediates, and precision chemicals. Aminotetrazole, an etchant additive, ranks first in the global market share in Korea.Reporter Seo Jimin...Watch the video clip of the master's financial techniques on Naver's main pageEconomic news money unauthorized reproduction and redistribution of copyright holders dreaming of success"
4,(주)천보,2020.08.28. 오전 9:47,"[특징주]천보, 52주 신고가…배터리 수요 증가 기대", 천보가 주 신고가를 경신했다. 배터리 수요 증가에 하반기 호실적이 기대된다는 증권사 분석이 긍정적 영향을 미치는 것으로 풀이된다.일 마켓포인트에 따르면 천보는 오전 시 분 현재 전 거래일보다 . 오른 만원에 거래되고 있다. 장중 만원까지 치솟아 주 신고가를 갈아치웠다.오강호 신한금융투자 연구원은 천보의 분기 매출액은 억원으로 전년 동기 대비 증가하고 영업이익은 억원으로 같은 기간  늘어날 것이라며 고객사 수요 회복으로 실적 반등이 예상된다고 설명했다.오 연구원은 분기 배터리 매출액이 억원으로 지난해 같은 때보다  증가할 것으로 기대된다며 제품별로는 분기부터   전해질 증설 완료로 가동을 시작했다. 영업이익률은 .로 전년 동기 대비 .포인트 늘어날 것이라고 예상했다.특히 그는 차전지 중소형 업체의 밸류에이션 상승 구간 하반기 전자소재 부문 수익성 회복 기대 등으로 천보는 분기 실적 저점 이후 반등이 확실하다고 강조했다.박정수  시간 빠른 미리보는 뉴스  네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지,"Cheonbo broke the state high. Securities firms' analysis that positive performance is expected in the second half of the year due to increased battery demand seems to have a positive effect.According to Japan Market Point, Cheonbo was trading at the previous trading day as of AM. It is trading at 10,000 won. It soared to 10,000 won during the day, breaking the state's high price.Oh Kang-ho, a researcher at Shinhan Financial Investment, said, ""Cheonbo's quarterly sales will increase year-on-year to 100 million won and operating profit will increase to 100 million won over the same period.""Researcher Oh said that quarterly battery sales are expected to increase from the same period last year with KRW 100 million, and started operating by completing electrolyte expansion in the quarter. The operating profit ratio is . compared to the same period last year.It is expected that points will increase.In particular, he stressed that Cheonbo is certain to rebound after its quarterly low performance due to expectations for a recovery in profitability in the electronic materials sector in the second half of the second half of the value increase section of small and medium-sized secondary battery companies.PARK JEONG SU's time is fast. Check out E-Daily News on NAVER Young People's Snap Time Comprehensive Economic Information Media E-Daily Prohibition of Unauthorized Redistribution of Unauthorized Redistribution"
5,(주)천보,2020.07.31. 오전 9:42,"[특징주] 천보, 설비 투자 계획 발표에 10%↑",사진천보천보가 대규모 생산능력 증설 공시에 장 초반 상승세다.일 천보는 전 거래일보다  상승한 만원에 거래되고 있다.앞서 일 천보는 대규모 설비 투자 계획을 공시했다. 년까지 총 억원을 투자해 차 전지 관련 제품의 생산능력을 기존 대비 배 이상 수준인 까지 추가 확대한다는 내용이다.증권가는 천보의 설비 투자 계획을 긍정적으로 보고 있다. 이번 투자 계획과 관련해 김정환 한국투자증권 연구원은 향후 생산능력 증가 속도가 소재 업체 중 가장 빠르지만 계획이 비현실적이지 않은 이유는 천보가 다른 차전지 소재 업체와 달리 다수의 제품을 다수의 고객사에 공급하는 동시에 전기차용 차전지 시장이 빠르게 커지고 있기 때문이다고 분석했다.윤경진 기자 .. 고수들의 재테크 비법 영상거품 뺀 솔직 시승기  코로나 속보저작권자  성공을 꿈꾸는 사람들의 경제 뉴스 머니 무단전재 및 재배포 금지,"Photo Cheonbocheonbo is on the rise in the early stages of the market due to the announcement of large-scale production capacity expansion.Ilcheonbo is trading at 10,000 won, up from the previous trading day.Earlier, Ilcheonbo announced a plan to invest in large-scale facilities. By investing a total of 100 million won by next year, the company is planning to further expand its production capacity of secondary battery-related products to more than twice the level of previous ones.The stock market is positive about Cheonbo's facility investment plan. Kim Jung-hwan, a researcher at Korea Investment & Securities, said, ""The reason why Cheonbo is not unrealistic is that it supplies many products to many customers, unlike other secondary battery companies, and the market for electric vehicles is growing rapidly.""Reporter Yoon Kyungjin... Master's tips on financial technology Video Without Bubbles, honest test-rider COVID-19 breaking news copyright holders' economic news money unauthorized reproduction and redistribution of money"
6,(주)천보,2020.07.30. 오후 5:42,"[특징주] 천보, 전기차용 배터리 시설 투자 공시에 12%↑ 마감",사진천보천보가 부진한 실적에도 시설 투자 공시가 호재로 작용해 급등 마감했다.일 천보는 전 거래일보다 . 상승한 만원에 장을 마감했다.천보는 연결 기준 올해 분기 영업이익이 억원으로 작년 같은 기간보다  감소했다고 이날 발표했다. 매출은 억원으로 작년 같은 기간보다 . 증가했고 순이익은 억원으로  감소했다.천보는 전기자동차 배터리용 전해액 첨가제 공급 물량 확대를 위한 시설 투자를 한다고 공시했다. 차 투자와 차 투자를 종합해 총 억원 규모로 공사예정 기간은 올해 월부터 년 월까지다.윤경진 기자 .. 고수들의 재테크 비법 영상거품 뺀 솔직 시승기  코로나 속보저작권자  성공을 꿈꾸는 사람들의 경제 뉴스 머니 무단전재 및 재배포 금지,"Despite the sluggish performance of Photo Cheonbo, the disclosure of facility investment closed sharply.The daily report was compared to the previous trading day. The market closed higher at 10,000 won.Cheonbo announced on the same day that its consolidated operating profit for the quarter of this year was 100 million won, down from the same period last year. Sales rose to 100 million won from the same period last year, and net profit fell to 100 million won.Cheonbo announced that it will invest in facilities to expand supply of electrolyte additives for electric vehicle batteries. The total amount of car investment and car investment is 100 million won, and the scheduled construction period is from this month to this year.Reporter Yoon Kyungjin... Master's tips on financial technology Video Without Bubbles, honest test-rider COVID-19 breaking news copyright holders' economic news money unauthorized reproduction and redistribution of money"
7,(주)천보,2020.05.30. 오전 8:01,"'사상 최고가' 천보, 전기차 모멘텀 타고 '훨훨'",글로벌 경기 둔화에도 전기차주 상승세. 천보 상장 후 최고가 경신 코스닥 배터리 소재주 천보가 전기차 모멘텀에 힘입어 상장 후 사상 최고가을 경신했다. 시가총액은 억원을 넘어서며 증시 입성 년개월여만에 상위 기업에 이름을 올렸다.일 한국거래소에 따르면 천보의 주가는 지난 일 장중 만원까지 거래되며 사상 최고가를 경신했다. 지난 월 중순 저점 대비 상승률은 에 달한다.전일 종가 기준 주가는 만원으로 소폭 하락했지만 수급은 양호하다. 개인은 지난 일부터 천보의 주식을 거래일 연속 억원 넘게 사들였다. 외국인 투자자는 일 하루에만 약 억원의 매수 우위를 보였고 전날에도 억원을 추가 매입했다.신종 코로나바이러스 감염증 확산으로 인한 글로벌 경기 둔화에도 중국 미국 등에서 경제 재개 움직임이 나오며 전기차 시장에 기대감이 나오고 있다. 테슬라의 경우 중국 판매량이 판가 인하 이후 강하게 올라올 것으로 예상된다. 유럽에서도 올해 여름  출고 등으로 전기차 판매량이 빠르게 증가할 전망이다.천보의 차세대 전해질 첨가제는 기술적 진입 장벽이 높은 고부가가치 제품으로 알려져 있다. 천보의 제품이 배터리 에너지 밀도를 높이기 위해 양극재나 음극재를 바꿀 때 나타나는 수명 저하 등의 문제를 보완해 주기 때문이다.박연주 미래에셋대우 연구원은 전기차 시장의 성장이 빨라지고 테슬라가 기술 혁신을 서두르면서 산업 전반적으로 배터리 기술 발전이 빨라지고 있다며 이 과정에서 배터리 가격은 예상보다 빠르게 하락할 것으로 예상되고 전기차의 시장 침투 속도는 년경부터 급격히 확대될 것이라고 전망했다.천보의 실적 성장세도 상승 요인으로 지목된다. 에프앤가이드에 따르면 천보의 올해 분기 연결기준 예상 영업이익은 억원으로 전년동기 대비 . 상승할 전망이다. 같은 기간 매출액은 억원을 . 증가할 것으로 예상됐다. 연간 기준으로 보면 천보의 올해 매출액과 영업이익은 억원 억원으로 전년 대비 각각 . . 증가할 전망이다.한병화 유진투자증권 연구원은 천보의 분기 배터리 전해액 첨가제 매출액은 억원으로 전년 동기 억원 대비  증가했다며 분기 코로나 영향으로 고객사들의 발주가 주춤하겠지만 하반기부터는 글로벌 전기차 생산의 고성장이 재개되면서 배터리 소재 매출이 큰 폭으로 성장할 것이라고 내다봤다.. 최두선 기자 헉 소리나는 스토리 뉴스  아는 척하고 싶은 당신을 위한  저작권자  파이낸셜뉴스. 무단 전재재배포 금지,"Electric vehicle stocks are on the rise despite the global economic slowdown. Cheonbo, a KOSDAQ battery material stock, hit a new record high in the fall after listing thanks to the electric vehicle momentum. Its market capitalization exceeded 100 million won and was listed as a top company in about a month after entering the stock market.According to the Korea Exchange, Cheonbo's stock price hit a record high, trading up to 10,000 won during the day. The rate of increase compared to the low point in the middle of last month reached .Stock prices fell slightly to 10,000 won at the closing price of the previous day, but supply and demand are good. Individuals have bought more than 100 million won in shares of Cheonbo for a consecutive trading day since the past. Foreign investors had a buying advantage of about 100 million won per day and bought an additional 100 million won on the previous day.Despite the global economic slowdown caused by the spread of the novel coronavirus infection disease, there have been moves to resume the economy in China and the United States, raising expectations in the electric vehicle market. In the case of Tesla, Chinese sales are expected to rise strongly after the price cut. In Europe, sales of electric vehicles are also expected to increase rapidly due to shipments this summer.Cheonbo's next-generation electrolyte additive is known as a high-value-added product with high technical barriers to entry. This is because Cheonbo's product compensates for problems such as a decrease in life that occurs when a cathode material or an anode material is changed to increase the energy density of a battery.Park Yeon-joo, a researcher at Mirae Asset Daewoo, said, ""As the electric vehicle market is growing faster and Tesla is in a hurry to innovate, battery technology is expected to fall faster than expected.""Cheonbo's performance growth is also cited as a factor in the rise. According to FnGuide, Cheonbo's expected operating profit for this quarter is expected to rise from a year earlier to 100 million won. Sales were expected to increase by 100 million won during the same period. On an annual basis, Cheonbo's sales and operating profit are expected to increase to KRW 100 million this year, respectively, compared to the previous year.Han Byung-hwa, a researcher at Eugene Investment & Securities, said, ""Cheonbo's quarterly sales of battery electrolyte additives are expected to rise sharply due to COVID-19, although customers' orders will slow down in the second half of the year."" Choi Doo-sun, a reporter, gasping story news. For those who want to pretend to know, copyright holder Financial News. No unauthorized re-distribution"
8,(주)천보,2020.11.06. 오전 9:19,美 대선 승리 임박한 바이든…2차전지株도 연일 '강세', 일 서울 용산구 서울역에서 시민들이 미국 대선 관련 뉴스를 시청하고 있다. 사진뉴시스조 바이든 후보의 미국 대통령 당선이 확실시되면서 국내 차전지 관련주도 연일 상승세다. 친환경 육성을 내세운 바이든 후보가 당선될 경우 수혜를 볼 수 있다는 기대감이 몰린 것으로 해석된다.일 오전 시분 현재 화학은 전날보다 . 오른 만원에 거래되고 있다. 전날에 이어 이틀 연속 상승세다. 종가 기준으로 월 일 이후 처음으로 만원선에 올라섰다.삼성와 이노베이션도 각각 . . 오른 만원과 만원에 거래되고 있다. 두 종목 역시 전날에도 각각 . . 올랐다.그동안 바이든 후보가 당선되면 친환경 산업 기대감을 바탕으로 차전지 관련 기업이 수혜를 입을 것이라는 전망이 나왔다. 일부 지역에서 개표가 지연되고 있지만 바이든 후보가 트럼프 대통령을 꺾은 것으로 전망되면서 세 종목이 상승세를 타고 있다.같은 시간 차전지 관련주인 천보 . 포스코케미칼 . 등도 함께 오르고 있다바이든 후보는 미시간과 위스콘신 주에서 사실상 역전승을 거두며 총 명의 선거인단을 확보했다. 매직넘버인 명까지 불과 명만을 남겨뒀다.김영상 기자 ..부동산 투자는 조 변호사의 가정상담소줄리아 투자노트저작권자  돈이 보이는 리얼타임 뉴스 머니투데이 무단전재 및 재배포 금지,"Citizens are watching news related to the U.S. presidential election at Seoul Station in Yongsan-gu, Japan. South Korean secondary battery-related stocks are also on the rise day after day as Biden, a candidate for Photo Newsis, is certain to win the U.S. presidential election. It is interpreted that there is a high expectation that Biden, who is promoting eco-friendly development, will benefit if he is elected.Chemistry as of Sunday morning was higher than the previous day. It is trading at 10,000 won. It has been on the rise for two consecutive days following the previous day. Based on the closing price, it rose to the full range for the first time since Monday.Samsung and Innovation are also trading at 10,000 won and 10,000 won, respectively. The two stocks also rose on the previous day.In the meantime, if Biden is elected, companies related to secondary batteries will benefit based on expectations for the eco-friendly industry. Although counting is being delayed in some areas, the three stocks are on the rise as Biden is expected to beat President Trump.Cheonbo, the owner of the same time battery. POSCO Chemical is also on the riseBiden actually came from behind to win in Michigan and Wisconsin, securing an all-time electorate. Only a few people were left until the magic number.Reporter Kim Young-sang...Real estate investment is prohibited in real-time news money today without permission and redistribution of real-time news money where the copyright holder's money is visible"
9,(주)천보,2020.08.31. 오전 6:57,[김대성의 종목분석] 주가가 올들어 2배 이상 오른 종목들을 살펴보면?,코로나 수혜주와 차전지 관련주의 주가 상승률 두드러져씨젠 주가 상승률 로 위차전지 관련주 종목 달해월 일 현재 시가총액 상위 순. 자료한국거래소코로나로 전례 없던 타격을 받은 올해 주식시장에는 주가가 크게 떨어진 종목도 있지만 연초보다 주가가 배 이상 급등한 종목도 눈에 띄고 있습니다.올해 주식시장은 연초인 월 일 .에서 월 일에는 연중 최저가인 .까지 . 급락했습니다. 그후 자형 급등 모습을 보이며 월 일에는 .으로 연초보다 . 상승해 있는 상태입니다.조세일보가 상장된 시가총액 상위 종목들의 일 종가를 기준으로 주가 상승률을 조사한 결과 개 종목의 평균 상승률은 .에 달하는 것으로 나타났습니다.코로나 진단키트 제조업체인 씨젠과 바이오기업인 알테오젠의 높은 주가 상승률이 평균 주가 상승률을 끌어올린 것으로 풀이됩니다.이들 기업들의 주가 상승률은 삼성전자의 주가가 연초인 월 일 만원에서 일 만원으로 . 오른 것과 비교하면 코로나를 전화위복으로 삼아 주가가 크게 오른 셈입니다.올들어 주가가 배 이상 급등한 시가총액 상위 기업 가운데 화학은 주가가 연초인 월 일 만원에서 일 만원으로 . 상승했습니다. 차전지 관련주이며 실적 호조로 투자자들의 관심을 끈 것으로 보입니다.카카오는 주가가 연초인 월 일 만원에서 일 만원으로 . 급등했습니다. 언택트 관련주로 주가가 뛰어 올랐고 카카오게임즈의  등이 호재로 작용한 것으로 보입니다.삼성도 차전지 관련주로 분류되면서 주가가 배 넘게 올랐습니다. 삼성의 일 주가는 만원으로 연초보다 . 오른 수준입니다.씨젠의 최근 년여간 주가 변동 추이. 캡처키움증권코로나 진단키트 제조업체인 씨젠은 올들어 가장 높은 주가 상승률을 나타냈습니다. 씨젠의 주가는 일 만원으로 연초인 만원보다 . 급증해 시가총액 상위기업으로 상승률 위를 기록했습니다.씨젠의 시가총액 또한 큰 폭으로 불어나면서 일 조억원 규모에 달했고 코스닥 시가총액 위 기업으로 자리굳힘을 하고 있습니다.바이오기업인 알테오젠은 이날 주가가 만원으로 연초인 만원보다 . 급상승했고 씨젠에 이어 상승률 위를 나타내고 있습니다.신약연구개발업체인 제넥신은 일 주가가 만원으로 연초인 만원에 비해 . 올랐습니다. 시가총액은 조억원 규모입니다.차전지 관련주로 분류되는 에코프로비엠은 이날 주가가 만원으로 연초보다 . 급등했고 차전지 관련주인 천보 또한 주가가 만원으로 연초에 비해 . 상승했습니다.녹십자의 일 주가는 만원으로 연초인 월 일의 만원에 비해 . 올랐고 바이오기업인 파미셀의 주가는 이날 만원으로 연초인 원보다 . 뛰었습니다.올들어 큰 폭의 주가 상승률을 보인 기업들은 코로나 수혜주인 바이오기업과 진단키트업체 그리고 차전지 관련주가 대부분을 차지하고 있습니다.증권가에서는 차전지 관련주와 코로나 수혜기업들의 실적이 큰 폭으로 증가하고 있고 테마주로 각광받으면서 투자자들의 쏠림 현상이 계속되고 있어 상당기간 이들 기업들이 시장을 주도할 것으로 내다보고 있습니다. 조세일보 홈페이지  정회원 가입 조세일보 네이버 뉴스스탠드 구독김대성저작권자  조세일보. 무단전재 및 재배포 금지,"Due to the noticeable rise in stock prices of Corona beneficiary stocks and secondary battery-related stocks, the top market capitalization as of the month of the month of the month due to the rise in Cizen stock prices. Data Some stocks fell sharply in the stock market this year, which was hit unprecedentedly by the Korea Exchange COVID-19, but others have more than doubled their stock prices from the beginning of the year.This year, the stock market plunged from the beginning of the year to the lowest price of the year. Since then, the number of characters has soared, and on the day of the month, it is... from the beginning of the year It's up.The Tax Daily's survey of stock price growth based on the closing prices of the top listed stocks showed that the average growth rate of individual stocks reached .The high stock price growth rate of COVID-19 diagnostic kit manufacturer Seegene and bio company Altegene is believed to have boosted the average stock price growth rate.The stock price growth rate of these companies is 10,000 won from 10,000 won per month, the beginning of the year, and compared to the rise in Samsung Electronics' stock price, the stock price has risen significantly by using Corona as a blessing in disguise.Among the top market cap companies whose stock prices have more than doubled this year, Chemical rose to 10,000 won from 10,000 won per month at the beginning of the year. It is a secondary battery-related stock and seems to have attracted investors' attention due to its strong performance.Kakao's stock price soared from 10,000 won to 10,000 won per month at the beginning of the year. Stock prices jumped to untact-related stocks, and Kakao Games' back seems to have been a positive factor.Samsung's stock price has more than doubled as it is classified as a secondary battery-related stock. Samsung's daily stock price is 10,000 won, compared to the beginning of the year. It's up.Sizen's stock price fluctuation in recent years or so. Capture Kiwoom Securities Co.'s COVID-19 diagnostic kit maker Seegene posted the highest share price increase this year. Seegene's stock price is 10,000 won, compared to 10,000 won at the beginning of the year. It has soared and topped the list of top market cap companies.Seegene's market capitalization has also increased significantly, reaching KRW 1 trillion, and it is becoming a company above KOSDAQ's market capitalization.Bio company Alteogen's stock price was 10,000 won, compared to 10,000 won at the beginning of the year. It's skyrocketing and it's above the rate of increase after Seegene.Genexine, a new drug research and development company, has a daily stock price of 10,000 won, compared to 10,000 won at the beginning of the year. It went up. The market capitalization is worth billions of won.EcoProbim, which is classified as a secondary battery-related stock, saw its stock price jump to 10,000 won from the beginning of the year, while Cheonbo, a secondary battery-related stock, also saw its stock price rise to 10,000 won from the beginning of the year.The daily stock price of Green Cross rose to 10,000 won, compared with 10,000 won at the beginning of the year, and the share price of bio company Pharmicell was 10,000 won at the beginning of the year. It jumped. Most of the companies that have seen a significant increase in stock prices this year are bio companies, diagnostic kit companies, and secondary battery-related stocks, which are beneficiaries of COVID-19.Stock industry sources predict that these companies will lead the market for a considerable period of time as the performance of secondary battery-related stocks and COVID-19 beneficiaries is increasing significantly and investors continue to focus on theme stocks. Jo Se-il, a regular member of the Tax Daily website Jo Se-il, a subscription to Naver Newsstand, Kim Dae-sung, a copyright holder, Jo Se-il. No unauthorized reproduction or redistribution"
