,단어조합,기사수 차이
0,"['상장폐지', '상폐', '재심사', '폐지']",1081
1,"['상장폐지', '상폐', '적격성', '폐지']",1118
2,"['상장폐지', '상폐', '현행', '폐지']",1083
3,"['상장폐지', '상폐', '벼랑', '폐지']",1083
4,"['상장폐지', '상폐', '이의신청', '폐지']",1092
5,"['상장폐지', '상폐', '폐가', '폐지']",1080
6,"['상장폐지', '상폐', '판가름', '폐지']",1078
7,"['상장폐지', '상폐', '스탠다드펌', '폐지']",1083
8,"['상장폐지', '재심사', '적격성', '폐지']",1111
9,"['상장폐지', '재심사', '현행', '폐지']",1075
10,"['상장폐지', '재심사', '벼랑', '폐지']",1075
11,"['상장폐지', '재심사', '이의신청', '폐지']",1084
12,"['상장폐지', '재심사', '폐가', '폐지']",1072
13,"['상장폐지', '재심사', '판가름', '폐지']",1070
14,"['상장폐지', '재심사', '스탠다드펌', '폐지']",1075
15,"['상장폐지', '적격성', '현행', '폐지']",1113
16,"['상장폐지', '적격성', '벼랑', '폐지']",1113
17,"['상장폐지', '적격성', '이의신청', '폐지']",1122
18,"['상장폐지', '적격성', '폐가', '폐지']",1110
19,"['상장폐지', '적격성', '판가름', '폐지']",1110
20,"['상장폐지', '적격성', '스탠다드펌', '폐지']",1113
21,"['상장폐지', '현행', '벼랑', '폐지']",1076
22,"['상장폐지', '현행', '이의신청', '폐지']",1085
23,"['상장폐지', '현행', '폐가', '폐지']",1074
24,"['상장폐지', '현행', '판가름', '폐지']",1072
25,"['상장폐지', '현행', '스탠다드펌', '폐지']",1077
26,"['상장폐지', '벼랑', '이의신청', '폐지']",1086
27,"['상장폐지', '벼랑', '폐가', '폐지']",1074
28,"['상장폐지', '벼랑', '판가름', '폐지']",1072
29,"['상장폐지', '벼랑', '스탠다드펌', '폐지']",1077
30,"['상장폐지', '이의신청', '폐가', '폐지']",1083
31,"['상장폐지', '이의신청', '판가름', '폐지']",1081
32,"['상장폐지', '이의신청', '스탠다드펌', '폐지']",1086
33,"['상장폐지', '폐가', '판가름', '폐지']",1069
34,"['상장폐지', '폐가', '스탠다드펌', '폐지']",1074
35,"['상장폐지', '판가름', '스탠다드펌', '폐지']",1072
36,"['상폐', '재심사', '적격성', '폐지']",1116
37,"['상폐', '재심사', '현행', '폐지']",1081
38,"['상폐', '재심사', '벼랑', '폐지']",1081
39,"['상폐', '재심사', '이의신청', '폐지']",1090
40,"['상폐', '재심사', '폐가', '폐지']",1078
41,"['상폐', '재심사', '판가름', '폐지']",1076
42,"['상폐', '재심사', '스탠다드펌', '폐지']",1081
43,"['상폐', '적격성', '현행', '폐지']",1118
44,"['상폐', '적격성', '벼랑', '폐지']",1118
45,"['상폐', '적격성', '이의신청', '폐지']",1127
46,"['상폐', '적격성', '폐가', '폐지']",1115
47,"['상폐', '적격성', '판가름', '폐지']",1115
48,"['상폐', '적격성', '스탠다드펌', '폐지']",1118
49,"['상폐', '현행', '벼랑', '폐지']",1082
50,"['상폐', '현행', '이의신청', '폐지']",1091
51,"['상폐', '현행', '폐가', '폐지']",1080
52,"['상폐', '현행', '판가름', '폐지']",1078
53,"['상폐', '현행', '스탠다드펌', '폐지']",1083
54,"['상폐', '벼랑', '이의신청', '폐지']",1092
55,"['상폐', '벼랑', '폐가', '폐지']",1080
56,"['상폐', '벼랑', '판가름', '폐지']",1078
57,"['상폐', '벼랑', '스탠다드펌', '폐지']",1083
58,"['상폐', '이의신청', '폐가', '폐지']",1089
59,"['상폐', '이의신청', '판가름', '폐지']",1087
60,"['상폐', '이의신청', '스탠다드펌', '폐지']",1092
61,"['상폐', '폐가', '판가름', '폐지']",1075
62,"['상폐', '폐가', '스탠다드펌', '폐지']",1080
63,"['상폐', '판가름', '스탠다드펌', '폐지']",1078
64,"['재심사', '적격성', '현행', '폐지']",1111
65,"['재심사', '적격성', '벼랑', '폐지']",1111
66,"['재심사', '적격성', '이의신청', '폐지']",1120
67,"['재심사', '적격성', '폐가', '폐지']",1108
68,"['재심사', '적격성', '판가름', '폐지']",1108
69,"['재심사', '적격성', '스탠다드펌', '폐지']",1111
70,"['재심사', '현행', '벼랑', '폐지']",1074
71,"['재심사', '현행', '이의신청', '폐지']",1083
72,"['재심사', '현행', '폐가', '폐지']",1072
73,"['재심사', '현행', '판가름', '폐지']",1070
74,"['재심사', '현행', '스탠다드펌', '폐지']",1075
75,"['재심사', '벼랑', '이의신청', '폐지']",1084
76,"['재심사', '벼랑', '폐가', '폐지']",1072
77,"['재심사', '벼랑', '판가름', '폐지']",1070
78,"['재심사', '벼랑', '스탠다드펌', '폐지']",1075
79,"['재심사', '이의신청', '폐가', '폐지']",1081
80,"['재심사', '이의신청', '판가름', '폐지']",1079
81,"['재심사', '이의신청', '스탠다드펌', '폐지']",1084
82,"['재심사', '폐가', '판가름', '폐지']",1067
83,"['재심사', '폐가', '스탠다드펌', '폐지']",1072
84,"['재심사', '판가름', '스탠다드펌', '폐지']",1070
85,"['적격성', '현행', '벼랑', '폐지']",1112
86,"['적격성', '현행', '이의신청', '폐지']",1121
87,"['적격성', '현행', '폐가', '폐지']",1110
88,"['적격성', '현행', '판가름', '폐지']",1110
89,"['적격성', '현행', '스탠다드펌', '폐지']",1113
90,"['적격성', '벼랑', '이의신청', '폐지']",1122
91,"['적격성', '벼랑', '폐가', '폐지']",1110
92,"['적격성', '벼랑', '판가름', '폐지']",1110
93,"['적격성', '벼랑', '스탠다드펌', '폐지']",1113
94,"['적격성', '이의신청', '폐가', '폐지']",1119
95,"['적격성', '이의신청', '판가름', '폐지']",1119
96,"['적격성', '이의신청', '스탠다드펌', '폐지']",1122
97,"['적격성', '폐가', '판가름', '폐지']",1107
98,"['적격성', '폐가', '스탠다드펌', '폐지']",1110
99,"['적격성', '판가름', '스탠다드펌', '폐지']",1110
100,"['현행', '벼랑', '이의신청', '폐지']",1084
101,"['현행', '벼랑', '폐가', '폐지']",1073
102,"['현행', '벼랑', '판가름', '폐지']",1071
103,"['현행', '벼랑', '스탠다드펌', '폐지']",1076
104,"['현행', '이의신청', '폐가', '폐지']",1082
105,"['현행', '이의신청', '판가름', '폐지']",1080
106,"['현행', '이의신청', '스탠다드펌', '폐지']",1085
107,"['현행', '폐가', '판가름', '폐지']",1069
108,"['현행', '폐가', '스탠다드펌', '폐지']",1074
109,"['현행', '판가름', '스탠다드펌', '폐지']",1072
110,"['벼랑', '이의신청', '폐가', '폐지']",1083
111,"['벼랑', '이의신청', '판가름', '폐지']",1081
112,"['벼랑', '이의신청', '스탠다드펌', '폐지']",1086
113,"['벼랑', '폐가', '판가름', '폐지']",1069
114,"['벼랑', '폐가', '스탠다드펌', '폐지']",1074
115,"['벼랑', '판가름', '스탠다드펌', '폐지']",1072
116,"['이의신청', '폐가', '판가름', '폐지']",1078
117,"['이의신청', '폐가', '스탠다드펌', '폐지']",1083
118,"['이의신청', '판가름', '스탠다드펌', '폐지']",1081
119,"['폐가', '판가름', '스탠다드펌', '폐지']",1069
